"code","title","description","credits","instructor"
"ACEN 110A","Advanced Academic English 1","Students develop an academic vocabulary and successful reading strategies in English in order to understand high-level academic texts. Students also practice pronunciation and apply the rules of grammar to written and spoken academic language through weekly oral presentations and written assignments. Enrollment by instructor consent only.  Enrollment is restricted to international students.","5","The Staff"
"ACEN 110B","Advanced Academic English 2","Students continue to develop an academic vocabulary (e.g., collocations, idiomatic expressions), which is a significant contributor to successful academic reading and writing. Students also practice complex sentence structures in written and spoken language through weekly oral presentations and written assignments. Enrollment is by instructor consent only.  Enrollment is restricted to international students.","5","The Staff"
"ACEN 110C","Advanced Grammar in Context","Students continue to develop an academic vocabulary, and practice reading and writing complex sentences in English with a high level of grammatical and stylistic accuracy. Students also increase their oral fluency and pragmatic skills and their awareness of second-language learning. Enrollment by instructor consent only. Enrollment restricted to international students. (Formerly Advanced Academic English 3.)","5","The Staff"
"ACEN 110D","Advanced Academic English 4","Students continue to develop an academic vocabulary, and practice reading and writing complex essays in English with a high level of grammatical and stylistic accuracy. Students also continue to increase their oral fluency, pragmatic skills, and awareness of second-language learning. Enrollment is by instructor consent only.  Enrollment is restricted to international students.","5","The Staff"
"AM 3","Precalculus for the Social Sciences","Introduces mathematical functions and their uses for modeling real-life problems in the social sciences. Includes inequalities, linear and quadratic equations, functions (linear, quadratic, polynomial, rational, power, exponential, logarithmic, trigonometric), inverses, and the composition of functions. Students cannot receive credit for both this course and MATH 3. MATH 3 can substitute for this course. (Formerly Applied Mathematics and Statistics 3.)","5",""
"AM 6","Precalculus for Statistics","Reviews and introduces mathematical methods useful in the elementary study of statistics, including logic, real numbers, inequalities, linear and quadratic equations, functions, graphs, exponential and logarithmic functions, and summation notation. (Formerly AMS 6.)","5",""
"AM 10","Mathematical Methods for Engineers I","Applications-oriented course on complex numbers and linear algebra integrating Matlab as a computational support tool. Introduction to complex algebra. Vectors, bases and transformations, matrix algebra, solutions of linear systems, inverses and determinants, eigenvalues and eigenvectors, and geometric transformations. Students cannot receive credit for this course and MATH 21.","5",""
"AM 11A","Mathematical Methods for Economists I","Introduction to mathematical tools and reasoning, with applications to economics. Topics are drawn from differential calculus in one variable and include limits, continuity, differentiation, elasticity, Taylor polynomials, and optimization. Students cannot receive credit for both this course and MATH 11A or MATH 19A or AM 15A or ECON 11A. (AM 11A formerly AMS 11A.)","5",""
"AM 11B","Mathematical Methods for Economists II","Mathematical tools and reasoning, with applications to economics. Topics are drawn from multivariable differential calculus and single variable integral calculus, and include partial derivatives, linear and quadratic approximation, optimization with and without constraints, Lagrange multipliers, definite and indefinite integrals, and elementary differential equations. Students cannot receive credit for both this course and MATH 11B or MATH 19B or ECON 11B (AM 11B formerly AMS 11B.)","5",""
"AM 20","Mathematical Methods for Engineers II","Applications-oriented class on ordinary differential equations (ODEs) and systems of ODEs using Matlab as a computational support tool. Covers linear ODEs and systems of linear ODEs; nonlinear ODEs using substitution and Laplace transforms; phase-plane analysis; introduction to numerical methods. Students cannot receive credit for this course and MATH 24.","5",""
"AM 30","Multivariate Calculus for Engineers","Advanced multivariate calculus for engineering majors. Coordinate systems, parametric curves, and surfaces; partial derivatives, gradient, Taylor expansion, stationary points, constrained optimization; integrals in multiple dimensions; integrals over curves and surfaces. Applications to engineering form an integral part of the course. Students cannot receive credit for this course and for MATH 22 or MATH 23A.","5",""
"AM 100","Mathematical Methods for Engineers","Covers important concepts in applied mathematics, including complex analysis, vector calculus, Fourier Series, and integral transforms. Applications of the methods to various problems in science and engineering are discussed.","5",""
"AM 107","Introduction to Fluid Dynamics","Covers fundamental topics in fluid dynamics: Euler and Lagrange descriptions of continuum dynamics; conservation laws for inviscid and viscous flows; potential flows; exact solutions of the Navier-Stokes equation; boundary layer theory; gravity waves. Students cannot receive credit for this course and AM 217. (AM 107 formerly AMS 107.)","5",""
"AM 112","Introduction to Partial Differential Equations","Teaches analytical methods for the solution of first- and second-order PDEs of two variables, including: the method of characteristics for first-order PDEs; separation of variables for the heat, wave, and Laplaceâs equations in a finite or periodic Cartesian domain; homogeneous vs. forced problem; Sturm-Liouville theory; polar and spherical coordinate systems. Each method is illustrated by solving PDEs originating from real-life applications. Students cannot receive credit for this course and AM 212A.","5",""
"AM 114","Introduction to Dynamical Systems","Introduces continuous and discrete dynamical systems. Topics include: fixed points; stability; bifurcations; limit cycles; introduction to chaos. Examples are drawn from sciences and engineering. Familiarity with Matlab is preferred. Students cannot receive credit for this course and AM 214. (Formerly AMS 214.)","5",""
"AM 115","Stochastic Modeling in Biology","Application of differential equations, probability, and stochastic processes to problems in cell, organismal, and population biology. Topics include systems biology, cellular processes, gene-regulation, and population biology. Students may not receive credit for this course and AM 215.","5",""
"AM 129","Foundations of Scientific Computing for Scientists and Engineers","Covers fundamental aspects of scientific computing for research. Students are introduced to algorithmic development, programming (including the use of compilers, libraries, debugging, optimization, code publication), computational infrastructure, and data analysis tools, gaining hands-on experience through practical assignments. Basic programming experience is assumed.","5",""
"AM 147","Computational Methods and Applications","Applications of computational methods to solving mathematical problems using Matlab. Topics include solution of nonlinear equations, linear systems, differential equations, sparse matrix solver, and eigenvalue problems. Students cannot receive credit for this course and MATH 148. (Formerly AMS 147.)","5",""
"AM 148","GPU Programming for Scientific Computations","This second course in scientific computing focuses on the use of parallel processing on GPUs with CUDA. Basic topics covered include the idea of parallelism and parallel architectures. The course then presents key parallel algorithms on GPUs such as scan, reduce, histogram and stencil, and compound algorithms. Applications to scientific computing are drawn from problems in linear algebra, curve fitting, FFTs, systems of ODEs and PDEs, and image processing. Finally, the course presents optimization strategies specific to GPUs. Basic knowledge of Unix, and C is assumed.  (Formerly AMS 148.)","5",""
"AM 160","Introduction to Scientific Machine Learning","Introduction to scientific machine learning covering dimension reduction techniques for scientific data, modern methods in sparse regression and compressed sensing, deep neural networks for modeling real-life systems, and neural ordinary differential equations.","5",""
"AM 170A","Mathematical Modeling 1","Introduction to mathematical modeling emphasizing model construction, tool selection, methods of solution, critical analysis of the results, and professional-level presentation of the results (written and oral). Focuses on problems that can be solved using only analytical tools, and simple Matlab routines. Applications are drawn from a variety of fields such as physics, biology, engineering, and economics.","5",""
"AM 170B","Mathematical Modeling 2","Second course in mathematical modeling emphasizing the general process of scientific inquiry: model construction, tool selection, numerical methods of solution, critical analysis of the results, and professional-level presentation of the results (written and oral). Focuses on problems that must be solved using numerical tools. Applications are drawn from a variety of fields.","5",""
"AM 198","Independent Study or Research","Students submit petition to sponsoring agency.","5",""
"AM 198F","Independent Study or Research","Students submit petition to sponsoring agency.","2",""
"AM 200","Research and Teaching in Applied Mathematics","Basic teaching techniques for teaching assistants, including responsibilities and rights; resource materials; computer skills; leading discussions or lab sessions; presentation techniques; maintaining class records; and grading. Examines research and professional training, including use of library; technical writing; giving talks in seminars and conferences; and ethical issues in science and engineering. (Formerly AMS 200.)","3",""
"AM 211","Foundations of Applied Mathematics","Accelerated class reviewing fundamental applied mathematical methods for all sciences. Topics include: multivariate calculus, linear algebra, Fourier series and integral transform methods, complex analysis, and ordinary differential equations.  (Formerly AMS  211.)","5",""
"AM 212","Advanced Methods of Applied Mathematics","Overview of advanced methods for the analytical solution of ODEs and PDEs, including asymptotic analysis (method of strained coordinates; method of multiple scales; matched asymptotics; WKB theory), dimensional analysis, self-similar solutions and Greenâs function solutions of PDEs. Introduces students to variational calculus for the optimization of functionals. Students cannot receive credit for this course and AM 212B.","5",""
"AM 212A","Applied Partial Differential Equations","Focuses on analytical methods for partial differential equations (PDEs), including: the method of characteristics for first-order PDEs; canonical forms of linear second-order PDEs; separation of variables; Sturm-Liouville theory; Green's functions. Illustrates each method using applications taken from examples in physics. AM 211 or equivalent is strongly recommended as preparation. Students cannot receive credit for this course and AM 112.  (Formerly AMS 211, Applied Mathematical Methods I.)","5",""
"AM 212B","Applied Mathematical Methods II","Covers perturbation methods: asymptotic series, stationary phase and expansion of integrals, matched asymptotic expansions, multiple scales and the WKB method, Pad approximants and improvements of series. (Formerly AMS  212B.)","5",""
"AM 213A","Numerical Linear Algebra","Focuses on numerical solutions to classic problems of linear algebra. Topics include: LU, Cholesky, and QR factorizations; iterative methods for linear equations; least square, power methods, and QR algorithms for eigenvalue problems; and conditioning and stability of numerical algorithms. Provides hands-on experience in implementing numerical algorithms for solving engineering and scientific problems. Basic knowledge of mathematical linear algebra is assumed. (Formerly AMS  213A.)","5",""
"AM 213B","Numerical Methods for the Solution of Differential Equations","Introduces the numerical solutions of ordinary and partial differential equations (ODEs and PDEs). Focuses on the derivation of discrete solution methods for a variety of differential equations, and their stability and convergence. Also provides hands-on experience in implementing such numerical algorithms for the solution of engineering and scientific problems using MATLAB software. The  class consists of lectures and hands-on programming sections. Basic mathematical knowledge of ODEs and PDEs is assumed, and a basic working knowledge of programming in MATLAB is expected. (Formerly AMS  213B.)","5",""
"AM 214","Applied Dynamical Systems","Introduces continuous and discrete dynamical systems. Topics include: fixed points; stability; limit cycles; bifurcations; transition to and characterization of chaos; and fractals. Examples drawn from sciences and engineering; founding papers of the subject are studied. Students cannot receive credit for this course and AM 114 or MATH 145. (Formerly AMS 214.)","5",""
"AM 215","Stochastic Modeling in Biology","Application of differential equations, probability, and stochastic processes to problems in cell, organismal, and population biology. Topics include systems biology, cellular processes, gene-regulation, and population biology. Students may not receive credit for this course and AM 115. (Formerly AMS 215.)","5",""
"AM 216","Stochastic Differential Equations","Introduction to stochastic differential equations and diffusion processes with applications to biology, biomolecular engineering, and chemical kinetics. Topics include Brownian motion and white noise, gambler's ruin, backward and forward equations, and the theory of boundary conditions. (Formerly AMS  216.)","5",""
"AM 217","Introduction to Fluid Dynamics","Covers fundamental topics in fluid dynamics at the graduate level: Euler and Lagrange descriptions of continuum dynamics; conservation laws for inviscid and viscous flows; potential flows; exact solutions of the Navier-Stokes equation; boundary layer theory; gravity waves. Students cannot receive credit for this course and AM 107. (Formerly AMS  217.)","5",""
"AM 224","Applied Dynamical Systems","Graduate-level course in dynamical systems theory, focusing on n-dimensional continuous dynamical systems. Covers fixed points, stability (linear and Lyapunov), normal forms, center manifold theorem, Liouville theorem, reversible and gradient flows, conservative systems, and quantitative characterization of chaos.","5",""
"AM 227","Waves, Instabilities, and Turbulence in Fluids","Advanced fluid dynamics course introducing various types waves and instabilities that commonly arise in geophysical and astrophysical systems, as well as turbulence. Topics covered include, but are not limited to: pressure waves, gravity waves, convection, shear instabilities, and turbulence. Advanced mathematical methods are used to study each topic. Undergraduates are encouraged to take this course with permission of the instructor. (Formerly Waves and Instabilities in Fluids.)","5",""
"AM 229","Convex Optimization","Focuses on recognizing, formulating, analyzing, and solving convex optimization problems encountered across science and engineering. Topics include: convex sets; convex functions; convex optimization problems; duality; subgradient calculus; algorithms for smooth and non-smooth convex optimization; applications to signal and image processing, machine learning, statistics, control, robotics and economics. Students are required to have knowledge of calculus and linear algebra, and exposure to probability. (Formerly AMS 229.)","5",""
"AM 230","Numerical Optimization","Introduces numerical optimization tools widely used in engineering, science, and economics. Topics include: line-search and trust-region methods for unconstrained optimization, fundamental theory of constrained optimization, simplex and interior-point methods for linear programming, and computational algorithms for nonlinear programming. (Formerly AMS 230.)","5",""
"AM 231","Nonlinear Control Theory","Covers analysis and design of nonlinear control systems using Lyapunov theory and geometric methods. Includes properties of solutions of nonlinear systems, Lyapunov stability analysis, effects of perturbations, controllability, observability, feedback linearization, and nonlinear control design tools for stabilization. (Formerly AMS 231.)","5",""
"AM 232","Applied Optimal Control","Introduces optimal control theory and computational optimal control algorithms. Topics include: calculus of variations, minimum principle, dynamic programming, HJB equation, linear-quadratic regulator, direct and indirect computational methods, and engineering application of optimal control. (Formerly AMS 232.)","5",""
"AM 238","Fundamentals of Uncertainty Quantification in Computational Science and Engineering","Computing the statistical properties of nonlinear random system is of fundamental importance in many areas of science and engineering. Introduces students to state-of-the-art methods for uncertainty propagation and quantification in model-based computations, focusing on the computational and algorithmic features of these methods most useful in dealing with systems specified in terms of stochastic ordinary and partial differential equations. Topics include: polynomial chaos methods (gPC and ME-gPC), probabilistic collocation methods (PCM and ME-PCM), Monte-Carlo methods (MC, quasi-MC, multi-level MC), sparse grids (SG), probability density function methods, and techniques for dimensional reduction. Basic knowledge of probability theory and elementary numerical methods for ODEs and PDEs is recommended. (Formerly AMS 238.)","5",""
"AM 250","An Introduction to High Performance Computing","Designed for STEM students and others. Through hands-on practice, this course introduces high-performance parallel computing, including the concepts of multiprocessor machines and parallel computation, and the hardware and software tools associated with them. Students become familiar with parallel concepts and the use of MPI and OpenMP together with some insight into the use of heterogeneous architectures (CPU, CUDA, OpenCL), and some case-study problems. (Formerly AMS 250.)","5",""
"AM 260","Computational Fluid Dynamics","Introduces modern computational approaches to solving the differential equations that arise in fluid dynamics, particularly for problems involving discontinuities and shock waves. Examines the fundamentals of the mathematical foundations and computation methods to obtain solutions. Focuses on writing practical numerical codes and analyzing their results for a full understanding of fluid phenomena. (Formerly AMS 260.)","5",""
"AM 275","Magnetohydrodynamics","Studies the interaction of fluid motion and magnetic fields in electrically conducting fluids, with applications in many natural and man-made flows ranging from, for example, planetary physics and astrophysics to industrial metallurgic engineering. (Formerly AMS 275.)","5",""
"AM 280A","Seminar in Mathematical and Computational Biology","Weekly seminar on mathematical and computational biology. Participants present research findings in organized and critical fashion, framed in context of current literature. Students present own research on a regular basis. (Formerly AMS 280A.)","2",""
"AM 280B","Seminar in Applied Mathematical Modeling","Weekly seminar series covering topics of current research in applied mathematics and statistics. Permission of instructor required. Enrollment is restricted to graduate students. (Formerly AMS 280B.)","2",""
"AM 280C","Seminar in Geophysical and Astrophysical Fluid Dynamics","Weekly seminar/discussion group on geophysical and astrophysical fluid dynamics covering both analytical and computational approaches. Participants present research progress and findings in semiformal discussions. Students must present their own research on a regular basis. (Formerly AMS 280C.)","2",""
"AM 296","Masters Project","Independent completion of a masters project under faculty supervision. Students submit petition to sponsoring agency. Enrollment is restricted to graduate students.","5",""
"AM 297A","Independent Study or Research","Independent study or research under faculty supervision. Students submit petition to sponsoring agency. Enrollment is restricted to graduate students.","5",""
"AM 297B","Independent Study or Research","Independent study or research under faculty supervision. Students submit petition to sponsoring agency. Enrollment is restricted to graduate students.","10",""
"AM 297C","Independent Study or Research","Independent study or research under faculty supervision. Students submit petition to sponsoring agency. Enrollment is restricted to graduate students.","15",""
"AM 297F","Independent Study","Independent study or research under faculty supervision. Students submit petition to sponsoring agency. Enrollment is restricted to graduate students.","2",""
"AM 299A","Thesis Research","Thesis research under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students.","5",""
"AM 299B","Thesis Research","Thesis research under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students.","10",""
"AM 299C","Thesis Research","Thesis research under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students.","15",""
"ANTH 1","Introduction to Biological Anthropology","Study of evolution illustrated by Pleistocene hominid fossils and variation in living human groups. Behavior and evolution of primates examined as they contribute to the understanding of human evolution. Required for all anthropology majors. (Formerly Introduction to Human Evolution.)","5",""
"ANTH 2","Introduction to Cultural Anthropology","A number of different peoples are studied and a variety of approaches to the nature of the culture and to the study of specific cultures presented. Required for all anthropology majors.","5",""
"ANTH 3","Introduction to Archaeology","Overview of ways of learning about the human past beyond the scope of written history. Reviews development of archaeology, fundamental methods and theories, and archaeology's contribution to understanding human origins, the emergence of farming, and the origins of complex societies.","5",""
"ANTH 93","Field Study","Supervised research or organized projects on anthropological topics for lower-division students. Conducted either on or off campus. Students submit petition to sponsoring agency.","5",""
"ANTH 97","Laboratory Safety Practicum","Covers laboratory health and safety and standard operating procedures within the anthropology laboratories. Prepares students for future laboratory research activities while providing support of laboratory administration, collections management, and laboratory course demonstration needs. Enrollment by application.","2",""
"ANTH 100","History and Theory of Biological Anthropology","Provides an historical overview from the 18th century to the present of race, ape-human relationships, and human nature. Emergence of an evolutionary framework and of fossil, genetic, and primate information becomes the basis for reformulating ideas about human biology within anthropology.","5",""
"ANTH 101","Human Evolution","Study of human evolution covering the last five million years.  Examines the fossil evidence and emphasizes the reconstruction of behavior from the paleontological and anatomical evidence.","5",""
