"subject","course_code","course_name","description","credits"
"Accounting","ACCT 516","Seminar-Intermediate Topics","INTERMEDIATE TOPICS  Lecture  Provides a foundation for knowledge as professional accountants in intermediate financial accounting topics under US GAAP. Material included goes beyond the basics for analyzing and recording advanced accounting transactions.  N 3 N Student Option","3"
"Accounting","ACCT 567","Seminar","SEMINAR  Lecture  Y 99 Y Student Option","1-3"
"Accounting","ACCT 600","Financial Reporting and Analysis","FINANCIAL REPORTING & ANALYSIS  Lecture  Surveys concepts underlying financial accounting and external reporting. Provides an understanding of accounting methods, standards, and terminology so that students can interpret and evaluate financial statements. Students are encouraged to participate in class and group discussions involving contemporary investment issues and decisions.  N 3 N Student Option","3"
"Accounting","ACCT 601","Management Accounting and Control","MGT ACCOUNTING AND CONTROL  Lecture  Examines the use and impact of accounting information on decision making and strategic choice and on the role of information in organization control.  N 3 N Student Option  ACCT 620  and FINC 650  .  Fall and Spring","3"
"Accounting","ACCT 602","Big Data Technologies","BIG DATA TECHNOLOGIES  Lecture  Exposes students to the different phases of big data projects: discovery, collection, enrichment, analysis, and decision making. Students learn how to actually implement Big Data solutions.  N 3 N Student Option  Fall and Spring","3"
"Accounting","ACCT 604","Database Design and Implementation","DATABASE DESIGN & IMPLEMENT  Lecture  Introduces the fundamentals of modern database concepts. Covers relational database design and implementation techniques, as well as the current relational database standard - the structured query language (SQL). Explore advanced topics such as big data analytics.  N 3 N Student Option  May be crosslisted with MISY 604  .  Fall","3"
"Accounting","ACCT 605","Current Issues In Emerging Technologies","CURRNT ISSUES IN EMERGING TECH  Lecture  Covers a broad range of topics currently affecting business analytics and information systems. The goal of the course is to understand how current and emerging technologies influence the current business environment and how the current environment impacts technology development.  N 3 N Student Option  May be crosslisted with MISY 605  .  Fall","3"
"Accounting","ACCT 606","Object-oriented Systems Analysis, Design and Implementation","OBJ ORIENT SYS ANALYSIS & IMP  Lecture  Explores the management, organizational and technical challenges of developingsystems. Analyzes business processes within a data-driven developmentmethodology. Students will elicit requirements, weigh alternatives and designand implement solutions. Data, process and object modeling will be covered.  N 3 N Student Option  May be crosslisted with MISY 606  . ACCT 604  .","3"
"Accounting","ACCT 610","Financial Reporting I","FINANCIAL REPORTING I  Lecture  This course is part 1 of a 3 course series that builds upon topics covered in introductory financial accounting. Included in the series are more complex issues of corporate reporting theory. Part I covers the conceptual framework, financial statement preparation, and valuation.  N 3 N Student Option  ACCT207.  Fall and Spring","3"
"Accounting","ACCT 611","Financial Reporting II","FINANCIAL REPORTING II  Lecture  Part 2 of a 3-course series that builds upon topics covered in introductory financial accounting. Included in the series are more complex issues of corporate reporting theory. Part II covers short-term liabilities, contingencies, investments, long-term liabilities, stockholders? equity; dilutive securities and earnings per share calculations.  N 3 N Student Option  ACCT 610.   Fall and Spring","3"
"Accounting","ACCT 612","Financial Reporting III","FINANCIAL REPORTING III  Lecture  This course is part 3 of a 3-course series that builds upon topics covered in introductory financial accounting. Included in the series are more complex issues of corporate reporting theory. Part III covers revenue recognition, accounting for income taxes, pensions and leases, accounting changes and error analysis, statement of cash flows, and disclosure requirements.  N 3 N Student Option  ACCT 611.   Winter and Summer","3"
"Accounting","ACCT 613","Federal Taxation of Income and Property Transactions","FED TAX OF INC AND PROP TRANS  Lecture  Federal tax course for MS in Accounting students who have not had an equivalent undergraduate course in federal taxation.  Covers income and expense recognition, tax accounting periods and method, individual tax provisions, tax credits, and property transactions.  N 3 N Student Option  Not open to undergraduate students majoring in accounting.","3"
"Accounting","ACCT 614","Advanced Federal Taxation","ADVANCED FEDERAL TAXATION  Lecture  Introduces master’s student to techniques and tools of technical tax research. Advanced federal tax concepts including income taxation of corporations, partnerships, estates, and trusts as well as wealth transfer taxes (Estate and Gift Tax).  N 3 N Student Option  ACCT413 or comparable undergraduate accounting course.  Spring","3"
"Accounting","ACCT 615","Advanced Financial Reporting","ADVANCED FINANCIAL REPORTING  Lecture  Coverage includes the remaining topics required for the Financial Accounting and Reporting (FAR) section of the CPA exam. These topics include: partnerships, business combinations, foreign currency transactions, and governmental/not for profit accounting.  N 3 N Student Option  ACCT 612  or equivalent. Not open to BS or MS Accounting students.","3"
"Accounting","ACCT 617","Auditing, Ethics, and Professional Responsibility","AUDIT, ETHICS, AND PROF RESP  Lecture  Introduction to the basic concepts underlying assurance and auditing services. Explores the judgment required of the auditor as a professional in a changing and demanding legal, ethical, and business environment. The emphasis will be on understanding why and how audits are performed. Critical evaluation of auditing issues and development of oral and written communication skills will also be emphasized.  N 3 N Student Option  ACCT 612  or equivalent. Not open to BS or MS Accounting students.","3"
"Accounting","ACCT 618","Estate Planning","ESTATE PLANNING  Lecture  Focuses on the efficient conservation and transfer of wealth.  Studies the legal, tax, financial, and non-financial aspects of this financial planning process, covering topics such as trusts, wills, probate, advance directives, gift planning, wealth transfers, and related taxes.  N 3 N Student Option  ACCT350 or ACCT352 or equivalent.","3"
"Accounting","ACCT 620","Theory of External Reporting and Applications","THEORY OF EXTERNAL REPORTING  Lecture  Study of contemporary models of accounting for information users external to the firm. Includes an examination of the institutional environment and the impact of the institutions on the development of accounting theory and practices.  N 3 N Student Option  ACCT316  Spring","3"
"Accounting","ACCT 625","Financial Statement Analysis","FINANCIAL STATEMENT ANALYSIS  Lecture  Examines contemporary aspects of financial statement analysis such as the supply and demand for accounting information, statistical properties of accounting numbers and the impact of information on securities prices.  N 3 N Student Option  ACCT 600  or ACCT316.  Fall and Spring","3"
"Accounting","ACCT 633","Internal Auditing","INTERNAL AUDITING  Lecture  Covers internal audit from a broad perspective and the important role in today’s companies. Topics include: Governance, Ethics, Business Processes, Risk Assessments, Controls, and Information Technology.  N 3 N Student Option  Fall","3"
"Accounting","ACCT 636","Advanced Topics in Auditing","ADVANCED TOPICS IN AUDITING  Lecture  This course provides an abbreviated introduction to auditing concepts and theories, explores analytical approaches and tools that can be harnessed for conducting rigorous statistical analysis, and examines the methods utilized for accessing, integrating, and analyzing large amounts of data on audit engagements. The course features extensive use of case studies, student self-study, student-lead learning and team assignments.  N 3 N Student Option","3"
"Accounting","ACCT 653","Business Law for Accountants","BUSINESS LAW FOR ACCOUNTANTS  Lecture  Formation, use and performance of contracts, including both Common Law and the Uniform Commercial Code (Article 2, Sales). Other topics include product liability, negotiable instruments and accountants’ legal liability. Covers variety of areas of law, including agency, partnerships, corporations, unfair competition, debtor-creditor relationships, bankruptcy, secured transactions, real and personal property, wills and trusts.  N 3 N Student Option  ACCT207 or equivalent. Not open to BS or MS Accounting students.","3"
