"subject","course_code","course_name","description","credits"
"Accounting","ACCT 166","SPECIAL PROBLEM","SPECIAL PROBLEM  Independent Study  Y 99 Y Student Option","1-3"
"Accounting","ACCT 200","Survey of Accounting","SURVEY OF ACCOUNTING  Lecture  Survey of financial and managerial accounting concepts for the non-business major. Students learn about financial statements for merchandising, manufacturing, and service companies. Topics include: accounting cycle, budgeting, standard costing, contribution margins, cost-volume-profit analysis, and decision making.  N 4 N Student Option  Students within accounting and/or business degree programs who have received credit for ACCT 207  are not eligible to take this course without permission.  Fall, Winter, Spring, Summer","4"
"Accounting","ACCT 201","The Accounting Experience","ACCOUNTING EXPERIENCE  Lecture  How do you know whether the job you seek is a good match when you don’t completely understand what the job entails? It may be three years before you have the opportunity to take a tax class, but you may be selected to interview with a firm’s tax practice. Do you want a big firm or a small firm? Does the position require technology skills you currently possess or plan on acquiring? At the end of this class, you should be equipped to make well-informed choices during that first round of interviews, which will lead to initial internship and subsequent job offers that fit your goals, your preferences, and your skills.  N 1 N Pass/Not Pass  Fall   GE1A: Read Critically GE1B: Analyze Arguments and Information GE1C: Engage in Constructive Ideation  GE2B: Communicate Orally","1"
"Accounting","ACCT 207","Accounting I","ACCOUNTING I  Lecture  An introduction to financial accounting. Topics: the accounting cycle, merchandise accounting, accounting procedures for cash, receivables, payables, inventories, plant and equipment, stocks and bonds.  N 3 N Student Option  Not open to freshmen.   Sustainability Connections Fall, Winter, Spring, Summer   GE5A: Reason Quantitatively GE5B: Reason Computationally","3"
"Accounting","ACCT 208","Accounting II","ACCOUNTING II  Lecture  Introduction to managerial accounting. Topics: manufacturing accounting, cost-volume-profit analysis, job-order accounting, budgeting, standard costs and variance analysis, contribution approach to decision analysis, absorption and variable costing.  N 3 N Student Option  ACCT 207  . Not open to freshmen. Requires a grade of C- or better in ACCT 207  .  Fall, Winter, Spring, Summer   GE1A: Read Critically GE1B: Analyze Arguments and Information      GE3B: Work Independently Across Cultures   GE5B: Reason Computationally","3"
"Accounting","ACCT 235","Community Audit","3  COMMUNITY AUDIT  Field Studies  This course exposes students to small audit projects while serving not-for-profits in our area. Students plan and execute the audit and share their results with clients. This practical experience reinforces basic accounting concepts and motivates the students to consider careers in auditing.  Y 6 Y Student Option  ACCT 207  Accounting majors (or those with intention to declare accounting major). Must be available for travel in DE during the summer.    Spring and Summer   GE1A: Read Critically GE1B: Analyze Arguments and Information GE1C: Engage in Constructive Ideation GE2A: Communicate Effectively in Writing GE2B: Communicate Orally  GE3A: Work Collaboratively Across Cultures GE3B: Work Independently Across Cultures GE4: Critically Evaluate Ethical Implications GE5A: Reason Quantitatively GE5B: Reason Computationally",""
"Accounting","ACCT 266","SPECIAL PROBLEM","SPECIAL PROBLEM  Independent Study  Y 99 Y Student Option","1-3"
"Accounting","ACCT 267","SEMINAR","SEMINAR  Lecture  Y 99 Y Student Option","1-6"
"Accounting","ACCT 302","Accounting Information Systems","ACCOUNTING INFORMATION SYSTEMS  Lecture  Accounting information and its place within an organization’s overall management information system. Emphasis on information and document flow, internal control, data organization, and analysis, design, development, and audit of computer-based accounting systems. Includes some computer work.  N 3 N Student Option  ACCT 208  , MISY 160  or CISC 101  . Requires sophomore status.  Fall and Spring   GE1B: Analyze Arguments and Information   GE2B: Communicate Orally   GE3B: Work Independently Across Cultures   GE5B: Reason Computationally","3"
"Accounting","ACCT 305","Information Security and Risk Management","INFORMTN SECURITY & RISK MGMT  Lecture  This course introduces the fundamental concepts of information and cybersecurity. It covers how to protect the confidentiality, integrity, and availability of data and information systems that modern organizations depend upon. The domains examined include network security, risk management, governance, physical security, cryptography, business continuity, and legal issues. Special consideration is given to studying major information security incidents and cybersecurity trends. You will learn about the threats and vulnerabilities facing computer systems and tools and techniques used to secure them.  N 3 N Student Option  Crosslisted with MISY 305  . MISY 160  .","3"
"Accounting","ACCT 313","Taxation for Business and Investment Planning","TAX FOR BUSINESS INVESTMT PLAN  Lecture  Explores taxable entities, tax aspects of selecting a business form, incomeconcepts, business deductions, tax factors in the acquisition, use, anddisposition of fixed assets, nontaxable transactions, capital gains andlosses, and tax planning.  N 3 N Student Option  ACCT 200  or ACCT 207  . Not open to accounting majors.","3"
"Accounting","ACCT 315","Intermediate Accounting I","INTERMEDIATE ACCOUNTING I  Lecture  In-depth coverage of financial accounting. Topics include: environment and conceptual framework of financial accounting; review of the accounting process; preparation of financial statements; recognition and measurement of current assets, property, plant and equipment and current liabilities.  N 3 N Student Option  ACCT 207  , ACCT 208  . Requires sophomore status.  Fall, Winter and Spring   GE5A: Reason Quantitatively GE5B: Reason Computationally GE5C: Reason Scientifically","3"
"Accounting","ACCT 316","Intermediate Accounting II","INTERMEDIATE ACCOUNTING II  Lecture  Continuation of ACCT 315  . Topics include: recognition and measurement of investments, long-term liabilities and stockholders’ equity; dilutive securities and earning per share calculations; revenue recognition; accounting for income taxes, pensions and leases; accounting changes and error analysis; financial reporting and changing prices; preparation of the statement of cash flows; and disclosure requirements in financial reporting.  N 3 N Student Option  ACCT 315  . Requires junior status and a grade of C- or better in ACCT 315  .  Fall and Spring   GE1A: Read Critically GE1B: Analyze Arguments and Information      GE3B: Work Independently Across Cultures  GE5A: Reason Quantitatively GE5B: Reason Computationally","3"
"Accounting","ACCT 320","Professional Ethics and Responsibility","PROF ETHICS & RESPONSIBILITY  Lecture  Expose students to personal responsibilities and need for integrity. Provide a philosophical framework for ethical analysis. Review the ethical obligations of accountants. Discuss situations that present ethical conflicts and determine morally appropriate resolutions.  N 3 N Student Option  ACCT 315  Course does not count as professional (ACCT/FINC/MISY) elective for accounting majors.  Spring   GE1A: Read Critically GE1B: Analyze Arguments and Information  GE2A: Communicate Effectively in Writing     GE4: Critically Evaluate Ethical Implications","3"
"Accounting","ACCT 327","Cost Accounting","COST ACCOUNTING  Lecture  Process, job order and standard costing; variable and absorption costing; budgeting, decentralization, and transfer pricing; and cost analysis for managerial applications.  N 3 N Student Option  ACCT 208  . Requires sophomore status.   Sustainability Connections Fall and Spring   GE5B: Reason Computationally","3"
"Accounting","ACCT 350","Business Law I","BUSINESS LAW I  Lecture  Formation, use and performance of contracts, including both Common Law and the Uniform Commercial Code (Article 2, Sales). Other topics covered include product liability, negotiable instruments and accountants’ legal liability.  N 3 N Student Option  Requires junior status.  Fall and Spring   GE1A: Read Critically GE1B: Analyze Arguments and Information GE1C: Engage in Constructive Ideation  GE2B: Communicate Orally   GE3B: Work Independently Across Cultures  GE5A: Reason Quantitatively","3"
"Accounting","ACCT 351","Business Law II","BUSINESS LAW II  Lecture  Covers variety of areas of law, including agency, partnerships, corporations, unfair competition, debtor-creditor relationships, bankruptcy, secured transactions, real and personal property, wills and trusts.  N 3 N Student Option  ACCT 350  . Requires junior status.  Fall and Spring   GE1A: Read Critically GE1B: Analyze Arguments and Information GE1C: Engage in Constructive Ideation  GE2B: Communicate Orally   GE3B: Work Independently Across Cultures  GE5A: Reason Quantitatively","3"
