"department","description","course_code","course_name","credits"
"Accounting","Conceptual introduction to financial accounting. Emphasis is placed on wealth and income measurement and the preparation and interpretation of conventional financial statements. Grading Scheme:Letter Grade","ACG 2021","Introduction to Financial Accounting","4 Credits"
"Accounting","Accounting for cost reporting and control. Reports, statements and analytical tools used by management. Grading Scheme:Letter Grade","ACG 2071","Introduction to Managerial Accounting","4 Credits"
"Accounting","Introductory overview of accounting as a field of study and the career opportunities available within accounting, in sectors such as public accounting, professional and financial services, industry, government, entrepreneurship, and other. Grading Scheme:S/U","ACG 2391","Exploring Careers in Accounting1 Credit","1 Credit"
"Accounting","Covers the theoretical structure of financial accounting, required financial statements, revenue recognition, operating assets and current liabilities. Grading Scheme:Letter Grade","ACG 3101","Financial Accounting and Reporting 1","4 Credits"
"Accounting","Examination of the accounting information systems in a business organization. Coverage extends over topics such as business processes, internal controls, and the fundamentals of accounting information systems analysis, design, implementation and control. Grading Scheme:Letter Grade","ACG 3401","Business Processes and Accounting Information System","4 Credits"
"Accounting","To expose students to technical topics and emerging issues in accounting, business and related professions such as law. The course addresses career opportunities in the practice of public accounting, industry, financial services, government, and in business more generally. Grading Scheme:S/U","ACG 3802","Professional Speakers Series1 Credit","1 Credit"
"Accounting","Continuation of ACG 3101 and includes coverage of accounting for investments, non-current liabilities and equities, accounting for income taxes, derivatives, accounting changes, statement of cash flows and earnings per share. Grading Scheme:Letter Grade","ACG 4111","Financial Accounting and Reporting 2","4 Credits"
"Accounting","Extends cost and managerial coverage beyond that covered in ACG 2071. Topics include quantitative cost estimation, standard costing, flexible budgets, inventory management, pricing decisions, balanced scorecard, costs of quality, capital budgeting, transfer pricing and performance evaluations. Grading Scheme:Letter Grade","ACG 4341","Cost and Managerial Accounting","4 Credits"
"Accounting","Introduces the basic concepts, principles and environment of financial statement auditing. The course emphasizes the audit decision-making process, researching audit standards, audit planning, evidence evaluation, audit reports, ethics and legal liability. Grading Scheme:Letter Grade","ACG 4632","Introduction to Auditing","3 Credits"
"Accounting","Opportunity for in-depth study of topics not offered in other courses and of topics of special current significance. Grading Scheme:Letter Grade","ACG 4931","Special Topics","1-3 Credits"
"Accounting","Applied work in professional accounting. Requires several papers and reports. Grading Scheme:S/U","ACG 4941","Supervised Accounting Internship","2-4 Credits"
"Accounting","The thesis must be submitted to the Fisher School no later than the published deadline and includes an abstract. Grading Scheme:S/U","ACG 4970","Honors Thesis1 Credit","1 Credit"
"Accounting","Introduces federal income taxation to those who pursue careers in accounting; develops a basic understanding of the federal income tax laws relating to businesses and provides a framework for integrating income tax planning into the business decision-making process. Grading Scheme:Letter Grade","TAX 4001","Introduction to Federal Income Tax","3 Credits"
"Accounting","Course provides an opportunity for in-depth study of topics not offered in other courses and of topics of special current significance. Grading Scheme:Letter Grade","TAX 4930","Special Topics in Taxation","1-4 Credits"
"Advertising","Instruction and practice in writing for advertising. Emphasis on various types of writing in the field including creative briefs, copy and headlines. Grading Scheme:Letter Grade","ADV 2104C","Advertising Writing","3 Credits"
"Advertising","Overview of the strategic planning process required to develop a successful strategic, persuasive communication plan such as an advertising, integrated marketing communications, or social marketing campaign. Case studies and projects teach the skills needed to address a variety of communications management issues and engage audiences in diverse marketplaces. Grading Scheme:Letter Grade","ADV 3001","Advertising Strategy","3 Credits"
"Advertising","Overview of the concepts, strategies, and tactics of modern advertising. Explores the role of advertising in society, culture, and economics, as well as the industry and its key organizations. Introduces specific practices used to develop, place, and evaluate both traditional and digital ads. Grading Scheme:Letter Grade","ADV 3008","Principles of Advertising","3 Credits"
"Advertising","Explore traditional and digital media landscapes as well as the fundamental ways to create client-centered, holistic solutions using cross media platform selling. This course will deep dive into real-life examples and scenarios as well as give students hands-on experience with this type of selling. Grading Scheme:Letter Grade","ADV 3303","Cross Media Selling","3 Credits"
"Advertising","Provides a solid understanding of digital media sales and the digital environment. Student will be able to identify  explain key concepts related to sales efforts in digital and social media, implement digital and social media sales efforts, and justify integrated efforts with research, measurements and trends. Grading Scheme:Letter Grade","ADV 3310","Digital Media Sales","3 Credits"
"Advertising","Provides a comprehensive understanding of AI and its impact on the advertising industry. Explore a range of AI-driven tools, techniques, and technologies while examining their practical applications in marketing and advertising campaigns. Additionally, covers the ethical and societal implications of AI technology in human communication and marketing. Grading Scheme:Letter Grade","ADV 3330","Artificial Intelligence and Advertising","3 Credits"
"Advertising","Principles of branding and brand strategy; learn to think creatively and critically about strategies and tactics applied to build and manage brands with insight into diverse audiences. Grading Scheme:Letter Grade","ADV 3403","Branding","3 Credits"
"Advertising","Studies multicultural communities and the process of developing advertising, promotional, and media communication tactics. Explores the methods of utilizing insights, research, and audience segmentation for developing and evaluating campaign development, while understanding the social, psychological, and cultural framework of diverse audiences. Grading Scheme:Letter Grade","ADV 3411","Multicultural Advertising in the US","3 Credits"
"Advertising","Overview of health communication in research, industry, and practice. Explore and better understand the role communication plays in health care delivery, health promotion, disease prevention, environmental and risk communication, media and mass communication, and technology. Grading Scheme:Letter Grade","ADV 3420","Health Communication","3 Credits"
"Advertising","Acquiring, evaluating, and analyzing information for advertising decisions. Emphasizes understanding the scientific method, developing explicit and measurable research objectives, selecting appropriate methodologies, and analyzing data. Grading Scheme:Letter Grade","ADV 3500","Digital Insights","3 Credits"
"Advertising","Principles of selling media time and space to advertisers. An overview of sales opportunities and challenges in the various advertising media. How to prepare and deliver effective sales presentations. Grading Scheme:Letter Grade","ADV 3502","Advertising Sales","3 Credits"
"Advertising","Learn the process of advertising and promotional strategy from a health/social marketing approach, which centers on global health issues. Learn to ""sell science"" and market public health messages to help change the world. Grading Scheme:Letter Grade","ADV 3824","Advertising Strategy: Health / Social Influence Approach","3 Credits"
"Advertising","Short-term intensive workshops in selected areas of professional development, skills, and projects. Workshops taught by professionals and often occur over three-day weekend periods. Topics change from semester to semester, with a focus on industry skills and subjects learned best from within a professional context. Grading Scheme:Letter Grade","ADV 3920C","Professional Workshop in Advertising","1-3 Credits"
"Advertising","The Agency is an innovative, real-world advertising and public relations firm at UF that offers students an opportunity to build their expertise and gain experience in a hands-on environment, working directly with clients and industry professionals. Real-world work in a diverse and inclusive team environment will help you gain relevant experience, hone your skills through client feedback, gain industry access and perspective, and build a robust résumé and portfolio. Grading Scheme:Letter Grade","ADV 3943","The Agency Immersion","0-3 Credits"
"Advertising","Application of creative strategy/concepts, copywriting and design to the creation of advertising for traditional and nontraditional media. To evaluate and present creative work, create ads for multicultural audiences. Grading Scheme:Letter Grade","ADV 4101","Copywriting and Visualization","3 Credits"
"Advertising","Advanced course in the application of creative strategy for print and electronic media requiring preparation of advertisements. Emphasis placed on research, planning, development of creative concepts, writing and design. Grading Scheme:Letter Grade","ADV 4102","Advanced Copywriting","3 Credits"
"Advertising","Provides an in-depth overview of the media planning process. Emphasizes the value of various media channels and evaluation methods to design innovative and integrated media strategies to reach and engage diverse audiences. Grading Scheme:Letter Grade","ADV 4300","Media Planning","3 Credits"
"Advertising","Focuses on two aspects of strategic communications. First: creating, developing and producing advertising and promotional content for real live case studies. Second: evaluating topical issues and industry innovation in media content innovation. Grading Scheme:Letter Grade","ADV 4302","Great Ideas in Marketplace Communications","3 Credits"
"Advertising","The course explores how and why an ad idea is a game changer by immersing students in award-winning advertising work. Students will discuss ads from the top international advertising festivals and develop criteria for award-winning work.. Grading Scheme:Letter Grade","ADV 4304","Game-Changing Ad ideas","2 Credits"
"Advertising","The basics of developing an Integrated Marketing Communication (IMC) plan; the role the social media marketing plan plays in the IMC; learn to develop a Social Media Marketing Plan with a focus on branding; and the impact of social media on a brand. Grading Scheme:Letter Grade","ADV 4323","Branding and Social Media","3 Credits"
"Advertising","For those intrigued by social media campaigns, including influencer marketing and societal initiatives, irrespective of their programming background. It melds the theoretical underpinnings of social media analytics with hands-on experience in Python and supplementary software tools, presented through lectures, workshops, and interactive discussions. Grading Scheme:Letter Grade","ADV 4331","AI-Driven Social Media Insight","3 Credits"
"Advertising","Major concepts and issues in international and cross cultural advertising campaign planning including primary and secondary research to assess environmental situations, setting objectives, budgeting, media, creative, ethics and social responsibility. Grading Scheme:Letter Grade","ADV 4400","International and Cross Cultural Advertising","3 Credits"
"Advertising","Explore the sources of great advertising and great branding through a series of real-world projects. Develop a process for uncovering hidden consumer wants and needs that can inform breakthrough creative solutions. Prepare to be challenged to look at the world through a new lens, to see things they have never seen before, and to expand creative and critical thinking abilities to bring meaningful branding solutions. Grading Scheme:Letter Grade","ADV 4404","Cultural Branding","3 Credits"
"Advertising","Explore in detail the role that account managers play in the development of effective advertising by examining areas such as client relationships, business planning, strategic planning, new business development, budgeting, ethics, timelines, scope of work, team communication, collaboration skills, management plans, production plans, and great creative work. Grading Scheme:Letter Grade","ADV 4603","Account Management & Project Management","3 Credits"
"Advertising","Create concepts through hands-on experiential learning while working on typical ad agency projects. Explores all the traditional media: TV, radio, print, OOH, guerrilla, and in-store pieces. Grading Scheme:Letter Grade","ADV 4710","Advertising Portfolio I: Traditional Media Basics","3 Credits"
"Advertising","An advanced advertising course requiring the student to prepare and produce a complete general advertising campaign. Emphasis is placed on production methods, costs, research and media analysis. Grading Scheme:Letter Grade","ADV 4800","Advertising Campaigns","3 Credits"
"Advertising","Students create a competitive creative campaigns for a sports-related client. Students hone creative skills and learn to prepare professional pitches or presentations. Grading Scheme:Letter Grade","ADV 4801","Sports Advertising Creative Campaigns","3 Credits"
"Advertising","The student and instructor will choose a problem or project which provides experience in the student's major. Grading Scheme:Letter Grade","ADV 4905","Individual Problems","1-3 Credits"
"Advertising","Mentored but self-directed work enables individuals or small groups to explore an issue of interest to them and to communicate their results to others. Depending on the topic, projects may involve inquiry, design, investigation, scholarship, discovery, or application. Grading Scheme:S/U","ADV 4910","Advertising Undergraduate Research","0-3 Credits"
"Advertising","Variable advertising-related topics not covered in other advertising courses. Grading Scheme:Letter Grade","ADV 4930","Special Study in Advertising","2-3 Credits"
"Advertising","Major concepts and issues in the effects of advertising on society, culture, and the economy with emphasis on ethical systems and ethical decision making. Grading Scheme:Letter Grade","ADV 4931","Seminar: Ethics and Problems in Advertising","3 Credits"
"Advertising","Complete an internship in advertising or related field with supervised on-the-job training. Requires 65 hours of work per credit, weekly progress reports, a summary report, and a supervisor's evaluation. Grading Scheme:S/U","ADV 4940","Advertising Internship","1-4 Credits"
"Advertising","Structured internship program that is approved by the department as an immersion experience related to the field of advertising. Requires 65 hours of work per credit and submission of electronic portfolio, including a culminating project from the internship. Grading Scheme:Letter Grade","ADV 4941","Advanced Advertising Internship","1-3 Credits"
