"subject","course_code","course_name","description","credits"
"Accounting","ACCT 4A05","Professional Program in Accountancy Colloquium 1","1.5 0 Prerequisite:Admission to the professional program in accountancy (PPA). DescriptionIntroduction to the business environment of professional accountants. Repeatability:No Note:May be repeated when topics vary. Additional Fee:Yes","1.5"
"Accounting","ACCT 4A06","Professional Program in Accountancy Colloquium 2","1.5 0 Prerequisite:Admission to the professional program in accountancy (PPA) and completion of ACCT 4A05. DescriptionProfessional responsibilities of CPAs. Repeatability:No Note:May be repeated when topics vary. Additional Fee:No","1.5"
"Accounting","ACCT 2301","Principles of Financial Accounting","3 0 Prerequisite:At least one of the following: pre-business major, declared business major, or if required for a declared minor or special program. DescriptionFinancial accounting and reporting for business majors; learning technical skills in preparing financial statements; developing critical thinking skills in analyzing financial information. Repeatability:No Note:ACCT 2301 meets Business Administration and Management Field of Study requirement. Students cannot receive credit for both ACCT 2301 and ACCT 2305. TCCNS Equivalent: ACCT 2301 Additional Fee:Yes","3"
"Accounting","ACCT 2302","Principles of Managerial Accounting","3 0 Prerequisite:(formerly ACCT 2331) and at least one of the following: pre-business major, declared business major, or if required for a declared minor or special program. DescriptionManagerial accounting and costing for business majors; learning tools and techniques in costing; developing analytical skills in using accounting information in various business contexts. Repeatability:No Note:ACCT 2302 meets Business Administration and Management Field of Study requirement. Students cannot receive credit for both ACCT 2302 and ACCT 2306. TCCNS Equivalent: ACCT 2302 Additional Fee:Yes","3"
"Accounting","ACCT 2305","Foundations of Financial Accounting for Non-business Majors","3 0 Prerequisite:Non-business major. DescriptionFinancial accounting and reporting for non-business majors; preparation and interpretation of financial statements from a user’s perspective; an introduction to generally accepted accounting principles (GAAP). Repeatability:No Note:ACCT 2305 does not meet the Business Administration and Management Field of Study requirement and cannot be used to satisfy degree requirements for majors in business. Students cannot receive credit for both ACCT 2301 and ACCT 2305.  Therefore, students planning to switch their majors to business should only take ACCT 2301 and ACCT 2302 after they change their majors to business. Additional Fee:No","3"
"Accounting","ACCT 2306","Foundations of Managerial Accounting for Non-business Majors","3 0 Prerequisite:or ; and non-business major. DescriptionManagerial accounting and costing for non-business majors to aid in planning, decision making and performance evaluation. Repeatability:No Note:ACCT 2306 does not meet Business Administration and Management Field of Study requirement and cannot be used to satisfy degree requirements for majors in business. Students cannot receive credit for both and ACCT 2306. Additional Fee:No","3"
"Accounting","ACCT 3366","Financial Reporting Frameworks","3 0 Prerequisite:or equivalent with a grade of C or better; with a grade of C or better or concurrent enrollment in ; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionIntroduction to GAAP and IFRS standard setting processes and frameworks. Accounting process and its application.","3.0"
"Accounting","ACCT 3367","Intermediate Accounting I","3 0 Prerequisite:, or equivalent with a grade of C or better; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionAccounting organizations, the conceptual framework of accounting, the accounting process, basic financial statements, and the time value of money. Financial theory and practice in accounting for assets.","3.0"
"Accounting","ACCT 3368","Intermediate Accounting II","3 0 Prerequisite:, with a minimum grade of C; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionFinancial theory and practice in accounting for liabilities, shareholders’ equity, earnings per share, and special disclosure topics.","3.0"
"Accounting","ACCT 3371","Accounting Information Systems","3 0 Prerequisite:, or equivalent with a grade of C or better and or equivalent; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionAccounting systems, including file, program, control, and system structures.","3.0"
"Accounting","ACCT 3377","Cost Accounting","3 0 Prerequisite:with a grade of C or better; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionA review and expansion on issues associated with traditional product-costing methods and recognize the need for changing existing management accounting systems to calculate more accurate product costs and better cost information.","3.0"
"Accounting","ACCT 3378","Management Accounting","3 0 Prerequisite:and ; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionAnalysis and use of cost data in planning, controlling and decision-making. Additional Fee:N","3.0"
"Accounting","ACCT 4107","Oil and Gas Accounting Colloquium","1 0 Prerequisite:A 2.5 GPA in accounting and completed certificate courses and concurrent enrollment in or completion of . DescriptionIntroduction to the business environment of oil and gas accountants. Repeatability:May be repeated when topics vary.","1.0"
"Accounting","ACCT 4108","Internal Audit Colloquium","1 0 Prerequisite:A 2.5 GPA in accounting and completed certificate courses and concurrent enrollment in or completion of . DescriptionIntroduction to the business environment of internal audit auditors. Repeatability:May be repeated when topics vary.","1.0"
"Accounting","ACCT 4198","Independent Study","Prerequisite:junior standing and approval of department chair.","1.0"
"Accounting","ACCT 4330","Advanced Accounting","3 0 Prerequisite:, with minimum grade of C; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionInvestments and consolidations, foreign currency translation, branch accounting, segmental reporting, bankruptcy, and partnerships.","3.0"
"Accounting","ACCT 4331","Federal Income Tax","3.0 0.0 Prerequisite:Good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionTaxation of individuals and property transactions. Repeatability:No Additional Fee:Yes","3.0"
"Accounting","ACCT 4332","Corporate Taxation","3 0 Prerequisite:; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionTaxation of corporations, partnerships, estates, and trusts.","3.0"
"Accounting","ACCT 4335","Financial Statement Auditing","3 0 Prerequisite:, with minimum grade of C, and , with a minimum grade of C; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionFinancial statement auditing standards and procedures, internal control, working papers, and report writing. Repeatability:No Additional Fee:Y","3"
"Accounting","ACCT 4337","Introduction to Data Analytics in Accounting","3 0 Prerequisite:, or equivalent, with a minimum grade of C; , or equivalent, with a minimum grade of C good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionThis course introduces data preparation and analysis, enabling the student to: (a) begin the understanding of data analytics and (b) develop data analytics skills useful in the field of accounting. Repeatability:No Additional Fee:Y","3"
"Accounting","ACCT 4375","Internal Audit and Entity Control Environment","3 0 Prerequisite:or equivalent with a minimum grade of C, junior standing, good academic standing; pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionControl and auditing procedures within companies.","3.0"
"Accounting","ACCT 4378","Oil and Gas Accounting I","3 0 Prerequisite:, with minimum grade of C; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionAccounting for exploration, acquisition, drilling, production, and conveyances of oil and gas.","3.0"
"Accounting","ACCT 4379","Enterprise Risk Management","3 0 Prerequisite:, with a minimum grade of C; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionAn examination of the risks, controls, and assurance services in business organizations. Additional Fee:Y","3.0"
"Accounting","ACCT 4380","Control & Security of Financial Information: Theory and Practice","3 0 Prerequisite:, with a minimum grade of C; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionPolicies, practices, and systems for security of financial information in business. Additional Fee:Y","3.0"
"Accounting","ACCT 4381","Oil and Gas Accounting 2","3 0 Prerequisite:; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionApplication of accounting systems for exploration, acquisition, drilling, production, and conveyances of oil and gas.","3.0"
"Accounting","ACCT 4382","Oil and Gas Accounting 3","3 0 Prerequisite:; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. DescriptionRegulatory environment of oil and gas, including international and tax applications.","3.0"
"Accounting","ACCT 4396","Accounting Internship","0 3 FormerlyACCT 4341 Accounting Internship Prerequisite:Junior standing and prior written approval of the program director. DescriptionEnhancement of concepts and techniques learned in the classroom through work experience directly related to the auditing or accounting profession. Note:Internship credit is limited to three credit hours and requires employer evaluation.","3.0"
"Accounting","ACCT 4397","Selected Topics in Accounting","3 0 Prerequisite:Cr. 3. (3-0). Approval of chair or program director; good academic standing; and one or more of the following: pre-business major with advisor approval, declared business major, or if required for a declared minor or special program. Repeatability:Yes Note:May be repeated when topics vary. Additional Fee:Yes","3"
"Accounting","ACCT 4398","Independent Study","Prerequisite:junior standing and approval of department chair.","3.0"
"Accounting","ACCT 5198","Independent Study","1 0 Prerequisite:A baccalaureate degree and approval of department chair. Repeatability:Yes Additional Fee:N","1"
"Accounting","ACCT 5301","Financial and Managerial Accounting","3 0 Prerequisite:A baccalaureate degree and admission into the CAP program. DescriptionFundamentals of financial and managerial accounting. Repeatability:No Additional Fee:Y","3"
"Accounting","ACCT 5330","Advanced Accounting","3 0 Prerequisite:a baccalaureate degree and or equivalent. DescriptionInvestments and consolidations, foreign currency translation, branch accounting, segmental reporting, bankruptcy, and partnerships. Additional Fee:Yes","3.0"
"Accounting","ACCT 5331","Federal Income Tax","3.0 0.0 Prerequisite:A baccalaureate degree. DescriptionTaxation of individuals and property transactions. Repeatability:No Additional Fee:Yes","3.0"
"Accounting","ACCT 5332","Taxation of Business Entities","3.0 0.0 Prerequisite:A baccalaureate degree and or equivalent. DescriptionTaxation of corporations, partnerships, estates and trusts. Repeatability:No Additional Fee:Yes","3.0"
"Accounting","ACCT 5335","Financial Statement Auditing","3 0 FormerlyACCT 5335 Auditing Prerequisite:A baccalaureate degree, with a minimum grade of C, and with a minimum grade of C. DescriptionFinancial statement auditing standards and procedures, internal control, working papers and report writing. Repeatability:No Additional Fee:Y","3"
"Accounting","ACCT 5337","Management Accounting","3 0 Prerequisite:A baccalaureate degree and , or equivalent, with a minimum grade of C. DescriptionCost accounting, including standard costing, information for managerial planning and control, and information for special decisions. Repeatability:No Additional Fee:Y","3"
"Accounting","ACCT 5367","Intermediate Accounting I","3 0 Prerequisite:A baccalaureate degree and , or equivalent, with a minimum grade of C. DescriptionAccounting organizations, the conceptual framework of accounting, the accounting process, basic financial statements, and the time value of money. Financial theory and practice in accounting for assets, liabilities and equity. Repeatability:No Additional Fee:Y","3"
"Accounting","ACCT 5368","Intermediate Accounting II","3 0 Prerequisite:A baccalaureate degree and or equivalent with a minimum grade of C. DescriptionFinancial theory and practice in accounting for earnings per share, investments, revenue, leases, pensions, deferred taxes and accounting changes. Repeatability:No Additional Fee:Y","3"
"Accounting","ACCT 5371","Accounting Information Systems","3 0 Prerequisite:A baccalaureate degree and or equivalent, with a minimum grade of C. DescriptionAccounting systems, including file, program, control, and system structures. Repeatability:No Additional Fee:Yes","3"
"Accounting","ACCT 5372","Introduction to Data Analytics in Accounting","3 0 Prerequisite:A baccalaureate degree, with a minimum grade of C and with a minimum grade of C. DescriptionIntroduction to data preparation and analysis in order to begin the understanding of data analytics and develop data analytics skills useful in the field of accounting. Repeatability:No Additional Fee:No","3"
"Accounting","ACCT 5373","Applied Data Analytics Tools in Accounting","3.0 0.0 Prerequisite:A baccalaureate degree and completion of . DescriptionTopics include data extraction, transformation and load processes, data visualization, data analysis, and reporting of analytics results to decision makers. Repeatability:No Note:Course continually updated for advances in data analytics; review the course syllabus for details. Additional Fee:Yes","3.0"
"Accounting","ACCT 5374","Applied Data Analytics Computational Techniques in Accounting","3.0 0.0 Prerequisite:A baccalaureate degree and completion of . DescriptionContinuation of data analytics scripting techniques to obtain, describe, explore, manipulate, and analyze complex data sets and apply the techniques to a wide range of accounting, audit, and tax issues. Repeatability:No Note:Course continually updated for advances in data analytic methods; review the course syllabus for details. Additional Fee:Yes","3.0"
"Accounting","ACCT 5375","Internal Auditing and the Entity Control Environment","3 0 Prerequisite:A baccalaureate degree and or equivalent, with a minimum grade of C. DescriptionControl and auditing procedures within companies. Repeatability:No Additional Fee:Yes","3"
"Accounting","ACCT 5376","Advanced Financial Statement Auditing","3 0 Prerequisite:a baccalaureate degree and or equivalent DescriptionCurrent issues in auditing. Emphasis on practical applications Additional Fee:Yes","3.0"
"Accounting","ACCT 5377","Government and Nonprofit Accounting","3 0 Prerequisite:A baccalaureate degree and or equivalent, with minimum grade of C. DescriptionPrinciples of fund accounting, governmental budgets, program-planning-budget systems, hospital and not-for-profit accounting systems. Repeatability:No Additional Fee:Yes","3"
"Accounting","ACCT 5378","Control & Security of Financial Information: Theory and Practice","3 0 Prerequisite:A baccalaureate degree, and concurrent enrollment or completion of . DescriptionPolicies, practices, and systems for security of financial information in business. Additional Fee:Y","3.0"
"Accounting","ACCT 5379","Enterprise Risk Management","3 0 Prerequisite:A baccalaureate degree, and concurrent enrollment or completion of . DescriptionAn examination of the risks, controls, and assurance services in business organizations. Additional Fee:Y","3.0"
"Accounting","ACCT 5380","Oil and Gas Accounting 1","3 0 Prerequisite:a baccalaureate degree, or equivalent. DescriptionAccounting for exploration, acquisition, drilling, production, and conveyances of oil and gas. Additional Fee:Yes","3.0"
"Accounting","ACCT 5381","Oil and Gas Accounting 2","3 0 Prerequisite:a baccalaureate degree, or equivalent. DescriptionApplication of accounting systems for exploration, acquisition, drilling, production, and conveyances of oil and gas. Additional Fee:Yes","3.0"
"Accounting","ACCT 5382","Oil and Gas Accounting 3","3 0 Prerequisite:a baccalaureate degree, or equivalent. DescriptionRegulatory environment of oil and gas, including international and tax applications. Additional Fee:Yes","3.0"
"Accounting","ACCT 5397","Selected Topics in Accounting","3 0 Prerequisite:A baccalaureate degree and ACCT 5301 or equivalent. Repeatability:Yes Note:May be repeated when topics vary. Additional Fee:Yes","3"
"Accounting","ACCT 5398","Independent Study","3 0 Prerequisite:A baccalaureate degree and approval of department chair. Repeatability:Yes Additional Fee:N","3"
"African American Studies","AAS 2320","Intro To African American Stdy","3 0 Prerequisite:. DescriptionAn introductory analysis of the discipline of African American/African Studies, its mission, key theories and major concerns. Repeatability:No Core Category:(40) Core-Language, Philosophy & Culture Additional Fee:Y","3"
"African American Studies","AAS 2330","Black Liberation Theology","3 0 Prerequisite:. DescriptionThis course will examine, compare and contrast the theologies and resulting programmatic actions taken by persons espousing Black Liberation Theology. Repeatability:No Core Category:(40) Core-Language, Philosophy & Culture Additional Fee:Y","3"
"African American Studies","AAS 2375","Introduction to Black Women’s Studies","3 0 Prerequisite:or . DescriptionThis course is an interdisciplinary study of Black women’s historical and contemporary experiences, including their contributions and challenges, in the societies in which they live. The focus may be comparative or on women of a specific region, religious background, or national origin. It may cover such topics as sexual identity, class standing, religious practices, hair and beauty, mothering, political leadership and community organizing. Repeatability:No Additional Fee:No","3"
"African American Studies","AAS 2396","The History of Black Education","3 0 Prerequisite:. DescriptionThis course is designed to study the impact of African Americans on the making of America and relevant contributions to black education, including essays, monographs, anthologies, journals and other writings of individuals such as Booker T. Washington, W.E.B . Du Bois and Carter G. Woodson. Additional focus on pivotal events that reshaped American society and African American education such as Brown vs. The Board of Education, Jim Crow Laws, No Child Left Behind and the School to Prison Pipeline. Repeatability:No Additional Fee:N","3"
"African American Studies","AAS 3301","Hip Hop History and Culture","3 0 Prerequisite:None. DescriptionHip Hop as a cultural phenomena, expression, and experience for African American people. Repeatability:No Additional Fee:N","3"
"African American Studies","AAS 3307","Africana Spiritual Transformation","3 0 Prerequisite:. DescriptionUsing social science data to critically investigate communal self-reflection and introspection of the human experience are core tenets of Africana phenomenology. Epistemological approaches to understanding Africana phenomenon which include, cultural worldviews that shape human thoughts, feelings, perceptions, and behavior, will be explored in detail throughout this course. Repeatability:Yes Additional Fee:Y","3"
"African American Studies","AAS 3310","Afr Amer Exper Through Theatre","3 0 Prerequisite:or consent of instructor. DescriptionCritical analysis and issues relevant to contemporary works of African-American playwrights in historical and sociological contexts. Repeatability:No Additional Fee:Y","3"
"African American Studies","AAS 3315","African American Art","3 0 Prerequisite:or consent of instructor. DescriptionThis couse surveys the work of African American artists, from the 19th century to the present. The course will discuss African American respresentation in visual media including: painting, sculpture, prints, photography and contemporary performances. The course addresses the ways in which artists and scholars have worked to define “African American Art” in relationto Euro-American, and African cultural production, as well as the evolving social and political history of people of African descent in the United States. Repeatability:No Additional Fee:No","3"
"African American Studies","AAS 3322","Black (Im)migrants, Refugees, and Health","3 0 Prerequisite:. DescriptionAn overview of the sociological understanding of black forced migrants and refugees and their health in Africa and the USA. Repeatability:No Additional Fee:No","3"
"African American Studies","AAS 3323","Comparative Health Care: Africa and the USA","3 0 Prerequisite:. DescriptionA comparative analysis of health care systems in African countries and the USA. Repeatability:No Additional Fee:No","3"
"African American Studies","AAS 3325","African American Studies Theory, Methods and Research","3.0 0.0 Prerequisite:. DescriptionAfrican American Studies Theory, Methods and Research is an undergraduate course designed to initiate student understanding of intellectual inquiry and research processes. Interdisciplinary social science approaches will allow students to engage with the tenets of various diasporic forms of analysis. Students will gain knowledge in the uses of principles that are applicable research methodologies, including; questionnaires, historiography, ethnography, focus groups, coding, instrument creation, digital humanities, archival research, and empirical counterevidence. Repeatability:No Additional Fee:No","3.0"
"African American Studies","AAS 3330","African American Oral History","3 0 Prerequisite:and or consent of instructor. DescriptionDevelopment of oral history as a discipline and its use in developing sources for African American and Africans history. Practical training in oral interviewing techniques through field work. Repeatability:No Additional Fee:Y","3"
"African American Studies","AAS 3339","Aging and Health in Africa and the USA","3 0 Prerequisite:. DescriptionAn overview of the structural forces that lead to stratified later-life health and well-being outcomes among Africans in Africa and the USA. Repeatability:No Additional Fee:No","3"
"African American Studies","AAS 3340","African Amer Sociolinguistics","3 0 Prerequisite:or consent of instructor. DescriptionSignificant theories and arguments concerning the genesis, maintenance, and social function of African American English. Changing and diverse character of the African American speech community as described by dialectologists, sociolinguists, and Creologists. Repeatability:No Additional Fee:N","3"
"African American Studies","AAS 3348","African Americans and the Law","3 0 Prerequisite:. DescriptionHistorical and contemporary analyses of American laws and constitutional decisions affecting African Americans from slavery to the present. Repeatability:No Additional Fee:Y","3"
"African American Studies","AAS 3349","African Americans, Politics and Legal Studies","3 0 Prerequisite:or consent of instructor. DescriptionAfrican Americans, Politics, and Legal Studies introduces students to major concepts and significant themes in the contemporary study of law and policy that has affected the Black experience in America. Special attention will be given to topics surrounding the criminal justice system including probation, mass incarceration and racial profiling. Repeatability:No Additional Fee:N","3"
"African American Studies","AAS 3350","Slavery and Race Relations","3 0 Prerequisite:or consent of instructor. DescriptionThe black experience in the Americas outside of the U.S. Historical and geographical aspects of black life and race relations, both during and after slavery, contrasted with European and Native American experiences. Common themes traced using the cross-cultural approach among Africana ethnic groups. Repeatability:No Additional Fee:Y","3"
"African American Studies","AAS 3354","African Nationalist Thought and Ethics in the US","3 0 Prerequisite:. DescriptionVarious intellectual traditions and historical developments that contribute to the quest by African people to build or recover cultural sovereignty within the U.S. Repeatability:Yes Additional Fee:Y","3"
"African American Studies","AAS 3356","Africana Thought & Philosophy","3 0 Prerequisite:or consent of instructor. DescriptionPolitical and social philosophies which have shaped the struggle for Black liberation in the United States; strategies and ideologies such as integration, cultural assimilation, nonviolence, passive resistance, direct action, and Pan-Africanism; thoughts and ideas of Africana leadership figures throughout the global diaspora. Repeatability:No Additional Fee:Y","3"
"African American Studies","AAS 3358","Gender and Health Care in Africa","3 0 Prerequisite:. DescriptionAn overview of gender as a social determinant of health and health care in Africa Repeatability:No Additional Fee:No","3"
"African American Studies","AAS 3366","African American Studies Community Internship","3 0 Prerequisite:Major in African American Studies, Junior Classification, and Approval from Director of African American Studies. DescriptionThis internship provides African American Studies Majors with Junior classification and approval from the Director of African American Studies supervised practice and educational experiences to study, express, or resolve contemporary issues impacting African American and African descended communities. Repeatability:No Additional Fee:No","3"
"African American Studies","AAS 3370","Poverty and Inequality in Urban America","3.0 0.0 Prerequisite:. DescriptionPoverty and Inequality in Urban American introduces students to the challenges facing urban centers in the United States. Special attention will be given to explain the housing crisis in urban centers along with the impacat of urban revitalization and gentrification. Repeatability:No Additional Fee:No","3.0"
"African American Studies","AAS 3375","Black Women in the U.S.","3 0 Prerequisite:. DescriptionThis course examines the social, cultural, and political contexts in which race, gender, class, sexuality and other dimensions of difference intersect to influence the lives and experiences of Black women in U.S. Society. This course takes a historical, social and theoretical look at the roots of inequality and how Black women have responded to it. Repeatability:No Additional Fee:No","3"
"African American Studies","AAS 3377","Black Feminist Thought","3.0 0.0 Prerequisite:. DescriptionBlack Feminist Thought seeks to exsplain how Black women are defined in a variety of cultural contexts, as well as examine how race, gender and sexuality are central to the analysis of Black Feminist Thought. Students will become fluent in the grammar of intersectionality, and increase their understandings of the social construct of racialized societies. Repeatability:No Additional Fee:No","3.0"
"African American Studies","AAS 3379","Africana Oratory","3 0 Prerequisite:or consent of instructor. DescriptionRepresentative African and African American oratory throughout history. Repeatability:No Additional Fee:Y","3"
"African American Studies","AAS 3390","Harlem Renaissance","3 0 Prerequisite:. DescriptionThis course is an interdisciplinary exploration of the history, politics and culture that encompassed the New Negro movement also known as the Harlem Renaissance. Students will study the writers, artists, performers and political leaders, such as Ma Rainey, Zora Neale Hurston, W.E.B. Du Bois and Marcus Garvey, who were prominent between 1900-1940 and their responses to racial violence, class disparities, and World War I. Repeatability:No Additional Fee:No","3"
"African American Studies","AAS 3394","Selected Topics Afr Am Stdy","3 0 Repeatability:Yes Additional Fee:Y","3"
"African American Studies","AAS 4300","African Philosophy","3 0 Prerequisite:or consent of instructor. DescriptionHistorical and contemporary African philosophical/theological concepts: cosmological, metaphysical, ontological, and ethical world view. Repeatability:No Additional Fee:Y","3"
"African American Studies","AAS 4310","The Black Middle Class","3.0 0.0 Prerequisite:. DescriptionThe Black Middle Class examines the myraid sociocultural and political factors that contributed to the emergence of the Black middle class and the impact of growing class stratification within the Black community. Repeatability:No Additional Fee:No","3.0"
"African American Studies","AAS 4330","The Black Church in America","3 0 Prerequisite:, , and or equivalent. DescriptionThe institutional church’s role in the life of black Americans and influence in the black community. Repeatability:No Additional Fee:Y","3"
"African American Studies","AAS 4365","Literature of African and the Diaspora","3 0 Prerequisite:or . DescriptionCritical survey of literature, such as novels, essays, short fiction, and poetry, written by people of Africa and the diaspora and their culture, ideas, and experiences from the eighteenth century to present. Repeatability:No Additional Fee:No","3"
"African American Studies","AAS 4370","Sem. African American Studies","3 0 Prerequisite:and AAS 2322 or consent of instructor. DescriptionHistorical, intellectual, and professional foundations of African American Studies. Repeatability:No Additional Fee:N","3"
"African American Studies","AAS 4373","Black Leadership","3 0 Prerequisite:and AAS 2322 or consent of instructor. DescriptionHistorical, intellectual, and professional foundations of African American Studies. Repeatability:No Additional Fee:Yes","3"
"African American Studies","AAS 4377","Seminar On W.E.B. Dubois","3 0 Prerequisite:or consent of instructor. DescriptionWritings and ideas of W.E.B. DuBois from an interdisciplinary perspective. Repeatability:No Additional Fee:N","3"
"Air Force Science","AFSC 1201","Foundations of the USAF I","1 1 DescriptionOverall roles and missions of the USAF; career fields available. Emphasis on military customs and courtesies, appearance standards, core values, written and personal communication. Introduction to American military history.","2.0"
"Air Force Science","AFSC 1202","Foundations of the USAF II","1 1 DescriptionOverall roles and missions of the USAF; career fields available. Emphasis on military customs and courtesies, appearance standards, core values, written and personal communication. Introduction to American military history.","2.0"
"Air Force Science","AFSC 2201","Evolution of Air Power I","1 1 DescriptionKey historical events and milestones in the development of air power as a primary instrument of United States national security. Core values and competencies of leaders in the United States Air Force. Tenets of leadership and ethics.","2.0"
"Air Force Science","AFSC 2202","Evolution of Air Power II","1 1 DescriptionKey historical events and milestones in the development of air power as a primary instrument of United States national security. Core values and competencies of leaders in the United States Air Force. Tenets of leadership and ethics.","2.0"
"Air Force Science","AFSC 3301","Air Force Leadership Studies I","3 1 DescriptionLeadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, and leadership ethics. Case studies of Air Force leadership and management situations.","3.0"
"Air Force Science","AFSC 3302","Air Force Leadership Studies II","3 1 DescriptionLeadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, and leadership ethics. Case studies of Air Force leadership and management situations.","3.0"
"Air Force Science","AFSC 3801","Field Training","Prerequisite:or consent of department chair. DescriptionNo military obligation is associated with this course. Four week off-campus field training practicum. Introduces student to Air Force leadership. Places student in demanding and stressful leadership situations.","9.0"
"Air Force Science","AFSC 4301","National Security Affairs I","3 1 DescriptionEvolution of the role of national security in a democratic society with emphasis on policy formation, competing values, and organizations. Civilian control of the military; roles of the services; functions of the Air Force Commands.","3.0"
"Air Force Science","AFSC 4302","National Security Affairs II","3 1 DescriptionEvolution of the role of national security in a democratic society with emphasis on policy formation, competing values, and organizations. Civilian control of the military; roles of the services; functions of the Air Force Commands.","3.0"
"American Sign Language","SGNL 1301","Elementary Sign Language I","3 0 Prerequisite:None. DescriptionIntroduction to American Sign Language (ASL); understanding and expression of basic vocabulary, basic grammar rules and non-manual aspects. Repeatability:No Note:Language lab access and community involvement required in addition to class meetings. TCCNS Equivalent: SGNL 1301 Additional Fee:Y","3"
"American Sign Language","SGNL 1302","Elementary Sign Language II","3 0 FormerlyCOMD 1302 Prerequisite:within the last 12 months, placement testing into SGNL 1302 or passing of Departmental exam. DescriptionContinuation of ; understanding and expression of broader lexicon, advanced grammar and non-manual aspects. Repeatability:No Note:Language lab access and community involvement required in addition to class meetings. Typically Offered: Fall, Spring, Summer TCCNS Equivalent: SGNL 1302 Additional Fee:Y","3"
"American Sign Language","SGNL 2301","Intermediate Sign Language I","3 0 FormerlyCOMD 2301 Prerequisite:Grade of C- or better in within the last 12 months, placement testing into SGNL 2301 or passing of Departmental exam. DescriptionExpansion on ; understanding and expression of expanded lexicon, the use of classifiers and rules for categorization. Repeatability:No Note:Language lab access and community involvement required in addition to class meetings. Typically Offered: Fall, Spring, Summer TCCNS Equivalent: SGNL 2301 Additional Fee:Y","3"
"American Sign Language","SGNL 2302","Intermediate Sign Language II","3 0 Prerequisite:Grade of C- or better in SGNL 2301 within the last 12 months, placement testing into SGNL 2302 or passing of Departmental exam. DescriptionContinuation of SGNL 2301; understanding expression of a wide lexicon for story telling in ASL including the use of classifiers and non-manual expression.  Language lab access and community involvement required in addition to class meetings. Repeatability:No Typically Offered: Fall, Spring, Summer TCCNS Equivalent: SGNL 2302 Additional Fee:Yes","3"
"Anthropology","ANTH 2301","Introduction to Physical Anthropology","3 0 Prerequisite:Concurrent enrollment in or completion of or equivalent. DescriptionPhysical anthropology emphasizing origins and biological diversity of human populations. Repeatability:No Core Category:(80) Core-Social & Behavioral Science TCCNS Equivalent: ANTH 2301 Additional Fee:Y","3"
"Anthropology","ANTH 2302","Introduction to Archeology","3 0 Prerequisite:Concurrent enrollment in or completion of or equivalent. DescriptionAn introduction to the history, methods, and theory within modern archaeology, including discussion of data collection, analysis, dating techniques, and interpretation. Repeatability:No Core Category:(80) Core-Social & Behavioral Science TCCNS Equivalent: ANTH 2302 Additional Fee:Y","3"
"Anthropology","ANTH 2304","Intro To Language and Culture","3 0 Prerequisite:Concurrent enrollment in or completion of or equivalent. DescriptionAnthropological perspectives on the relation of language and culture including social use of language, language as behavior, and non-verbal communication. Repeatability:No Core Category:(81) Core-Writing in Discipline WID Additional Fee:Y","3"
"Anthropology","ANTH 2346","Introduction to Anthropology","3 0 Prerequisite:Credit for or concurrent enrollment in or equivalent. DescriptionNature and principles of anthropology, discussion of variation in culture, language, and human biology in time and space. Repeatability:No Core Category:(80) Core-Social & Behavioral Science TCCNS Equivalent: ANTH 2346 Additional Fee:Y","3"
"Anthropology","ANTH 2351","Introduction to Cultural Anthropology","3 0 Prerequisite:Concurrent enrollment in or completion of or equivalent. DescriptionSurvey of basic concepts and data in cultural anthropology, focusing on contemporary and recent human groups. Repeatability:No Core Category:(80) Core-Social & Behavioral Science TCCNS Equivalent: ANTH 2351 Additional Fee:Y","3"
