"department","course_code","course_name","course_hours","course_description"
"Accounting Courses (ACCT)","ACCT:1300","First-Year Seminar","1 s.h.","Small discussion class taught by faculty member; topics chosen by instructor; may include outside activities (e.g., films, readings, visits to research facilities)."
"Accounting Courses (ACCT)","ACCT:2100","Introduction to Financial Accounting","3 s.h.","Accounting and financial reporting procedures used by business and not-for-profit entities; emphasis on accounting concepts and use of accounting information in making economic decisions."
"Accounting Courses (ACCT)","ACCT:2200","Managerial Accounting Analytics and Data Visualization","3 s.h.","Basic topics in cost behavior, measurement, accumulation; use of cost data for relevant analysis, budgeting, performance evaluation. Prerequisites: ECON:1100 and ACCT:2100 and ( MATH:1850 or MATH:1550 or MATH:1460 or MATH:1860 or MATH:1350 )."
"Accounting Courses (ACCT)","ACCT:3020","Financial Accounting and Reporting","3 s.h.","External financial reporting practices in context of decisions by management, current and potential stockholders, financial analysts; emphasis on interpretation, use of financial statements. Prerequisites: ACCT:2200 ."
"Accounting Courses (ACCT)","ACCT:3100","Professional Accounting Seminar","1 s.h.","Seminar topics, including accounting careers, curriculum, MAc program, internships, CPA examination and other professional certificates, Beta Alpha Psi, ethics, and global standards. Offered fall semesters. Corequisites: ACCT:2200 or ACCT:3200 ."
"Accounting Courses (ACCT)","ACCT:3200","Income Measurement and Asset Valuation","3 s.h.","Accounting rules that determine how economic events and transactions are described in published financial reports; emphasis on revenue and expense recognition, asset valuation, accrual accounting model. Prerequisites: ACCT:2100 ."
"Accounting Courses (ACCT)","ACCT:3300","Valuation of Financial Claims","3 s.h.","Current and long-term liabilities and stockholders' equity, off-balance sheet financing, cash flow statement, earnings-per-share, financial instruments. Prerequisites: ACCT:3100 and ACCT:3200 ."
"Accounting Courses (ACCT)","ACCT:3400","Introduction to Taxation","3 s.h.","Federal income taxation of individuals and businesses, including corporations, partnerships, and sole proprietorships; emphasis on developing a broad perspective on structure, administration, and rationale of federal income tax system. Prerequisites: ACCT:2100 ."
"Accounting Courses (ACCT)","ACCT:3420","Taxes and Business Strategy","3 s.h.","Effect of taxes on business decisions, including investment strategies, capital structure decisions, compensation policies, international business, mergers and acquisitions, and financial reporting. Prerequisites: ACCT:2100 ."
"Accounting Courses (ACCT)","ACCT:3450","Tax Practicum (VITA) I","0,2 s.h.","Transformative opportunity to work on real world tax problems with real clients; application of skills learned in classroom to real world problems; development of crucial accounting career soft skills including communication (explaining complicated ideas in simple language), moving out of one's comfort zone, working as a team, and having an appreciation for the importance of community service."
"Accounting Courses (ACCT)","ACCT:3451","Tax Practicum (VITA) II","1 s.h.","Transformative opportunity to work on real world tax problems with real clients; application of skills learned in classroom to real world problems; development of crucial accounting career soft skills including communication (explaining complicated ideas in simple language), moving out of one's comfort zone, working as a team, and having an appreciation for importance of community service. Prerequisites: ACCT:3450 . Requirements: successful completion of ACCT:3450 and certification on the most recent Internal Revenue Service certification tests."
"Accounting Courses (ACCT)","ACCT:3500","Advanced Tax Topics","3 s.h.","Taxation of corporations and partnerships from organization through liquidation; relative merits of conducting business as C corporation, partnership, S corporation; the alternative minimum tax; introduction to tax research. Prerequisites: ACCT:3400 ."
"Accounting Courses (ACCT)","ACCT:3550","Financial Statement Analysis","3 s.h.","How to analyze published financial statements; practical experience using financial statement information to assess accounting quality, historical performance, forecasted performance, credit risk, firm value. Prerequisites: ACCT:3020 or ACCT:3200 ."
"Accounting Courses (ACCT)","ACCT:3600","Accounting Systems and Analytics","3 s.h.","Application of computer technology and internal controls to accounting and transaction processing systems; auditing of information systems; information systems infrastructure and trends; problem solving with Python and databases; accounting cycle operations. Prerequisites: ACCT:2200 and ACCT:2100 and ( BAIS:3005 or CS:2110 ). Same as BAIS:3100 ."
"Accounting Courses (ACCT)","ACCT:4000","Special Topics in Accounting","1-3 s.h.",""
