"subject","course_code","course_name","description","credits"
"College of Arts and Sciences","A&S 100","SPECIAL INTRODUCTORY COURSE: TITLE TO BE ASSIGNED","This course permits the offering at the introductory level of special courses of an interdisciplinary, topical, or experimental nature. Each proposal must be approved by the Dean of the College of Arts and Sciences. A particular title may be offered at most three times under the A&S 100 number. Students may not repeat under the same title. May be repeated to a maximum of 12 credits.   Prereq: Will be set by instructor.  Approved for Distance Learning.  Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 101","SPECIAL INTRODUCTORY COURSE: TITLE TO BE ASSIGNED","This course permits the offering at the introductory level of special courses of an interdisciplinary, topical or experimental nature. Each proposal must be approved by the Dean of the College of Arts and Sciences. A particular title may be offered at most twice under the A&S 101 number.  Students may not repeat under the same title. Offered Pass/Fail only. May be repeated to a maximum of 12 credits.   Prereq: Will be set by instructor.  Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 103","BASIC INSTRUCTION IN LESS COMMONLY TAUGHT LANGUAGES I (SUBTITLE REQUIRED)","This course provides elementary language instruction with an emphasis upon the spoken languge of everyday use where appropriate. Writing and the elements of grammar are gradually introduced. Students may not repeat this course under the same subtitle.   Prereq: Will be set by instructor.","3 - 5 (Variable)"
"College of Arts and Sciences","A&S 104","BASIC INSTRUCTION IN LESS COMMONLY TAUGHT LANGUAGES II (SUBTITLE REQUIRED)","A continuation of A&S 103. Students may not repeat this course under the same subtitle.   Prereq: A&S 103.","3 - 5 (Variable)"
"College of Arts and Sciences","A&S 110","SPECIAL INTRODUCTORY COURSE IN HUMANITIES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Humanities requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 111","SPECIAL INTRODUCTORY COURSE IN HUMANITIES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Humanities requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 112","SPECIAL INTRODUCTORY COURSE IN HUMANITIES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Humanities requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 113","SPECIAL INTRODUCTORY COURSE IN HUMANITIES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Humanities requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 114","SPECIAL INTRODUCTORY COURSE IN HUMANITIES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Humanities requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 115","SPECIAL INTRODUCTORY COURSE IN HUMANITIES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Humanities requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 116","SPECIAL INTRODUCTORY COURSE IN HUMANITIES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Humanities requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 117","SPECIAL INTRODUCTORY COURSE IN HUMANITIES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Humanities requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 118","SPECIAL INTRODUCTORY COURSE IN HUMANITIES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Humanities requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 119","SPECIAL INTRODUCTORY COURSE IN HUMANITIES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Humanities requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 120","SPECIAL INTRODUCTORY COURSE IN THE NATURAL, PHYSICAL, OR MATHEMATICAL SCIENCES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Natural, Physical, or Mathematical Sciences requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 121","SPECIAL INTRODUCTORY COURSE IN THE NATURAL, PHYSICAL, OR MATHEMATICAL SCIENCES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Natural, Physical, or Mathematical Sciences requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
"College of Arts and Sciences","A&S 122","SPECIAL INTRODUCTORY COURSE IN THE NATURAL, PHYSICAL, OR MATHEMATICAL SCIENCES: (SR)","An introductory course of an interdisciplinary, topical, or experimental nature which may be used toward partial fulfillment of the Natural, Physical, or Mathematical Sciences requirement in the College of Arts and Sciences.  Each pilot or experimental course must be approved by the department chair and by the Dean of the College of Arts and Sciences; a particular title may be offered no more than three times under this course number.  Open to all university students, subject to controlled enrollment or prerequisites as set by the instructor. May be repeated under different subtitles up to 12 SCH.   Repeatable up to 12 credit hours.","1 - 6 (Variable)"
