"code","level","title","department","description"
"ACCOUNTG-221","Undergraduate","Principles of Financial Accounting","Accounting","Preparation and uses of financial statements of business enterprises; the accounting process of recording, classifying, and interpreting business transactions. Conceptual problems analyzed include accounting for inventories, depreciation, and capital stock."
"ACCOUNTG-222","Undergraduate","Principles of Managerial Accounting","Accounting","Managerial accounting for non-accountants. Focus is on the use of accounting information to improve planning and control activities in business enterprises. Topics include determining the costs of products and services, assessing product and project profitability, and budgeting and monitoring costs and profits. Prerequisite: ACCOUNTG 221."
"ACCOUNTG-311","Undergraduate","Accounting Information Systems","Accounting","Examines representing, capturing, and reporting of information about events relevant to the operations of a business organization. The course also uses various data analytics approaches to analyze the efficiency, effectiveness, and control of business processes. Controls over business operations are examined from a number of different perspectives including COSO and CoBIT."
"ACCOUNTG-321","Undergraduate","Intermediate Financial Accounting I","Accounting","Continuation of ACCOUNTG 221. Conceptual framework for accounting for a firm&#039;s reported assets. The nature of assets, their recognition, measurement, and disclosure. Motivations of management in choosing among acceptable accounting alternatives in each of these areas examined, along with the economic consequences of such choices. Prerequisite: ACCOUNTG 221."
"ACCOUNTG-423","Undergraduate","Advanced Financial Accounting","Accounting","This course will provide a conceptual framework for accounting for the combination of firms into a single economic entity. Topics include business combination consolidation problems, and accounting for international operations by examining translation of foreign currency financial statements and accounting for foreign currency transactions. Also examines fund and not-for-profit accounting."
"ACCOUNTG-483","Undergraduate","CPA Law","Accounting","A broad survey of legal problems encountered in business transactions; emphasis on implications to accountants and auditors. Prerequisite: MANAGMNT 260."
"AFROAM-151","Undergraduate","Literature &amp; Culture","Afro-American Studies","Relevant forms of Black cultural expressions contributing to the shape and character of contemporary Black culture; the application of these in traditional Black writers. Includes: West African cultural patterns and the Black past; the transition-slavery, the culture of survival; the cultural patterns through literature; and Black perceptions versus white perceptions. (Gen.Ed. AL, DU)"
"ANTHRO-100","Undergraduate","Human Nature","Anthropology","Introduces the full range of human cultural and biological diversity. Human evolution, rise and fall of civilizations, non-Western cultures, and the human condition in different societies today. Emphasis on the relationships among biological, environmental, and cultural factors. (Gen.Ed. SB, DG)"
"ANTHRO-104","Undergraduate","Culture, Society and People","Anthropology","The nature of culture and its role in creating forms of social, economic, and political life in diverse historical and geographical contexts. Readings drawn from contemporary ethnographies of various peoples, analyzing the persistence of cultural diversity in the midst of global social and socioeconomic forces. (Gen.Ed. SB, DG)"
"ANTHRO-106","Undergraduate","Culture Through Film","Anthropology","Exploration of different societies and cultures, and of the field of cultural anthropology through the medium of film. Ethnographic and documentary films; focus on gender roles, ethnicity, race, class, religion, politics, and social change. (Gen.Ed. SB, DG)"
