"subject","course_code","course_name","description","credits"
"Other Courses","CHNS 3203","Advanced Chinese Grammar and Conversation","CHNS 3203 is a required course for the Chinese Minor. It is designed for students who have successfully completed Chinese Grammar and Conversation I (CHNS 3201) at UNC Charlotte, or have acquired knowledge and skills equivalent to successful completion of CHNS 3201 elsewhere. This course aims to improve students’ levels of communicative competence in listening, speaking, reading, writing and cultural acquisition. Students will continue to develop and expand their understanding and use of the Chinese language, especially more specialized vocabulary, and complex sentence structures. In addition to improving the students’ fluency in the vernacular style, the course also begins to introduce students to some basic “Literary style” expressions, including vocabulary, idiomatic expressions and stylistics. The course is conducted in Chinese.    Prerequisite(s):CHNS 3201 or permission of the department","3"
"Other Courses","ENGL 3100","Approaches to Literature and Culture","Introductory study and application of major critical approaches to literature, such as formalism, race studies, new historicism, gender and sexuality studies, postcolonialism, ecocriticism, class studies, and poststructuralism, with an emphasis on diverse perspectives and on writing about literature.","3"
"Other Courses","ETFS 4132","Fireground Hydraulics","Exploration of the application of force, weight, velocity and pressure as it relates to the movement of water on the fire ground.  Fire loads and the calculation of needed quantities of water are reviewed.  Friction loss and flows are calculated for hand hose lines, supply line and master streams.  Problems solved will include nozzle reaction forces, theoretical limits of fire pumps, unusual and complex hose layouts including but not limited to wyes, siamese and supply lines.","3"
"Other Courses","ETFS 4901","Fire Safety Research & Data Analysis","Examines the basic principles of research and methodology for analyzing current fire-related research. The course also provides a framework for conducting and evaluating independent research in the following areas: fire dynamics, fire test standards and codes, fire safety, fire modeling, structural fire safety, life-safety, firefighter health and safety, automatic detection and suppression, transportation fire hazards, risk analysis and loss control, fire service applied research and new trends in fire-related research. The course also focuses on data visualization and how to format data into useful information.","3"
"Other Courses","HAHS 1511","Local Social Science: Issues of Health and Quality of Life","All Local Theme courses explore the central, unifying question of what it means to be a member of the “local” community in which we live. Through the study of the experiences of different peoples, cultures, and communities in our city, our region, or our nation students will be able to better understand themselves in the context of the complex and diverse society in which we live. This local theme course explores individual and social aspects of health. Analysis of individual health and illness behavior and theory; the social, political, and economic contexts of health and illness; and the broad cultural, ethical, and religious understandings of health and illness. May not be taken for credit and for a grade if credit has been received forLBST 2214.   General Education Requirement(s) Satisfied:Local Social Science","3"
"Other Courses","ITLN 1502","Global Arts/Humanities: Italian Culture in the World","This Global Theme course uses the methods and insights of the social sciences to explore the central question of what it means to be a citizen of the world. Through the study of one or more different peoples, societies or cultures across the globe, students will be able to better understand themselves as part of a complex, interconnected world. Students are introduced to critical studies of culture through a broad engagement with the influence and presence of Italian culture throughout the world. Course materials may draw widely from film, media, the arts, literature, fashion, cuisine, and music. Taught in English.    General Education Requirement(s) Satisfied:Global Arts/Humanities","3"
"Other Courses","MATH 1241L","The Academic Success Experience","The Academic Success Experience is a corequisite course specifically designed to provide essential support and enhance the achievement of students who are enrolled in MATH 1241 and part of the National Science Foundation funded MPAACT (Math Pathways for African American Collegiate Transformation) project. The enrollment for the corequisite course is by permission of the MPAACT coordinator for MATH 1241.  This empowering course aims to foster their academic growth, strengthen their mathematical skills, critical thinking, and problem-solving abilities through a tailored and inclusive approach that recognizes the potential, aspirations, and determination of these students, The Academic Success Experience incorporates personalized mentoring and peer support networks. By completing this course, students will develop the competence and a determined mindset necessary to excel in MATH 1241, establishing a solid foundation in calculus and its practical applications for mathematics, science, and engineering disciplines. This comprehensive preparation will equip them with the necessary tools for a successful degree completion in their chosen STEM program, empowering them to circumvent challenges and contribute to the diverse landscape of scientific fields.    Restriction(s):Permission of the MPAACT coordinator for MATH 1241  Corequisite(s):MATH 1241","1"
"Accounting","ACCT 2121","Principles of Accounting I","",""
"Accounting","ACCT 2122","Principles of Accounting II","An introduction to managerial accounting with an emphasis on using accounting information to make decisions.    Restriction(s):Sophomore, Junior, or Senior standing.  Prerequisite(s):ACCT 2121 with grade of C or above.","3"
"Accounting","ACCT 3300","Professional Development for Accountants","Focuses on the transition from student to the Accounting Professional.  Students explore various career tracks within public accounting and private industry, along with considerations around pursuing the CPA and other certifications.  Students learn how to navigate through the pipeline to employment, including enhancing their interviewing and networking skills, as well as finding and securing internship opportunities.  Professional workplace conduct is taught along with the importance of strong ethical behavior.    Restriction(s):Accounting or Pre-Accounting majors.  Pre- or Corequisite(s):ACCT 3311 or ACCT 3323","1"
"Accounting","ACCT 3311","Intermediate Financial Accounting I","Analysis of the financial reporting requirements of corporations with emphasis on the conceptual framework and accounting for assets.    Restriction(s):College of Business major  Prerequisite(s):ACCT 2121 , ACCT 2122 , ECON 2101 , ECON 2102 , INFO 2130 , MATH 1120 or equivalent, and STAT 1220 or equivalent, with grades of C or above.","3"
"Accounting","ACCT 3312","Intermediate Financial Accounting II","A continuation of ACCT 3311 with emphasis on financial reporting for liabilities and stockholders’ equity. Also a number of special topics including the accounting for investments and the statement of cash flows.    Restriction(s):College of Business major.  Prerequisite(s):ACCT 3311 with grade of C or above.","3"
"Accounting","ACCT 3323","Intermediate Accounting I","An introduction to the key concepts, processes, and techniques that support the financial reporting process.  Topics include: the accounting cycle, the conceptual framework, primary financial statements and disclosure, and the use of present value techniques in accounting measurement.    Restriction(s):Belk College of Business major  Prerequisite(s):ACCT 2121 with grade of C or above  Pre- or Corequisite(s):INFO 2130","3"
"Accounting","ACCT 3324","Intermediate Accounting II","A continuation of ACCT 3323 with emphasis on financial reporting of key balance sheet accounts along with their income statements effects.    Restriction(s):Belk College of Business major  Prerequisite(s):ACCT 3323 with grade of C or above","3"
"Accounting","ACCT 3325","Intermediate Accounting III","A continuation of ACCT 3323 and ACCT 3324 with emphasis on financial reporting issues related to special topics, including the accounting for income taxes, pensions, investments, and leases.    Restriction(s):Belk College of Business major  Prerequisite(s):ACCT 3324 with grade of C or above","3"
"Accounting","ACCT 3330","Managerial Accounting and the Decision Process","The concepts associated with internal reporting and business management using accounting data.  Techniques in using relevant data for planning, controlling, and decision making are taught.  Other topics include: understanding cost behavior, how to accurately assign or allocate costs, developing strong budgeting practices, and learning about responsibility accounting.  Excel and Data Analytics are used throughout the course, highlighting the importance of these in the professional world.    Restriction(s):College of Business major  Prerequisite(s):ACCT 2122 or ACCT 3323 with grade of C or above","3"
"Accounting","ACCT 3340","Accounting Information Systems","An introduction to accounting systems, with particular emphasis on business processes, internal controls, and current accounting technology including data analytics.    Restriction(s):College of Business major  Prerequisite(s):ACCT 2121 ; ACCT 2122 or ACCT 3323 , ECON 2101 ; ECON 2102 ; INFO 2130 ; MATH 1120 or equivalent; and STAT 1220 or equivalent; with grades of C or above.","3"
"Accounting","ACCT 3350","Introduction to Auditing","Introduction to auditing and its role in the capital markets. Students will be introduced to the evaluation of risk, controls, designing and executing tests, and assessing audit evidence. Special attention is given to information technology, data analytics, and comparisons of internal and external auditing.    Restriction(s):Accounting major  Prerequisite(s):ACCT 3312 or ACCT 3324 and ACCT 3340 with grade of C or above.  Pre- or Corequisite(s):","3"
"Accounting","ACCT 3380","Fraud Examination","Examines the fraud problem faced by businesses and focuses on fraud prevention and detection. Involves the study of the different types of fraud as well as an examination of the various elements of a fraud investigation.    Prerequisite(s):ACCT 3311 with grade of C or above.","3"
"Accounting","ACCT 3400","Accounting Internship","Provides a meaningful work experience in the field of accounting.  Requires a minimum of 150 hours of supervised employment, 50 hours of work per credit hour.  Student is responsible for securing internship and completing internship application and approval process prior to registering for the course.  Internship must be approved by instructor.  Application process and course registration must be completed prior to beginning internship.  All proposals are subject to departmental approval.  Students may not earn internship credit for work at a current employer.  Some students work full-time during the period of the internship and should plan schedules for Junior and Senior years accordingly.  May be used to meet general elective requirements, up to a maximum of three credit hours.    Restriction(s):Junior or Senior standing; Accounting major in good standing; and permission of department.  Grading Method:Graded on a Pass/No Credit basis.  Repeatability:May not be repeated for credit or taken for credit at the same time or following any other internship for credit.","3"
