"course_code","course_title","department","credits","description"
"ACCT801","Fraud Examination and Internal Audit","Accounting (ACCT)","Credit Hours:3","Description:Principles and methodologies of detecting and deterring fraud using accounting, auditing, and investigative skills. Also introduces the fundamentals of internal auditing in a changing business environment."
"ACCT802","Accounting Standards","Accounting (ACCT)","Credit Hours:3","Description:Analysis of changes in authoritative audit and accounting pronouncements. Besides topical coverage, recent discussion memoranda, technical bulletins, interpretations and statements of policy will be emphasized as to their integration into the accounting framework."
"ACCT803","Seminar in Financial Accounting","Accounting (ACCT)","Credit Hours:3","Description:The economic characteristics of accounting information as they relate to the role played by financial accounting reports in allocating capital."
"ACCT803T","Seminar in Financial Accounting - Individual","Accounting (ACCT)","Credit Hours:3","Description:To better understand ""the broader implications of financial accounting for the fair and efficient working of our economy"" (Scott 2015, p. 1)."
"ACCT804","Advanced Accounting","Accounting (ACCT)","Credit Hours:3","Description:Special accounting problems relating to the preparation of combined and consolidated financial statements for accounting entities with branch offices and with subsidiaries, both domestic and foreign; partnership accounting; accounting for foreign currency transactions and translations; governmental and not-for-profit accounting."
"ACCT807","Professional Responsibility and Ethics in Accounting","Accounting (ACCT)","Credit Hours:3","Description:Standards of ethical financial reporting and corporate governance in the context of the legal, regulatory, and social environments of corporate business. Acts of law and sanctions imposed for violations of standards of financial reporting."
"ACCT808","Business Valuation and Financial Statement Analysis","Accounting (ACCT)","Credit Hours:3","Description:Provides a broad framework for using financial statement analysis to evaluate a firm's business operations and to predict its future condition using concepts and principles learned in previous accounting and finance courses."
"ACCT808T","Business Valuation and Financial Statement Analysis - Individual","Accounting (ACCT)","Credit Hours:3","Description:To provide a broad framework for using financial statement analysis to evaluate a company's business operations and to predict its future condition using concepts and principles learned in previous accounting, finance, and related courses."
"ACCT809","Accounting Information Systems (AIS)","Accounting (ACCT)","Credit Hours:3","Description:Identify, document, evaluate, and suggest improvements to accounting information systems (AIS).  Focus on impact of new technology on business transactions in an AIS, and how the information system influences and supports business decisions.  Current events in the AIS field."
"ACCT813","Corporate Tax Accounting","Accounting (ACCT)","Credit Hours:3","Description:Federal income taxation for corporations. Tax laws associated with formation, operation, distribution, redemption, and reorganizations are analyzed."
"ACCT814","Governmental and Not-For-Profit Accounting","Accounting (ACCT)","Credit Hours:3","Description:Accounting and reporting for governmental units and organizations established as not-for-profit corporations. Expanded treatment of fund accounting and reporting for agencies operated in and for the general public interest."
"ACCT815","Tax Research and Planning","Accounting (ACCT)","Credit Hours:3","Description:Development of skills in identifying problems, interpreting facts, conducting research, and communicating results in the field of Federal taxation."
"ACCT815T","Tax Research and Planning - Individual","Accounting (ACCT)","Credit Hours:3","Description:Concepts of tax research and planning. Includes a survey of primary sources of federal tax law,background regarding tax practice and ethics, use of tax research tools, utilization of tax research toprepare and communicate technical tax concepts, and strategies for working with tax authorities. Emphasis is placed on the practical application of the tax laws in tax compliance, tax planning, and taxcontroversy scenarios."
"ACCT816","Special Topics in Federal Taxation","Accounting (ACCT)","Credit Hours:3","Description:Areas of Federal law that are especially relevant in the prevailing economic and political climate."
"ACCT817","The Income Tax and Management Decisions","Accounting (ACCT)","Credit Hours:3","Description:The impact of Federal income tax law on management decisions, more from the viewpoint of recognizing problems than prescribing solutions."
"ACCT819","Partnership Tax Accounting","Accounting (ACCT)","Credit Hours:3","Description:Federal income taxation for partnerships. Tax laws associated with formation, operation, distribution, disposal, and dissolution."
"ACCT831","Seminar in Auditing","Accounting (ACCT)","Credit Hours:3",""
"ACCT832","Applied Auditing","Accounting (ACCT)","Credit Hours:3","Description:Introduction to auditing concepts from a theoretical perspective. Applied course to plan, perform, and complete an audit."
"ACCT837","Taxation-Individual Income Tax","Accounting (ACCT)","Credit Hours:3-4","Description:The structure and content of the federal income tax system, focusing on taxation of individuals. Income, deductions, income splitting, capital gains, and tax accounting. Technical proficiency in solving tax problems and an understanding of the tax policy decisions implicit in the technical rules."
"ACCT838","Taxation-Corporate","Accounting (ACCT)","Credit Hours:3","Description:Advanced federal income tax focusing on income taxation of corporations and shareholders."
"ACCT840","Fraud Examination","Accounting (ACCT)","Credit Hours:3","Description:Fraud and how fraud differs from other crimes. Fraud techniques, schemes, and actual fraud cases."
"ACCT841","Fraud Detection and Prevention","Accounting (ACCT)","Credit Hours:3","Description:The focus is on fraud prevention and detection of risks and weakness that allow fraud to occur.  Criminal theory, ethics training, tone-at-the-top, and desirable company policies and codes are covered in more depth."
"ACCT848","Business Planning","Accounting (ACCT)","Credit Hours:3","Description:Process of planning business transactions in a way that takes into account many relevant bodies of law as well as the needs of clients. Learn the goals and methods of business planning, the role of ethics in providing legal advice, factors that influence the choice of business entity for a venture, legal rules applying to partnerships and limited liability companies (""LLCs""), relevant laws dealing with corporations and securities regulation, laws that pertain to corporate restructurings, and laws applying to the purchase, sale, or merger of corporate businesses."
"ACCT850","Accounting and Data Analytics","Accounting (ACCT)","Credit Hours:3","Description:Fundamentals of data exploration, analysis, and communication in an accounting setting. Emphasis on written communication and data visualization."
"ACCT857","Controllership","Accounting (ACCT)","Credit Hours:3","Description:Rudiments of conceptual framework for designing and evaluating management accounting and control systems for business firms and situations. Case studies on the management aspects of budgeting, standard setting, variance analysis, cost allocation, operating control, transfer pricing, capital budgeting, performance evaluation, and other pertinent topics relating to managerial uses of accounting data."
"ACCT858","Seminar in Managerial Accounting","Accounting (ACCT)","Credit Hours:3","Description:Designed to broaden and deepen conceptual and technical understanding of management control systems (MCS). MCS are considered broadly to include everything that managers do to ensure good performance or, more specifically, to ensure that the company's strategies get implemented effectively."
"ACCT863","Taxation-Individual Income II","Accounting (ACCT)","Credit Hours:3","Description:Most important tax principles affecting business and investments, as well as an introduction to basic tax procedure (both administrative and judicial), civil and criminal fraud, tax research, and certain ethical issues common in tax practice."
"ACCT888","Financial Reporting and Analysis","Accounting (ACCT)","Credit Hours:3","Description:How to effectively utilize accounting information presented in financial statements. Analysis of primary financial statements, revenue recognition practices, the financial reporting system, the effects of accounting method choice on reported financial data, and firm valuation."
"ACCT890","Accountancy Internship","Accounting (ACCT)","Credit Hours:1-3","Description:Independent study of theories, principles, practices, techniques, and strategies utilized in the accounting field. Practical experience in professional accounting situations through a preapproved internship program."
"ACCT899","Masters Thesis","Accounting (ACCT)","Credit Hours:1-10","Description:Course can not be offered as a pass/no pass"
"ACCT906","Seminar in Comparative Accounting Systems","Accounting (ACCT)","Credit Hours:3","Description:A research seminar on the conceptual framework underlying selected accounting systems or subsystems. The specific systems studied vary depending upon interest and background of enrolled students, but ordinarily include insurance or other regulatory systems, governmental or other not-for-profit systems, Securities and Exchange Commission regulations, federal income tax rules, and foreign systems. Contrasts with traditional financial and managerial reporting systems and the reasons for the differences that exist."
"ACCT916","Seminar in Contemporary Accounting Theory: Empirical Tests and Methodologies","Accounting (ACCT)","Credit Hours:3","Description:Introduction to methods of conducting scientific research in the social sciences, including hypothesis development and testing, and ethical issues surrounding data gathering and handling, replicability, and use of human participants."
"ACCT920","History and Philosophy of Accounting Thought","Accounting (ACCT)","Credit Hours:3","Description:The historical development of accounting thought and the individuals, institutions, organizations, and philosophies that shaped its past and present and will influence its future."
"ACCT945","Partnership Taxation","Accounting (ACCT)","Credit Hours:1-4","Description:Survey of important principles of partnership taxation."
"ACCT967","Estate Planning","Accounting (ACCT)","Credit Hours:3","Description:Federal estate and gift taxation, related income tax rules, estate planning concepts, and state inheritance taxation."
"ACCT968","Estate Planning Problems","Accounting (ACCT)","Credit Hours:1-4","Description:Problems of planning and implementing estate plans for clients of substantial wealth with emphasis on skills of drafting the various legal instruments usually required for comprehensive estate planning."
"ACCT969","Seminar in Tax Research","Accounting (ACCT)","Credit Hours:3","Description:Research of the impact of tax information, presentation, and decisions."
"ACCT984","Seminar in Selected Topics","Accounting (ACCT)","Credit Hours:3","Description:Topics vary."
"ACCT991","Seminar in Capital Market Research in Accounting","Accounting (ACCT)","Credit Hours:3","Description:Capital market effects of accounting measurements and presentation, foundation of capital market research in accounting, methodology in conducting capital market research, and implication of capital market effects on accounting policy."
"ACCT992","Seminar in Behavioral Accounting Research","Accounting (ACCT)","Credit Hours:3","Description:Behavioral factors in accounting system, design, audit judgment, decision making using accounting data, performance evaluation, accounting policy formation, and other accounting-related tasks."
"ACCT993","Seminar in Analytical Accounting Models","Accounting (ACCT)","Credit Hours:3","Description:Measurement alternatives through modeling of choices and economic analysis of information choices."
"ACCT995","Seminar in Audit Research","Accounting (ACCT)","Credit Hours:3","Description:Research of the impact of audit decision and information."
"ACCT996","Directed Reading or Research","Accounting (ACCT)","Credit Hours:1-3",""
"ACCT999","Doctoral Dissertation","Accounting (ACCT)","Credit Hours:1-24","Description:Dissertation research course"
"ACTS810","Credibility Theory and Loss DistributionsCrosslisted withACTS 410","Actuarial Science (ACTS)","Credit Hours:3","Description:Introduction to a variety of loss distributions used for prediction of losses in short-term insurance, different approaches to model selection, and Bayesian and empirical Bayesian credibility theory."
"ACTS830","Actuarial Applications of Applied StatisticsCrosslisted withACTS 430","Actuarial Science (ACTS)","Credit Hours:3","Description:Introduction to forecasting in actuarial science. Simple and multiple regression, instrumental variables, time series methods, and applications of methods in forecasting actuarial variables. Interest rates, inflation rates, and claim frequencies."
"ACTS831","Actuarial Applications of Time Series and Machine LearningCrosslisted withACTS 431","Actuarial Science (ACTS)","Credit Hours:3","Description:Introduction to statistical learning with actuarial applications using time series models and machine learning techniques. The topics covered include time series models, principal component analysis (PCA), decision tree, and clustering."
"ACTS840","Interest TheoryCrosslisted withACTS 440","Actuarial Science (ACTS)","Credit Hours:3","Description:Fundamental concepts of financial mathematics, and how those concepts are applied in calculating present and accumulated values for various streams of cash flows. Practical applications of these concepts in loans, bonds, capital budgeting, and portfolio management."
