"course_code","course_title","department","credits","description"
"ACCT200","Accounting for Business Decisions","Accounting (ACCT)","Credit Hours:3","Description:Designed to introduce financial and managerial accounting concepts to non-business majors who will use such information in future roles as investors, owners, managers, employees and/or taxpaying citizens. Lays a foundation for understanding and using accounting concepts, skills and judgments in numerous endeavors, both career and personal."
"ACCT201","Introductory Financial Accounting","Accounting (ACCT)","Credit Hours:3","Description:Fundamentals of financial accounting, focusing on measuring and communicating business activities so external users can make informed decisions."
"ACCT201H","Introductory Financial Accounting","Accounting (ACCT)","Credit Hours:3","Description:Fundamentals of financial accounting, focusing on measuring and communicating business activities so external users can make informed decisions."
"ACCT202","Introductory Managerial Accounting","Accounting (ACCT)","Credit Hours:3","Description:Fundamentals of managerial accounting, focusing on techniques and analysis used to evaluate and improve business operations and profitability so decision makers within a company (internal users) can make informed decisions."
"ACCT202H","Introductory Managerial Accounting","Accounting (ACCT)","Credit Hours:3","Description:Fundamentals of managerial accounting, focusing on techniques and analysis used to evaluate and improve business operations and profitability so decision makers within a company (internal users) can make informed decisions."
"ACCT301","Using Accounting Information","Accounting (ACCT)","Credit Hours:3","Description:Designed to introduce non-accounting majors to the basics of using accounting information. Covers the practical relationships between business decisions and the financial statements, including forecasting, investment decisions, and tax effects."
"ACCT306","Survey of Accounting","Accounting (ACCT)","Credit Hours:4","Description:Fundamentals of accounting analysis which are most helpful in understanding managerial and business concepts and practices."
"ACCT308","Intermediate Managerial Accounting","Accounting (ACCT)","Credit Hours:3","Description:Accounting concepts and tools that allow business managers and owners to make insightful and data-driven decisions. Cost behavior, relevant costs, capital budgeting, and cost-volume-profit tools aid in planning business strategies. Budgets and variances help in controlling business operations. Responsibility accounting, transfer pricing, and ratio analysis are useful in measuring operational performance."
"ACCT309","Accounting Systems and Analytics","Accounting (ACCT)","Credit Hours:3","Description:Examination of accounting information system concepts, applications, and the process by which they are analyzed, designed, and implemented. Emphasis on business decision making through data analytics in financial, auditing, and management accounting contexts."
"ACCT312","Introduction to Income Taxation","Accounting (ACCT)","Credit Hours:3","Description:Introduction to federal income tax law with emphasis on the tax implications of business and investment activities."
"ACCT313","Intermediate Financial Accounting I","Accounting (ACCT)","Credit Hours:3","Description:Analysis and application of current and emerging financial accounting concepts and techniques, with a focus on the recognition and measurement of revenues and assets. Development of skills to recognize important accounting issues, ask critical questions, and analyze the impact of business transactions on financial statements."
"ACCT314","Intermediate Financial Accounting II","Accounting (ACCT)","Credit Hours:3","Description:Continuation ofACCT 313that examines current and emerging financial accounting concepts and techniques, with a focus on long-term liabilities, income tax allocation, pensions, leases, and corporate equities. Development of skills to recognize important accounting issues, ask critical questions, and thoroughly analyze financial statements, including the statement of cash flows."
"ACCT391","Special Topics","Accounting (ACCT)","Credit Hours:1-3","Description:Topics vary."
"ACCT395","Professional InternshipCrosslisted withBSAD 395,ACTS 395,ECON 395,FINA 395,MNGT 395,SCMA 395","Accounting (ACCT)","Credit Hours:0-3","Description:Provides an opportunity to study theories, principles, practices, techniques, and strategies utilized in the business field through an internship related to the major field of study and an integral or important part of their program of study. Reflect on classroom knowledge and develop practical experience in professional business situations through an approved internship."
"ACCT395A","Accounting Internship","Accounting (ACCT)","Credit Hours:1-3","Description:Provides an opportunity to study theories, principles, practices, techniques, and strategies utilized in the accounting profession through a full-time internship for nine or more weeks during the spring semester. Reflect on classroom knowledge and develop practical experience in professional business situations through an approved internship."
"ACCT396","Independent Study","Accounting (ACCT)","Credit Hours:1-6","Description:Special research project or reading program under the direction of a faculty member within the School of Accountancy."
"ACCT396H","Honors: Independent Study","Accounting (ACCT)","Credit Hours:3-6","Description:Special research project or reading program under the direction of a faculty member within the School of Accountancy."
