"subject","course_code","course_name","description","credits"
"","AAD 125L","Construction Drawings and Detailing","For persons with previous basic drafting skills or office experience. Advanced drafting and detailing techniques for buildings.","Credits: 2"
"","AAD 180","Design Foundation I","Same as LAND 180  , AAI 180  .  Students are introduced to fundamentals of design principles.  Emphasis will be placed on the development of conceptual ideas through experimentation across a range of media and creative processes.    Prerequisites: Admittance to a School of Architecture.","Credits: 3"
"","AAD 182","Fundamentals of Design II","This course introduces studio based design exploration, fundamentals of 2D and 3D composition, architectural drawing and modelling skills. Students will be introduced to architectural concepts of tectonics, architectural space and historic precedents.","Credits: 3"
"","AAD 201","History of the Built Environment/Discussion","Relationships among art, architecture, and literature (fiction and non-fiction) from the twenty-fifth century BCE to the present. Emphasis on the built environment as a manifestation of cultural forces and design aesthetics.    Prerequisites: ENG 102  .  Corequisites: AAD 201D","Credits: 3"
"","AAD 201D","History of the Built Environment/Discussion","Relationships among art, architecture, and literature (fiction and non-fiction) from the twenty-fifth century BCE to the present. Emphasis on the built environment as a manifestation of cultural forces and design aesthetics.    Prerequisites: ENG 102  .  Corequisites: AAD 201  .","Credits: 0"
"","AAD 202","Analysis of the Built Environment","Exploration of space and form-making through examination of historical precedent. Emphasis on developing a visual vocabulary and understanding of the built environment as cultural creation.    Prerequisites: Must pass AAD 201  with a grade of C- or better.","Credits: 3"
"","AAD 223","Graphic Software for Architects, Constructors, Designers, and Planners I","Survey of design graphics application systems. Special emphasis to be placed on the technical aspects of creating computer graphic images for architectural, construction, design, and planning applications.    Prerequisites: Admission to a School of Architecture major.","Credits: 3"
"","AAD 267","Introduction to Digital Media","Same as LAND 267   Introduction to two and three-dimensional digital design processes.    Prerequisites: Admission to the major.","Credits: 3"
"","AAD 268","3-D Presentation Graphics","Students will learn basic digital 3D visualization for workflow and exploration through experimentation methods that facilitate design communication using 3D modeling and rendering techniques.","Credits: 3"
"","AAD 367","Advanced Digital Media","Same as LAND 367   Examination of advanced geometric modeling and introduction to basic parametric thinking, development of robust drawing typologies, computer generated renderings, and board compositions.    Prerequisites: Must pass AAD 267  with a grade of C- or better.","Credits: 3"
"","AAD 400","Clinical Internship","Full-time internship under the supervision of registered practitioners or equivalent.    Prerequisites: Admission to major.","Notes: Two hundred hours required. This course is crosslisted with AAD 600. Credit at the 600-level requires additional work."
"","AAD 401","Study Abroad in Design:","Part of the International Studies Program. Topics vary from semester to semester.    Repeatable: May be repeated to an indefinite number of credits. Please verify that all credits will apply towards your degree.   Prerequisites: Consent of School of Architecture Director.  Notes: Approval of program director required.","Credits: 1-6"
"","AAD 412","Elements of Architectural Expression: Colors & Materials","Creative use of colors and materials as elements of architectural expression. Role of materials and colors, and relationship between their nature and possible uses.    Prerequisites: Upper-division standing.","Credits: 3"
"","AAD 421A","Entertainment and Fine Arts Law 1","Same as ART 428  , DAN 421A  , MUS 444  , THTR 421A   Protection of works created by entertainers, artists, and designers, including American and European copyright protection and the unique state and federal statutory rights possessed by performers and artists such as the rights of publicity and issues of resale royalties. Special considerations to film and music industries.    Prerequisites: Upper division standing.","Credits: 3"
"","AAD 421B","Entertainment and Fine Arts Law II","Same as ART 429  , DAN 421B  , MUS 445  , THTR 421B   Unique legal issues in the fields of live stage performance, Theater, music, television and film, the art gallery and museum relationships, including legal and social censorship. First Amendment protection, state and federal obscenity statutes, and contract problems.    Prerequisites: AAD 421A  , ART 428  , DAN 421A  , MUS 444  , or THTR 421A  .","Credits: 3"
"","AAD 467","3-D Animation Graphics","Advanced animated visualizations of designs for the built environment.    Prerequisites: AAD 268  .","Credits: 3"
