"subject","course_code","course_name","description","credits"
"Accounting","ACCT 2010","Accounting Principles I (Financial Accounting)","(ACCT 2301 or ACCT 2401)   External uses of accounting information; interpretation of accounting data; analysis of financial statements; income and cash flow analysis; nature of assets and liabilities; understanding accounting reporting process.   Prerequisite(s): ECON 1100 (may be taken concurrently); MATH 1100 or higher ( MATH 1180 preferred).   May not be taken more than twice at UNT. Students may not retake this course once they have completed (with a C or better) a course for which this is a prerequisite.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
"Accounting","ACCT 2020","Accounting Principles II (Managerial Accounting)","(ACCT 2302 or ACCT 2402)   Study of the use of accounting information for business decision making. Topics include cost behavior analysis, cost-volume-profit relationships and the identification of costs relevant to the decision-making process. Students are introduced to various cost system designs, standard costs, variable costing, operational budgeting and decision making in decentralized business.   Prerequisite(s): ACCT 2010 with a grade of C or better; ECON 1100 ; MATH 1100 or higher ( MATH 1180 preferred).   May not be taken more than twice at UNT. Students may not retake this course once they have completed (with a C or better) a course for which this is a prerequisite.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
"Accounting","ACCT 2900","Special Problems","May be repeated for credit.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","1–3"
"Accounting","ACCT 2996","Honors College Mentored Research Experience","Research experience conducted by a freshman or sophomore honors student under the supervision of a faculty member.   Prerequisite(s): Admission to the Honors College; freshman or sophomore class status; consent of Honors College dean.   May be taken only once for Honors College credit.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
"Accounting","ACCT 3110","Intermediate Accounting I","In-depth study of the process of preparing and presenting financial information about an entity for outside users (Part I). Topics vary but typically include standard setting; the accounting cycle including data accumulation, adjustments and preparation of financial statements; and valuation. There is a focus on the recognition, measurement and disclosure of revenue; inventory and cost of sales; and plant assets.   Prerequisite(s): Junior level entrance exam with a passing grade of 70 percent or higher; ACCT 2010 and ACCT 2020 with a grade of C or better; FINA 3770 (may be taken concurrently) with a grade of C or better.   May not be taken more than twice at UNT. Students may not retake this course once they have completed (with a grade of C or better) a course for which this is a prerequisite.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
"Accounting","ACCT 3120","Intermediate Accounting II","In-depth study of the process of preparing and presenting financial information about an entity for outside users (Part II). Topics vary but typically include analysis of recognition, measurement and disclosure of: equity investments, financing activities (bonded debt, leases, pensions), income taxes, stockholders’ equity, specialized reporting problems and cash flow.   Prerequisite(s): ACCT 3110 and ACCT 3405 , both with a grade of C or better; FINA 3770 ; ACCT 3405 (may be taken concurrently).   May not be taken more than twice at UNT. Students may not retake this course once they have completed (with a grade of C or better) a course for which this is a prerequisite.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
"Accounting","ACCT 3270","Cost Accounting","Accounting in manufacturing operations; cost concepts and classifications; cost accounting cycle; accounting for materials, labor and burden; process cost accounting; budgeting; standard costs; cost reports; direct costing and differential cost analysis.   Prerequisite(s): ACCT 2010 and ACCT 2020 with grades of C or better; ECON 1100 and ECON 1110 ; BCIS 2610 ; and MATH 1190 or MATH 1710 .   May not be taken more than twice at UNT. Students may not retake this course once they have completed (with a grade of C or better) a course for which this is a prerequisite.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
"Accounting","ACCT 3405","Professional Development","Enables students to develop knowledge, skills and attitudes necessary to function effectively and succeed in the business world. Topics vary but typically include dressing for success, confidence and motivation, self-assessment, handling conflict and stress, personal and business ethics, dining etiquette, resume writing, professional certification opportunities, job search and interviewing, and the necessity for continuous self-improvement. In addition to faculty instruction, topics are covered by using former students and other guest lecturers from business, industry and government to expose students to career enhancing opportunities and to provide valuable insights from first-hand experiences.   May not be taken more than twice at UNT.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","1 hour"
"Accounting","ACCT 3996","Honors College Mentored Research Experience","Research experience conducted by an honors student with at least junior standing under the supervision of a faculty member.   Prerequisite(s): Admission to the Honors College; at least junior class standing; consent of Honors College dean.   May be taken twice for Honors College credit.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
"Accounting","ACCT 4100","Accounting Systems","Introduction to technology/accounting information systems and their interface with business processes, internal controls and database management systems. Emphasis on maintaining and auditing system security and integrity. Practical experience with a commercial accounting package and database management software.   Prerequisite(s): ACCT 3110 with a grade of C or better.   May not be taken more than twice at UNT. Students may not retake this course once they have completed (with a grade of C or better) a course for which this is a prerequisite. (This course may be taken during the junior year.)   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
"Accounting","ACCT 4130","Financial Statement Analysis","Ratio analysis and interpretation of balance sheet and income statement data. Account classifications and income measurements; company ratios, trends and present position; development of industry standards and status of business indicators as a guide for economic forecasts.   Prerequisite(s): ACCT 2010 and ACCT 2020 with grades of C or better; ECON 1100 and ECON 1110 ; BCIS 2610 .   Not open to accounting majors. May not be taken more than twice at UNT. Students may not retake this course once they have completed (with a C or better) a course for which this is a prerequisite.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
"Accounting","ACCT 4140","Advanced and Not-for-Profit Accounting Principles","Problems connected with income determination and equity accounting, and consolidated statements. Problems connected with accounting for Not-for-Profit entities.   Prerequisite(s): ACCT 3120 with a grade of C or better.   May not be taken more than twice at UNT.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
"Accounting","ACCT 4270","Advanced Cost Accounting","Nature, measurement and analysis of accounting data appropriate to managerial decision making, and comprehensive budgeting; statistical cost estimation; cost-volume-profit analysis; gross profit analysis; application of probability to cost control; capital planning. PERT-cost.   Prerequisite(s): ACCT 3270 with a grade of C or better.   May not be taken more than twice at UNT.   Course specific fees (in addition to tuition and mandatory):  Academic (AF) per hour: $15.50 (instructional), $11 (differential)","3"
