"subject","course_code","course_name","description","credits"
"Arts, Technology and the Business of Innovation","ACAD 174","Innovators Forum","Terms Offered: FaSp Leaders in diverse disciplines, industries and the arts present and discuss problems facing society and critique real-world projects that challenge the concept of innovation. Duplicates Credit in former ACAD 175 Instruction Mode: Lecture Grading Option: Letter","04"
"Arts, Technology and the Business of Innovation","ACAD 176","Rapid Visualization","Terms Offered: FaSp Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills. Instruction Mode: Lecture Grading Option: Letter","4"
"Arts, Technology and the Business of Innovation","ACAD 177","Digital Toolbox: Design","Terms Offered: FaSp Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing. Instruction Mode: Lecture Grading Option: Letter","2"
"Arts, Technology and the Business of Innovation","ACAD 178","Digital Toolbox: Motion Graphics","Terms Offered: FaSp Basics of industry standard software for motion graphics, visual effects, animation design, generative art and interactive visual experiences. Instruction Mode: Lecture Grading Option: Letter","2"
"Arts, Technology and the Business of Innovation","ACAD 179","Digital Toolbox: Excel for Business Management","Terms Offered: Sp Eight-week course designed to provide a spreadsheet format to analyze information and build Microsoft Excel-based models for business management and creative data visualization. Registration Restriction: Open only to Arts, Technology and the Business of Innovation students. Instruction Mode: Lecture Grading Option: Letter","2"
"Arts, Technology and the Business of Innovation","ACAD 180","Digital Toolbox: Audio and Video","Terms Offered: FaSp Basics of designing, creating, processing, editing and distributing audio and video. Instruction Mode: Lecture Grading Option: Letter","2"
"Arts, Technology and the Business of Innovation","ACAD 181g","Disruptive Innovation","Terms Offered: Fa Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Satisfies New General Education in Category C: Social Analysis Registration Restriction: Open only to USC Iovine and Young Academy students. Instruction Mode: Lecture Grading Option: Letter","4"
"Arts, Technology and the Business of Innovation","ACAD 182","Case Studies in Innovation","Terms Offered: FaSp Employing a case-study methodology, students analyze the artistic, technological, and entrepreneurial factors and address the conceptual, ethical, and logistical issues that lead to disruptive innovation. Instruction Mode: Lecture Grading Option: Letter","4"
"Arts, Technology and the Business of Innovation","ACAD 186","Digital Toolbox: Computational Visual Design","Terms Offered: FaSp The use of algorithms in custom-designed computer software for visual output; applications in the areas of graphic design, interaction design, motion graphics and simulation. or a 1-semester basic programming class Instruction Mode: Lecture Grading Option: Letter","2"
"Arts, Technology and the Business of Innovation","ACAD 187","Digital Toolbox: 3D Design","Terms Offered: FaSp Basics of industry standard software for modeling and rendering 3D materials, objects and lighting. Includes instruction in pipelines for 3D assets. Instruction Mode: Lecture Grading Option: Letter","2"
