"subject","course_code","course_name","description","credits"
"ACG - Accounting: General","ACG 5205","Advanced Financial Accounting","Accounting for business combinations, preparation of consolidated financial statements, home office/branch relationships, foreign operations and transactions, partnerships. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 5375","Valuation of Closely Held Businesses","Prepares students to assess how a firm can increase its value. Students develop an understanding of the principles behind business valuation and learn how to use these principles to assess a company’s value through a case study. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 5505","Governmental and Not-For-Profit Accounting","Application of financial and managerial accounting, and auditing, principles and theory to both governmental and not-for-profit entities. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 5675","Internal and Operational Auditing","This course provides students with an opportunity to learn about the theory and practice of internal and operational auditing and to apply relevant audit principles and techniques to selected audit problems. Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 5841","Analytics in Accounting","This course deals with analytics, understood as the discovery and communication of meaningful patterns. The focus is on accounting applications of analytics, after first understanding statistical techniques and data manipulation processes and tools. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 6026","Accounting Concepts for Managers","A graduate level introduction to the role of accounting information in the decisions of internal and external users of financial information and statements; requires admission to the Certificate in Business Foundations. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 6346","Contemporary Issues in Managerial Accounting","The evolution of cost accounting systems, and the impact of new managerial accounting philosophies in the modern international manufacturing environment, including a discussion of current issues and controversies involving managerial accounting. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 6419","Data Wrangling and Visualization for Accounting Professionals","This course covers importing, cleaning, and transforming data from multiple sources and formats to facilitate data analytics. Working with transformed and cleaned data, students learn to construct effective data visualizations using various tools. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 6457","Accounting Systems Audit, Control, and Security","An in-depth study of contemporary systems control security from an audit perspective. Course topics will include: Information system audit standards, contemporary Accounting Information System (AIS) technologies, and the development and maintenance of AIS integrity. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 6636","Contemporary Issues in Auditing","This course explores contemporary auditing issues and advanced topics concerning the changing role of the audit assurance function and changing audit processes. Topics include audit reporting, auditing in advanced computerized environments, audit judgment, quality control, and regulation of the profession. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 6686","Fraud Examination","This course is an important component in the study of forensic accounting, and exposes the student to current theories and practices relating to the detection and prevention of fraud and white-collar crime. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 6687","Fraud and Financial Reporting","An examination of financial reporting fraud from the standpoint of a both a financial statement user and an accountant, exploring the the ways in which financial statement frauds are committed. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 6688","Forensic Accounting and Legal Environment","Designed to further the student’s knowledge of the contemporary legal environment faced by forensic accountants. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 6846C","Innovation and Analytics in Accounting","Topics covered include the latest innovations in accounting and application of contemporary analytics to discover value-adding insights for a range of organizations in various accounting related settings. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
"ACG - Accounting: General","ACG 6875","Financial Reporting and Professional Issues","A study and evaluation of the evolution of current financial accounting theory. An examination of financial accounting objectives, measurement models, and controversial issues, from both a financial reporting and professional (auditing) perspective. Prerequisite(s):None Corequisite(s):None Co-Prerequisite(s):None USF Muma College of Business | Lynn Pippenger School of Accountancy","3"
