"subject","course_code","course_name","description","credits"
"ACG - Accounting: General","ACG 2021","Principles of Financial Accounting","Study of basic accounting principles including the recording and reporting of financial activity. The preparation and interpretation of financial statements.","3"
"ACG - Accounting: General","ACG 2071","Principles of Managerial Accounting","A study of the accountant’s role in assisting management in the planning and controlling of business activities. Prerequisite(s):","3"
"ACG - Accounting: General","ACG 3074","Managerial Accounting for Non-Business Majors","",""
"ACG - Accounting: General","ACG 3103","Intermediate Financial Accounting I","Theory and methodology underlying financial reporting, including the FASB’s conceptual framework, the accounting process, financial statements, accounting changes, present value applications, and current assets. Prerequisite(s):ACG X021 ORACG X021C ORACG X001 ANDACG X011 ANDACG X071 (all min grade C) Corequisite(s):(min grade C)","3"
"ACG - Accounting: General","ACG 3113","Intermediate Financial Accounting II","This course is a continuation of . It covers theory and methodology underlying financial reporting, including long-term assets, liabilities, and stockholders’ equity. Prerequisite(s):(min grade C) AND(min grade C)","3"
"ACG - Accounting: General","ACG 3341","Cost Accounting and Control I","Deals with cost accounting systems for different entities, cost behavior patterns, cost-volume-profit analysis, relevant information for decision making, and budgets and standard costs for planning and control. Prerequisite(s):(min grade C) ORACG 2021C (min grade C) OR[ACG 2001 AND ACG 2011 (min grade C)] AND(min grade C) CoPrerequisite(s):(min grade C)","3"
"ACG - Accounting: General","ACG 3401","Accounting Information Systems","This course provides students with a basic understanding of well-controlled information systems in a variety of technological environments with added emphasis on the collection, processing, and reporting of accounting information. Prerequisite(s):(min grade C) AND(min grade C)","3"
"ACG - Accounting: General","ACG 4123","Intermediate Financial Accounting III","Theory and practice underlying stockholders’ equity, dilutive securities and EPS, derivatives, revenue recognition, post-retirement benefits, error analysis, full disclosure, and other current accounting topics. Prerequisite(s):(min grade C)","3"
"ACG - Accounting: General","ACG 4632","Auditing I","This course provides a sound conceptual foundation of basic auditing process from the perspective of the public accounting profession. Professional standards, ethics, legal responsibilities, and the utilization of technology are addressed. Prerequisite(s):AND","3"
"ACG - Accounting: General","ACG 4684","Fraud Examinations","This course furthers problem solving ability by increasing the student’s knowledge of fraud and forensic examinations. Topics covered include the nature of fraud, detecting and preventing fraud, and various methods of proof for forensic examinations. Prerequisite(s):with a minimum grade of C ANDwith a minimum grade of C.","3"
"ACG - Accounting: General","ACG 4840","Analytics in Accounting","A study of the role of accounting data analytics in business, including the use of technology and data visualization. Course Attribute(s):CST - Capstone, TGEH - High Impact Practice Prerequisite(s):(min grade C) AND(min grade C)","3"
"ACG - Accounting: General","ACG 4842","Financial and Managerial Reporting with Data Analytics","This course explores complex financial and managerial accounting topics relevant to corporate decision-makers and financial statement users.  Emphasis is placed on strategic costs and benefits, impacts on the financial statements and data analytics. Prerequisite(s):(min grade C)","3"
