"subject","course_code","course_name","description","credits"
"Accounting","ACCT 2010","Financial Accounting Principles","This course is a survey of uses of accounting information by investors and creditors for decision making. Emphasis is placed on basic accounting principles used to prepare, analyze, and interpret financial statements.   Repeatable for credit: No  Grade Mode: Standard","3 credit(s)"
"Accounting","ACCT 2020","Managerial Accounting Principles","This course is a survey of uses of accounting information by managers for decision making, including planning, budgeting, and controlling operations. Emphasis is placed on accumulation, analysis, and control of product and service costs.   Prerequisite(s): ACCT 2010    Repeatable for credit: No  Grade Mode: Standard","3 credit(s)"
"Accounting","ACCT 3110","Intermediate Financial Accounting and Reporting I","In this course, students study accounting principles, theory, and practice relating to the financial reporting of assets.   Prerequisite(s): ACCT 2010  with a grade of B or better, and ACCT 2020    Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Summer 2022","3 credit(s)"
"Accounting","ACCT 3120","Intermediate Financial Accounting and Reporting II","This course consists of the study of accounting principles, theory, and practice relating to liabilities, equities, and other contemporary issues.   Prerequisite(s): ACCT 3110    Repeatable for credit: No  Grade Mode: Standard","3 credit(s)"
"Accounting","ACCT 3310","Intermediate Managerial Accounting","This course covers contemporary theory and applications in the accumulation, analysis, and interpretation of accounting information for internal decision making and control.   Prerequisite(s): ACCT 2010  with a grade of B or better, and ACCT 2020    Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Summer 2022","3 credit(s)"
"Accounting","ACCT 3400","Auditing Principles and Techniques","Students learn fundamental principles and techniques of auditing and reporting, presented in the context of the audit logic sequence, and integrative applications emphasizing audits of organizational resources, processes, and systems. Students study ethics, legal environment, auditing standards, and fraud.   Prerequisite(s): ACCT 3110    Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Summer 2024","3 credit(s)"
"Accounting","ACCT 3510","Business Taxation","Students learn about federal income taxation of businesses and are introduced to federal income tax return preparation for businesses.   Prerequisite(s): ACCT 2010    Repeatable for credit: No  Grade Mode: Standard","3 credit(s)"
"Accounting","ACCT 4250","Accounting Internship","This course provides accounting internship experience in a career-related position approved by the School of Accountancy.   Registration Restriction Special Approval: Instructor approval required   Repeatable for credit: No  Grade Mode: Pass/Fail only","3 credit(s)"
"Accounting","ACCT 4500","Accounting Information Systems","Students learn theoretical concepts underlying the accounting system’s computerized support of business processes to provide decision-relevant information. Topics include data analytics, accounting systems design and implementation, controls, and security.   Prerequisite(s): ACCT 3110    Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Summer 2024","3 credit(s)"
"Accounting","ACCT 4700","Seminar in Accounting","This course covers special topics in accounting, including workshops, readings, and pilot course offerings.   Registration Restriction Special Approval: Department permission   Repeatable for credit: No  Grade Mode: Standard","3 credit(s)"
"Accounting","ACCT 4900","Independent Research and Readings","This course consists of selected readings and research individually assigned, handled, and directed. Problems of mutual interest to students and the instructor are investigated and reported.   Registration Restriction Special Approval: Department permission   Repeatable for credit: Yes  Grade Mode: Standard","1-3 credit(s)"
"Accounting","ACCT 4950","Senior Honors Thesis/Project (DELETED FALL 2025)","This course enables students to plan and design a creative project that will then be prepared and presented as a Senior Thesis, as required for an Honors Plan.   Registration Restriction Special Approval: Department permission   Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Fall 2025","3 credit(s)"
"Accounting","ACCT 5104","Accounting Analytics","Students review data analytics processes (e.g., question identification, conceptual modeling, tool selection, data creation/transformation, tool application, interpretation, and presentation) and apply them to audit, tax, financial, and managerial accounting labs and comprehensive cases. Additional coursework is required for those enrolled in the graduate-level course.   Prerequisite(s): ACCT 3310    Dual-listed as: ACCT 6104   Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Fall 2025","3 credit(s)"
"Accounting","ACCT 5105","Taxes and Business Strategy","Students develop a framework for understanding how taxes affect financial decisions. Students apply rigorous quantitative analysis to tax planning including evaluating when parties can cooperate and achieve a Zone of Potential Agreement that makes them both better off after taxes. Additional coursework is required for those enrolled in the graduate-level course.   Prerequisite(s): ACCT 3510  and ACCT 5520    Dual-listed as: ACCT 6105   Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Summer 2024","3 credit(s)"
"Accounting","ACCT 5200","Advanced Financial Accounting","This course addresses the consolidation and presentation of financial information for parent companies and subsidiaries. In addition, the course addresses the recording and presentation of accounting information for complex international transactions (e.g., cross-border affiliate results), governmental institutions, and non-profit entities. Additional coursework is required for those enrolled in the graduate-level course.   Prerequisite(s): ACCT 3120    Dual-listed as: ACCT 6200   Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Summer 2024","3 credit(s)"
"Accounting","ACCT 5250","Accounting Research","This course surveys academic research and examines techniques used in practical research, including data management, statistical programming and analysis, and professional literature reviews to solve real-world accounting cases and to develop a conceptual framework for decision-making. Additional coursework is required for those enrolled in the graduate-level course.   Prerequisite(s): ACCT 3120    Dual-listed as: ACCT 6250   Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Fall 2025","3 credit(s)"
"Accounting","ACCT 5300","Advanced Accounting Internship","This course provides accounting internship experience in a career-related position approved by the School of Accountancy. Additional coursework is required for those enrolled in the graduate-level course.   Registration Restriction Special Approval: Instructor approval required   Dual-listed as: ACCT 6300   Repeatable for credit: No  Grade Mode: Pass/Fail only   Course changes effective: Fall 2025","3 credit(s)"
"Accounting","ACCT 5310","Advanced Managerial Accounting Topics","This course examines profit and performance drivers and the design of performance measurement systems to support long-term company profitability. Students engage with cases, projects, and site visits to reinforce the concepts learned. Additional coursework is required for those enrolled in the graduate-level course.   Prerequisite(s): ACCT 3310    Dual-listed as: ACCT 6310   Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Fall 2025","3 credit(s)"
"Accounting","ACCT 5420","Corporate Taxation","This course covers advanced concepts and principles governing the taxation of corporations and shareholders throughout a corporation’s lifespan. Practical application is covered through analyzing business transactions and strategizing optimal tax benefits using complex spreadsheets, mathematical computations, and artificial intelligence. Additional coursework is required for those enrolled in the graduate-level course.   Prerequisite(s): ACCT 3510  and ACCT 5520    Dual-listed as: ACCT 6420   Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Fall 2025","3 credit(s)"
"Accounting","ACCT 5440","Partnership Taxation","This course covers advanced concepts and principles governing the taxation of partnerships and partners throughout a partnership’s lifespan. Practical application is covered through analyzing business transactions and strategizing optimal tax benefits using complex spreadsheets, mathematical computations, and artificial intelligence. Additional coursework is required for those enrolled in the graduate-level course.   Prerequisite(s): ACCT 3510  and ACCT 5520    Dual-listed as: ACCT 6440   Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Fall 2025","3 credit(s)"
"Accounting","ACCT 5460","Advanced Tax Topics","This course covers concepts and principles of tax planning for closely-held businesses and high-wealth individuals, among other topics. Students learn and apply tax research methodologies using tax research software. Additional coursework is required for those enrolled in the graduate-level course.   Prerequisite(s): ACCT 3510  and ACCT 5520    Dual-listed as: ACCT 6460   Repeatable for credit: No  Grade Mode: Standard   Course changes effective: Fall 2025","3 credit(s)"
"Accounting","ACCT 5510","Advanced Auditing","This course explores important audit concepts, including judgment, independence, and skepticism. It also covers applications of audit procedures and technology related to the audit. The course aims to increase critical thinking as students encounter application exercises related to auditing. Additional coursework is required for those enrolled in the graduate-level course.   Prerequisite(s): ACCT 3400    Dual-listed as: ACCT 6510   Repeatable for credit: No  Grade Mode: Standart   Course changes effective: Fall 2025","3 credit(s)"
