"course_code","course_name","credits","college_name","department","description"
"ACN 5312","Introductory Research Methods in Behavioral and Brain Sciences - Part I","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 5312 HCS 5312PSYC 5312   This course reviews basic concepts in research design and statistical analysis in a behavioral science context. Students learn null hypothesis significance testing and how to implement and interpret several statistical analyses involving Analysis of Variance (ANOVA; e.g., single-factor and factorial between-subjects ANOVA) and regression (e.g., simple and multiple regression). The course provides students with an understanding of the interrelationships among statistical techniques, and computer skills required for data analyses. Students without the necessary background knowledge of basic statistics and experimental design will be required to take PSY 3392 before registering for ACN 5312. Lecture. Offered annually. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 5313","Introductory Research Methods in Behavioral and Brain Sciences - Part II","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 5313 HCS 5313PSYC 5313   This course focuses on applying, understanding, and interpreting regression and analysis of variance (ANOVA) -related statistical techniques in a behavioral science context. The course provides students with an increased conceptual understanding of topics within regression (e.g., mediation, moderation) and ANOVA (e.g., repeated-measures ANOVA, Analysis of Covariance, mixed effect model ANOVAs), along with computer skills required to interpret and perform data analyses. Lecture. Offered annually. Prerequisites: (ACN 5312 or HCS 5312 or PSYC 5312) and department consent required. (3-0) Y"
"ACN 5314","Computational Modeling Methods in Behavioral and Brain Sciences","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 5314 HCS 5314   Historical introduction to machine learning algorithms from a cognitive-neuroscience perspective. Includes an introduction to important and widely used computational modeling methodologies in psychology, neuroscience, and machine learning. No mathematical prerequisites and no computer programming prerequisites, but students will use machine learning software to support data analyses and simulation experiments. Prerequisites: BBSC majors only and department consent required. (3-0) T"
"ACN 6110","Fundamentals of Functional Brain Imaging Lab","1 semester credit hour","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6110 HCS 6110   This course covers the neurophysiology and mechanics of functional neuroimaging data collection and analysis. Topics include methods of data collection, experimental design, data analysis, and interpretation. Students work in the lab to develop proficiency with neuroimaging analysis software tools. Class meetings will consist of lectures, hands-on demonstrations, and work-through sessions with readily available data sets to learn the mechanics of basic fMRI data analysis. Corequisite: ACN 6310 or HCS 6310. Prerequisites: BBSC majors only and department consent required. (0-3) Y"
"ACN 6160","Neurobiology","1 semester credit hour","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6160   A self-paced course providing the neurobiological foundation for the study of speech-language pathology. Pass/Fail only. This course is offered in an online format only. At the discretion of the professor, exams of fully online courses may use proctoring software that requires a webcam scan of the testing area and the recording of all activity during the exam. Prerequisites: Speech-Language Pathology M.S. students only and department consent required. (1-0) S"
"ACN 6310","Fundamentals of Functional Brain Imaging","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6310 HCS 6310   In-depth topics in brain imaging including neuroimaging detection systems (primarily MRI), experimental design, statistical techniques in image analysis, clinical applications of functional neuroimaging, and reviews of pertinent literature using functional brain imaging to illuminate various cognitive and perceptual processes, including language, memory, hearing, and vision. Corequisite: ACN 6110 or HCS 6110. Prerequisites: (ACN 6312 or HCS 6312 or PSYC 6312) and (ACN 6313 or HCS 6313 or PSYC 6313) and (ACN 6338 or HCS 6338 or PSYC 6338) and BBSC majors only and department consent required. (3-0) Y"
"ACN 6312","Intermediate Research Methods in Behavioral and Brain Sciences - Part I","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6312 HCS 6312PSYC 6312   This course focuses on applying, understanding, and interpreting various Analysis of Variance (ANOVA)-related statistical techniques in a behavioral science context. Students learn the frameworks for hypothesis testing and effect size estimation. The course provides students with an understanding of the interrelationships among statistical techniques, and computer skills required for data analyses. Students without the necessary background knowledge of basic statistics and experimental design will be required to take PSY 3392 before registering for ACN 6312. Lecture. Offered Annually. Prerequisite: BBS doctoral students only or instructor consent required. (3-0) Y"
"ACN 6313","Intermediate Research Methods in Behavioral and Brain Sciences - Part II","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6313 HCS 6313PSYC 6313   This course focuses on applying, understanding, and interpreting correlation and regression-related statistical techniques in a behavioral science context. The course provides students with an increased conceptual understanding of topics within regression (e.g., hierarchical regression analysis, multiple regression with continuous and categorical predictors, regression diagnostics), along with computer skills required to perform data analyses. Lecture. Offered annually. Prerequisites: (ACN 6312 or HCS 6312 or PSYC 6312) and BBS doctoral students only or instructor consent required. (3-0) Y"
"ACN 6323","Neurophysiology","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6323 HCS 6323   This course focuses on the elements of neural functions ranging from the kinetics of channels in excitable membranes to the collective behavior of real neural networks. Prerequisites: (ACN 6340 or HCS 6340) and department consent required. (3-0) Y"
"ACN 6330","Cognitive Science","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6330 HCS 6330PSYC 6330   Cognitive, computational, and neural processing approaches to understanding perception, memory, thought, language, and emotion. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 6331","Cognitive Development","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6331 HCS 6331PSYC 6331   Survey of cognitive development theories and research in a variety of domains including language, memory, social cognition, and learning. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 6332","Perception","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6332 HCS 6332PSYC 6332   Psychophysical, neurophysiological, and computational foundations of sensation and perception. Basic senses of vision, audition, chemoreception, and tactile processing, with emphasis on understanding the processes that take us from neurons to perception and action. (3-0) R"
"ACN 6333","Human Memory","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6333 HCS 6333PSYC 6333   Current research and theory on the acquisition, representation, and retrieval of information by the mind/brain. Includes an overview of information processing, neuropsychological and cognitive neuroscience perspectives. Prerequisites: BBSC majors only and department consent required. (3-0) R"
"ACN 6334","Attention","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6334 HCS 6334   Theory and evidence on the study of attention especially in human vision and audition. Includes consideration of automatic and controlled processes, the time course of perceptual processing, and the role of working memory. (3-0) R"
"ACN 6337","Cognitive Ethnography","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6337 HCS 6337PHIL 6367   Students in this course will learn to observe, document, and analyze cognitive processes in real-world settings using the methods of cognitive ethnography. The course provides the theoretical and philosophical framework of embodied, situated, and distributed cognition and the interaction of cognition and culture that forms the foundation of cognitive ethnography methodology. The course may emphasize the uses of cognitive ethnography in human-computer interaction, system design, laboratory studies, cultural psychology, or media effects. Department consent required. (3-0) R"
"ACN 6338","Functional Neuroanatomy","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6338 HCS 6338PSYC 6338   An introduction to human neuroanatomy organized by major brain system. Function of the neuroanatomy of each major system and relation to neurological disorders associated with damage to the neuroanatomy of the system. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 6340","Cellular Neuroscience","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6340 HCS 6340   A detailed study of neural physiology and the principles of synaptic transmission. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 6341","Foundations of Human-Computer Interaction","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6341   Principles of human factors and technology trends within human-computer interaction (HCI). Discussions of the relevance of cognitive science methodologies and findings. Exploration of HCI research and practice through readings in journal articles and research reports. Department consent required. (3-0) Y"
"ACN 6342","Applied Human-Computer Interaction","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6342   Broad overview of how human-computer interaction (HCI) informs the user-centered design (UCD) process. Practical experience in the core methods of user experience (UX) design and research throughout the product development lifecycle. Department consent required. (3-0) Y"
"ACN 6344","Human-Computer Interaction Lab","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6344   Exploration of advanced topics in human-computer interaction (HCI) in both research and industry. Practical experience with latent methods used in user experience design and research that build upon core methods introduced in ACN 6342. Prerequisite: ACN 6342 or instructor consent required. (3-0) Y"
"ACN 6345","Neurobiology of Learning and Memory","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6345 HCS 6343   Current research and theory on modifications in the central nervous system that contribute to the processes of learning and memory. Includes an overview of different forms of learning as assessed in model systems, with reviews of anatomical, cellular, and molecular changes underlying neuronal and behavioral plasticity. Prerequisites: (ACN 6346 or HCS 6346 or PSYC 6346) and department consent required. (3-0) Y"
"ACN 6346","Systems Neuroscience","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6346 HCS 6346PSYC 6346   Integrative systems level study of the nervous system. Aspects of neural mechanisms and circuitry underlying regulation of motor behaviors, sensory and perceptual processing, biological homeostasis, and higher cognitive functions. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 6348","Neural Net Mathematics","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6348 HCS 6348   Vector calculus, Radon-Nikodym density functions, vector calculus-based probability theory, and Markov random fields with machine learning and artificial neural network modeling applications. Emphasizes applications of theory to unsupervised, supervised, and reinforcement learning machines and deep learning with MATLAB software implementations. This course is a required prerequisite for ACN 6349 and HCS 6349. Prerequisites: Linear algebra and calculus and (STAT 3341 or equivalent) and department consent required. (3-0) T"
"ACN 6349","Statistical Machine Learning","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6349 HCS 6349   Mathematical tools for investigating the asymptotic behavior of both batch and adaptive machine learning algorithms including convergence of gradient descent batch learning algorithms convergence of adaptive stochastic approximation learning algorithms, and convergence of Monte Carlo Markov Chain algorithms. M-estimation and bootstrap asymptotic statistical theory for characterizing asymptotic behavior of parameter estimates as a function of sample size to support model selection, specification analysis, and hypothesis testing. Emphasizes applications of theory to unsupervised, supervised, and reinforcement learning machines and deep learning with MATLAB software implementations. Prerequisites: (ACN 6348 or HCS 6348) and department consent required. (3-0) T"
"ACN 6352","Python for Cognitive Neuroscientists","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6352   Introduction to the PYTHON Programming language which is widely used in both academia and industry. Includes applications to modeling problems in the areas of cognitive neuroscience and modeling problems in machine learning. No computer programming experience is required. Department consent is required. (3-0) Y"
"ACN 6353","R Programming for Cognitive Neuroscientists","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6353   Introduction to the R programming language for supporting data analysis, data visualization, machine learning applications, and computational modeling problems encountered in the areas of cognitive neuroscience. No computer programming experience is required. Department consent is required. (3-0) Y"
"ACN 6354","Quantitative Usability Engineering: Mixed Reality","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6354   Overview of basic principles of user experience research from a cognitive perspective. Quantitative measures of human performance in interactive mixed reality environments. Collecting and analyzing data from the UNITY software development environment for creating movies, games, and two-dimensional user interfaces. No computer programming experience is required but students will learn PYTHON and UNITY programming skills. Department consent is required. (3-0) Y"
"ACN 6360","Special Topics in HCI","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6360   Exploration of advanced topics in human-computer interaction (HCI) in both research and industry. May be repeated for credit as topics vary (6 semester credit hours maximum). Department consent required. (3-0) T"
"ACN 6367","Speech Perception","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6367   Current topics and theories in speech perception. Topics include the acoustic correlates of speech sounds and the problem of invariance, the perception of speech under adverse conditions, the effects of hearing impairment, and models of speech perception. Prerequisites: BBSC majors only and department consent required. (3-0) R"
"ACN 6368","Language Development","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6368 HCS 6368PSYC 6368   Advanced study of normal oral language development. The goals of this course are to consider the developmental trajectories of the different components of language; to consider the varied and critical roles of language in human development; to understand the impact of culture, different languages, child factors and the environment on development; and to be introduced to the theoretical perspectives driving research and thinking in this area of inquiry. Prerequisite: BBSC majors only. (3-0) Y"
"ACN 6370","Neuroimmunology","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6370 HCS 6370   A survey of the interaction between the immune and nervous system; and subsequent effects on health and disease. In this course, we first define neuroimmunology in terms of physiology (function) and anatomy (structure). This is followed by a review of discrete systems: immune and nervous system structure and function, as well as a minor overview of the circulatory system. Once the different systems have been reviewed, how these systems interact is examined including the role that immune factors play in bidirectional communication, neural and humoral pathways that mediate behavioral changes associated with the immune system. This will be in association with sickness, stress, depression, fatigue, autoimmunity, pain, and psychology. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 6372","The Neuroscience of Pain","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6372 HCS 6372   A systems-oriented course covering the anatomical and physiologic basis of pain. The course describes the basic features of neural processing of pain signals in the spinal cord and brain, the anatomy and the function of the descending systems that can control transmission of pain signals, and peripheral and central sensitization. The physiological and molecular basis for treatment of pain is discussed. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 6373","Intraoperative Neurophysiological Monitoring","IONM","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6373 HCS 6373   Part I (3 semester credit hours) Covers the anatomical and physiological basis for the use of electrophysiological techniques in the surgical operating room, modalities that are utilized, and surgical procedures that are monitored. Prerequisite: BBSC majors only. (3-0) Y"
"ACN 6374","Intraoperative Neurophysiological Monitoring","IONM","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6374 HCS 6374   Part II (3 semester credit hours) Covers recordings of neuro-electric brain potentials and their interpretation during high-risk surgical procedures and clinically for diagnostic and therapeutic purposes. The use of various neurophysiological methods for guiding implantation of stimulating electrodes deep in the brain and for assisting the surgeon in certain operations are described. This course will cover an understanding of the various IONM techniques for different surgical procedures, including the brain, spine, and peripheral nerve surgeries. Students will be exposed to the basics and advance knowledge of neurophysiological monitoring techniques. IONM Part II, focusing on the national professional competencies, professional standards of practice, and evidence-based theory, is presented. The students will also learn to utilize research skills to explore the latest protocols and standards of practice. This course is second in two-part sequence to prepare the students for the Certification in Intraoperative Neurophysiological Monitoring (CNIM) examination administered by ABRET. IONM Part II is a very interactive course, and the students are expected and encouraged to participate in class discussions. Prerequisite: ACN 6373 or HCS 6373. (3-0) Y"
"ACN 6375","IONM Special Topics","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6375 HCS 6375   Special topics in the area of Intraoperative Neurophysiological Monitoring (IONM). Intraoperative Neurophysiologic Monitoring (IONM) and mapping is an essential tool for surgeons to perform brain surgeries near eloquent tissue safely. Brain Mapping helps the surgeon localize the sensory, motor, language gyrus, and tracts to minimize the risk of an intraoperative injury: brain mapping aid the surgeon in localizing and differentiate healthy and tumor tissue. Advance IONM course presenting special topics in applied cognition and neuroscience. This course will cover an understanding of the various IONM techniques for different surgical procedures each semester. Students will be exposed to the basics and advance knowledge of neurophysiological monitoring and mapping. Professor will discuss advanced mapping and monitoring of the spinal cord, focusing on the national professional competencies, professional standards of practice, and evidence-based theory in this course. The students will learn to use research skills to explore the latest protocols and standards of practice. Students will work on group projects, understand the journal article search, and write a publishable paper. May be repeated for credit as topics vary. Prerequisites: (ACN 6373 or HCS 6373 or ACN 6374 or HCS 6374 or instructor consent) and BBSC majors only. (3-0) Y"
"ACN 6377","IONM Practicum: Instrumentation and Programming","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6377 HCS 6377   This course provides hands-on training of the equipment, software, and materials used for electrophysiological assessment of the human nervous system in the surgical operating room. Skills training includes software programming, equipment operating, and practice setups on a life-sized model. Prerequisites: (ACN 6373 or HCS 6373 or ACN 6374 or HCS 6374 or instructor consent) and BBSC majors only. (3-0) Y"
"ACN 6388","MATLAB for Brain Sciences","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6388 HCS 6388   Introduction to MATLAB computer programming. Covers the use of the MATLAB programming language for the purpose of stimulus generation, behavioral data analysis, statistical analyses, and generation of publication quality figures. No computer programming prerequisites but students will learn MATLAB programming. Prerequisites: BBSC majors only and department consent required. (3-0) R"
"ACN 6389","Speech Perception Laboratory","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6389 HCS 6389   Introduction to the field of speech processing by computer, with primary application to research techniques in the study of speech perception. Lab fee of $30 required. Prerequisites: BBSC majors only and department consent required. (0-9) T"
"ACN 6390","Forensic Neuroscience","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6390 HCS 6390   In this course, we take a brief look into the world of forensic science and how neuroscience is being used in the forensic setting to understand and explain the criminal mind and criminal behavior. Using various neuroimaging techniques, data analysis, and research articles, we look at what is known about brain structure and function in relation to offending behaviors and serial psychopaths. We also discuss neurolaw and the current legal concerns with connecting structural brain insults with abnormal -often violent- behaviors. (Class Participation and Awareness Advised). Prerequisites: (ACN 6346 or ACN 6388) and department consent required. (3-0) T"
"ACN 6395","Cognitive Psychology","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6395 HCS 6395PSYC 6395   Theory and research on perception, learning, thinking, psycholinguistics, and memory. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 6396","User Experience Design","3 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6396   Understanding how to design effective user experiences is essential for the success of a software system. This class covers topics associated with the design and analysis of user interfaces for software systems and explores human-computer interaction. Topics include physical, cognitive, social, and emotional aspects of computing, user interface models, and usability evaluation. The design of user interfaces and user experiences for mobile, desktop, voice, and augmented reality systems will be examined in-depth. Prerequisites: BBSC majors only and department consent required. (3-0) Y"
"ACN 6V71","Industry Internship","1-6 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6V71   Pass/Fail only. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisites: BBSC majors only and department consent required. ([1-6]-0) S"
"ACN 6V72","Research Internship","1-6 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6V72   Pass/Fail only. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisites: BBSC majors only and instructor consent required. ([1-6]-0) S"
"ACN 6V81","Special Topics in Applied Cognition and Neuroscience","1-9 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6V81   May be repeated for credit as topics vary (12 semester credit hours maximum). Prerequisites: BBSC majors only and department consent required. ([1-9]-0) Y"
"ACN 6V91","Thesis in Applied Cognition and Neuroscience","1-6 semester credit hours","School of Behavioral and Brain Sciences","Applied Cognition and Neuroscience","ACN 6V91   Pass/Fail only. May be repeated for credit (6 semester credit hours maximum). Prerequisites: BBSC majors only and department consent required. ([1-6]-0) Y"
