"course_code","course_name","credits","college_name","department","description"
"ACTS 4301","Long Term Actuarial Mathematics I","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4301   The purpose of this class is to develop the student's knowledge of the theoretical basis of life contingent actuarial models and the application of those models to insurance and other financial risks. Life contingencies, survival models, life insurances, annuities, and premiums will be studied. This class covers parts of SOA Exams FAM and ALTAM. Prerequisites: STAT 4351 with a grade C- or higher and ACTS 4308 with a grade C- or higher. (3-0) T"
"ACTS 4302","Investment and Financial Markets","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4302   This 3 semester credit hour course develops the student's knowledge of the theoretical basis of certain actuarial models and the application of those models to insurance and other financial risks. The topics discussed include mean-variance portfolio theory, asset pricing models, market efficiency and behavioral finance, investment risk and project analysis, capital structure, main methods of capital budgeting, equity and debt, forwards and futures, and introduction to options. This class covers parts of CAS exam 3F and serves as a Finance Component of the SOA VEE requirement in Accounting and Finance. Prerequisites: STAT 4351 with a grade C- or higher and ACTS 4308 with a grade C- or higher. (3-0) T"
"ACTS 4303","Long Term Actuarial Mathematics II","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4303   The purpose of this class is to further develop the students' knowledge of the theoretical basis of life contingent actuarial models and the application of those models to insurance and other financial risks. Reserves for insurances and annuities, multi-state models, long-term insurance coverages, pension plans and retirement benefits will be studied. This class covers parts of SOA Exams FAM and ALTAM. Prerequisite: ACTS 4301 with a grade C- or higher. (3-0) Y"
"ACTS 4304","Short Term Actuarial Mathematics I","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4304   The purpose of this class is to develop the student's knowledge of the severity, frequency and aggregate risk models and the application of those models to insurance and other financial risks. Property and casualty insurance coverages, health insurance, loss reserving, ratemaking, coverage modifications and risk measures will be discussed. This class covers parts of SOA Exams FAM and ASTAM; CAS Exams MAS I, MAS II, and 5. Prerequisite: STAT 4352 with the grade C- or higher. (3-0) T"
"ACTS 4305","Short Term Actuarial Mathematics II","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4305   The purpose of this class is to develop the students' knowledge of the construction and selection of parametric frequency and aggregate models. The students will understand and be able to construct and estimate parameters for parametric models using Maximum Likelihood estimation techniques and perform model selection using graphical procedures, hypothesis tests, including Chi-square goodness-of-fit, Kolmogorov-Smirnov and Likelihood ratio (LRT) tests. This class covers parts of SOA Exams FAM and ASTAM; CAS Exams MAS I, MAS II and 5. Prerequisite: ACTS 4304 with a grade C-. (3-0) Y"
"ACTS 4306","Actuarial Probability as Problem Solving","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4306   Topics in actuarial probability via solving problems. This class covers topics of Exam 1/P. Prerequisite: STAT 4351 or instructor consent required. (3-0) R"
"ACTS 4307","Statistics for Risk Modeling","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4307   The purpose of this class is to provide an understanding of the basics of several important analytic methods such as linear models, time series models, principal components and cluster analysis, and decision trees. This class covers parts of the SOA Exam SRM and leads the student to the deeper preparation for the SOA Exam PA - Predictive Analytics. May be repeated for credit (6 semester credit hours maximum). Prerequisites: STAT 3355 and STAT 4352. (3-0) Y"
"ACTS 4308","Actuarial Financial Mathematics","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4308   The purpose of this 3 semester credit hour course is to provide an understanding of the fundamental concepts of financial mathematics, and how those concepts are applied in calculating present and accumulated values for various streams of cash flows as a basis for future use in: reserving, valuation, pricing, asset liability management, investment income, capital budgeting, and valuing contingent cash flows. The topics discussed include loans, bonds, and annuities. This class covers parts of the CAS Exam 2 and the SOA Exam FM. Prerequisite: MATH 3351 with a grade of C- or higher. (3-0) R"
"ACTS 4309","Theory of Options","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4309   This 3 semester course develops the student's knowledge of the theory of options. The topics discussed include general properties of options, binomial pricing models, Black-Scholes option pricing model, option Greeks, exotic options and risk management. This class covers parts of CAS exam 3F, topics on the SOA FAP capstones and exam ALTAM. Prerequisite: ACTS 4302 with grade C- or higher. (3-0) Y"
"ACTS 4310","Predictive Analytics","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4310   This 3 semester credit hour course provides a solid introduction to the implementation of various predictive analytic methods in two major statistical /machine learning software R and Python. Each student will complete a final project using insurance data. This class covers parts of the SOA Predictive Analytics (PA) exam. Prerequisites: (STAT 3355 and ACTS 4307 with grade C- or higher) or instructor consent required. (3-0) Y"
"ACTS 4311","Theory of Credibility","3 semester credit hours","School of Natural Sciences and Mathematics","Actuarial Science","ACTS 4311   This 3 semester credit hour course provides a solid introduction to credibility theory as a set of quantitative tools that allows an insurer to perform prospective experience ratings (adjust future premiums based on past experience) on a risk or group of risks. Students will learn how to resolve the problem of combining information from two samples, one of which is small but very relevant, the other is large but less relevant. Different approaches such as limited fluctuation or classical credibility, Bayesian, Bhlmann, and Bhlmann-Straub credibility will be studied and applied in practical settings. This class covers parts of the SOA exams FAM-S (Fundamentals of Actuarial Mathematics - Statistics), ASTAM (Advanced Short Term Actuarial Mathematics), as well as CAS exam MAS II (Modern Actuarial Statistics II). Prerequisite: ACTS 4304 with a grade C- or higher. (3-0) Y"
"AHST 1303","Survey of Western Art History: Ancient to Medieval","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 1303 ARTS 1303   An introduction to painting, sculpture, and architecture in the West from prehistory through the late Middle Ages and including the achievements of the ancient Egyptian, Greek, Roman, and Medieval cultures. Monuments will be studied within their historical, religious, and social contexts, with particular focus on the role of art in society and on the development of style. (3-0) Y"
"AHST 1304","Survey of Western Art History: Renaissance to Modern","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 1304 ARTS 1304   An introduction to painting, sculpture, and architecture in the West from the Renaissance to the modern period, including work by such artists as Michelangelo, Rembrandt, the Impressionists, and Picasso. Artists and monuments will be studied within their historical, religious, and social contexts, with particular focus on the role of art in society and on the development of style. (3-0) Y"
"AHST 2331","Understanding Art","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 2331   An investigation into the nature of the visual arts with an emphasis on the issues and ideas that artists explore through their work and how these ideas translate into the artwork. Attention will be given to the interpretation or reading of the artwork and how it may relate to society. (3-0) S"
"AHST 2V71","Independent Study in Art History","1-3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 2V71   Independent study under a faculty member's direction. Signature of instructor and Associate Dean on proposed project outline required. May be repeated for credit (9 semester credit hours maximum). Instructor consent required. ([1-3]-0) R"
"AHST 3313","Medieval Art and Architecture","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 3313   Studies in the art and architecture of medieval Europe and the Mediterranean. The course emphasizes the political, social, and religious foundations of Christian and Islamic art through discussions of mobility (travel, pilgrimage), media (the use of mosaic and bronze), worship (in cathedrals and mosques), and authority (in how divinity and kingship were understood). Prerequisite: Completion of 050 core. (Same as RELS 3363) (3-0) R"
"AHST 3315","Renaissance Art and Architecture","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 3315   Studies in the art and architecture of Italy during the fourteenth, fifteenth, and sixteenth centuries. Special attention is devoted to the cities of Florence, Rome, and Venice. Topics include the role of politics, patronage, religious worship, the developing self-consciousness of the artist, and the importance of new techniques. Prerequisite: Completion of 050 core. (Same as RELS 3365) (3-0) T"
"AHST 3316","Baroque Art and Architecture","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 3316   Studies in the art and architecture of the seventeenth century across Europe. The diverse social, political, and religious cultures of Italy, France, Spain, England, the Dutch Republic, and the Spanish Netherlands are discussed, with special emphasis upon the impact of Caravaggio, Bernini, Rubens, Velzquez, and Rembrandt. Prerequisite: Completion of 050 core. (Same as RELS 3366) (3-0) T"
"AHST 3317","Pioneers of Modern Art","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 3317   Focus on the work of the Post-Impressionists (Seurat, Gauguin, Van Gogh, and Cezanne) and the Symbolists with special emphasis on the artists' contribution to the discourse of ideas and the crisis of meaning in the late nineteenth century. Prerequisite: Completion of 050 core. (3-0) R"
"AHST 3318","Contemporary Art","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 3318   An issue-oriented class in which a selection of recent developments in art serve to introduce the ideas and aims of postmodernism. Special attention is given to those artists who are concerned with representation and the visual element in social constructs. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite: Completion of 050 core. (3-0) T"
"AHST 3319","Twentieth Century European Art: Avant-Garde and Aftermath","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 3319   The situation of the European avant-garde before and after its explosive center point of World War I. Special emphasis will be given to the breakthrough of abstraction and modernism's problematic relation to tradition. Prerequisite: Completion of 050 core. (3-0) R"
"AHST 3320","Art in Historical Context","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 3320   Studies in the arts and/or architecture of such eras as ancient Greece and Rome or the eighteenth and ninenteeth centuries. May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisite: Completion of 050 core. (3-0) Y"
"AHST 3321","Chinese Art History","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 3321   Examination of various forms of artistic expression in China, premodern and modern, including arts and aesthetic theory. Formal and contextual analysis of multiple media (ceramics, metalwork, sculpture, painting, architecture, etc.). Prerequisite: ARTS 1301 or equivalent (3-0) T"
"AHST 3322","Modern Architecture","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 3322   A survey of modern, postmodern, and contemporary neo-modern architecture, 1900-present. The course follows a narrative of revolution, collectivity, and belief (modernism) followed by irony, skepticism, and disbelief (postmodernism) culminating in the deadpan, post-critical, profit-following architecture of a neo-liberal economy (contemporary neo-modern architecture). Prerequisite: ARTS 1301 or equivalent. (3-0) T"
"AHST 3324","History of Photography","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 3324   Photography, from 1825 to the present, as a study of evolving styles, stressing key turning points and contributing factors and focusing on a background of the modern art movement and the psychology and events of the times. Critical analysis of the work of various photographers will be included. Topics may include an emphasis on nineteenth century, modern, or contemporary photography. Prerequisite: Completion of 050 core. (3-0) T"
"AHST 4342","Topics in Art History","3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 4342   May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisite: Completion of 050 core. (3-0) R"
"AHST 4V71","Independent Study in Art History","1-3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Art History","AHST 4V71   Independent study under a faculty member's direction. Signature of instructor and Associate Dean on proposed project outline required. May be repeated for credit (9 semester credit hours maximum). Prerequisites: Upper-division standing and instructor consent required. ([1-3]-0) R"
"AHTC 1100","First Year Seminar","1 semester credit hour","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Arts, Humanities, and Technology","AHTC 1100   This course is a graduation requirement for all freshmen in the School of Arts, Humanities, and Technology (AHT). Incoming freshmen will learn about the intellectual and cultural environment in AHT through lectures, activities, guest panels, and attendance at artistic and cultural events. Students will also learn about A&H majors, research opportunities, careers, and internships. This course is open to undeclared majors interested in AHT. (1-0) Y"
"AHTC 2120","Careers Exploration in the Arts, Humanities, and Technology","1 semester credit hour","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Arts, Humanities, and Technology","AHTC 2120   Provides students with assistance in exploring careers in the arts, humanities, and technology and the knowledge and skills to make effective career decisions. (1-0) R"
"AHTC 2188","Enrichment in the Arts, Humanities, and Technology","1 semester credit hour","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Arts, Humanities, and Technology","AHTC 2188   Students participate in prescribed events in the Arts, Humanities, and Technology in conjunction with the Living Learning Community. Lab fee of $30 is required. Prerequisites: Student is a member of an LLC associated with the School of Arts, Humanities, and Technology. (0-1) S"
"AHTC 2V71","Independent Study in the Arts, Humanities, and Technology","1-3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Arts, Humanities, and Technology","AHTC 2V71   Independent study under a faculty member's direction. May be repeated for credit (9 semester credit hours maximum). Instructor consent required. ([1-3]-0) R"
"AHTC 4V50","Internship","1-3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Arts, Humanities, and Technology","AHTC 4V50   Students undertake a new learning experience at a supervised work situation related to their academic interests. Students explore a professional working environment, application of theory to working realities, and an opportunity to test skills and clarify goals. Course requirements include formal and reflective writing. Credit/No Credit only. May be repeated for credit (6 semester credit hours maximum). Instructor consent required. ([1-3]-0) R"
"AHTC 4V51","Co-op Education","1-3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Arts, Humanities, and Technology","AHTC 4V51   Students completing this course will integrate academic learning with their co-op work experience. Course requirements include formal and reflective writing. Credit/No Credit only. May be repeated for credit (6 semester credit hours maximum). Instructor consent required. ([1-3]-0) R"
"AHTC 4V71","Independent Study in the Arts, Humanities, and Technology","1-3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Arts, Humanities, and Technology","AHTC 4V71   Independent study under a faculty member's direction. May be repeated for credit (9 semester credit hours maximum). Instructor consent required. ([1-3]-0) R"
"AHTC 4V88","Special Topics in Arts, Humanities, and Technology","1-3 semester credit hours","Harry W. Bass Jr. School of Arts, Humanities, and Technology","Arts, Humanities, and Technology","AHTC 4V88   Focuses on a significant topic or issue through which students are offered an opportunity to gain experience in various analytic, interpretive, or creative approaches. Explores interdisciplinary connections among artistic and intellectual endeavors appropriate to a range of courses in the School of Arts, Humanities, and Technology. Topics will include the convergence of the liberal arts. May be repeated for credit as topics vary (9 semester credit hours maximum). ([1-3]-0) R"
