department,course_code,course_title,course_description,course_credits
ACCT - Accounting,Introduction To Financial Accounting,ACCT 2301,"Emphasizes the preparation of financial reports for, and their use by, external constituents. BBA degrees require that this course be passed with a 'C' or better.",3
ACCT - Accounting,Introduction To Managerial Accounting,ACCT 2302,Emphasizes the preparation and use of financial and non-financial reports for managerial planning and decision-making purposes. BBA degrees require that this course be passed with a 'C' or better.,3
ACCT - Accounting,Intermediate Accounting I,ACCT 3321,Discussion of the theoretical concepts and technical procedures underlying the preparation of external financial reports by corporations. Differences between the U.S. GAAP and IFRS are discussed.,3
ACCT - Accounting,Intermediate Accounting II,ACCT 3322,Continues the coverage of the theoretical concepts and technical procedures underlying the preparation of external financial reports by corporations. Differences between the U.S. GAAP and IFRS are discussed.,3
ACCT - Accounting,Income Taxation,ACCT 3323,Analyzes the federal income tax rules as they apply to individual taxpayers. Includes examining the tax implications of property transactions.,3
ACCT - Accounting,Cost Accounting and Management,ACCT 3324,"A detailed study of the cost accounting concepts, systems, and techniques with an emphasis on providing information for managerial decision-making.",3
ACCT - Accounting,Governmental and Not-for-Profit Accounting,ACCT 3325,Focus on control of public resource flows in governmental and not-for-profit organizations in the absence of ownership and profit motive. The course emphasizes accountability and financial reporting to citizens and other constituents.,3
ACCT - Accounting,Accounting Information Systems,ACCT 3326,"Analyzes the role of accounting information systems in organizations. Emphasis is placed on data processing, organizational effectiveness, and controls necessary to ensure the accuracy and reliability of financial information.",3
ACCT - Accounting,Fraud Examination and Forensic Accounting,ACCT 3327,Examines various forensic accounting concepts as well as fraud prevention and detection strategies. Case analysis and expert witness presentations will be emphasized.,3
ACCT - Accounting,Intermediate Accounting III,ACCT 4323,Continues the coverage of the theoretical concepts and technical procedures underlying the preparation of external financial reports by corporations.,3
ACCT - Accounting,Auditing,ACCT 4327,"Exposes students to the theory and practices of auditing, primarily from the independent auditors' perspective. Legal, ethical, and social responsibilities of auditors, as well as written and oral communication skills development are emphasized. Specialized information resources and their uses in decision making by auditors comprise an integral part of the course.",3
ACCT - Accounting,Accounting Research,ACCT 4332,"Research and analysis of accounting issues and cases. Internal Revenue Code and Treasury Regulations, FASB Codification, and AICPA Professional Standards are examined.",3
ACCT - Accounting,Advanced Income Taxation,ACCT 4333,A continuation of the analysis and application of federal income tax laws as they apply primarily to individual taxpayers focusing on more complex tax concepts and strategic tax planning. Coverage includes examining the tax implications of property transactions.,3
ACCT - Accounting,Accounting Data Analytics,ACCT 4336,"This course introduces students to the data analytics mindset, concepts, and tools used by accounting professionals. It enables students to advance their accounting knowledge by applying analytical techniques to accounting concepts examined in prior courses. Students will learn how to employ data analytics skills and technologies used by accounting and auditing professionals to ask the right questions, examine and analyze accounting data, and interpret and communicate the results to make business decisions.",3
ACCT - Accounting,Accounting Internship,ACCT 4345,"A 240-hour training in a public accounting firm, industry, or a not-for-profit organization, under the supervision of a CPA. May not be repeated for credit.",3
ACCT - Accounting,Managerial Accounting Internship,ACCT 4346,"This internship is designed to give student an opportunity to gain experience by working with a business, not-to-profit or public organization. The student and a supervising faculty member must agree to written learning goals prior to the assignment, and the student must complete written reports regarding the achievement of these goals. May not be repeated for credit.",3
ACCT - Accounting,Special Topics In Accounting,ACCT 4348,The course covers advanced topics in accounting. It may be repeated for credit when topics vary.,3
ACCT - Accounting,Advanced International Accounting,ACCT 4355,"This course examines accounting issues that organizations face when operating in different countries. Topics include accounting for international business transactions, including the use of derivatives for hedging foreign exchange risk, translating foreign currency financial statements of foreign operations, and select similarities and differences between U.S. GAAP and International Financial Reporting Standards.",3
ADST - Addiction Studies,Introduction to Addiction Studies,ADST 2321,"The goals of this course are to provide an introduction to the history and etiology of substance abuse. To learn about psychoactive substances and their psychological and physiological effects along with the relationship between heredity, and environment. In this course, you will examine and learn about rehabilitation through various treatment modalities and forms of prevention. You will become familiar with and learn about the vocational, social, familial, and personal implications of substance abuse.",3
ADST - Addiction Studies,Case Management in Addiction Studies,ADST 3303,"The purpose of this course is to provide a basic overview of the roles of rehabilitation practitioners in the areas of counseling, service arrangement, program monitoring, placement, ethical decision-making, and caseload management for persons with addictions. Ethnic and cultural considerations, family involvement in the rehabilitation process, and addiction treatment services in a managed care system will also be provided. An overview of the laws, benefits and entitlements for persons with addictive disorders will be provided.",3
ADST - Addiction Studies,Intermediate Aspects of Addiction Studies,ADST 3340,"This course focuses on the cultural, ethical, legal, biological, neurological, psychopharmacological, and familial aspects of addiction. Principles of drug action, drug classification, variables of drug responses, and psychiatric issues, including dual diagnosis, will be addressed.",3
ADST - Addiction Studies,Prevention of Addictive Behaviors,ADST 3350,"This course provides a comprehensive overview of substance abuse prevention theories and prevention programming applications. Course topics include theories and models basic to prevention, science-based prevention strategies and model programs, strategic planning, and outcome evaluation.",3
ADST - Addiction Studies,Current Issues in Addiction Studies,ADST 3380,Emerging trends and issues related to the profession of addiction counseling are explored through the use of up-to-date literature. This includes the current context of the profession as well as its historical roots. The course is dedicated to preparing students to become critical consumers of professional literature and address ever-changing concepts such as codes of ethics and program funding.,3
ADST - Addiction Studies,Assessment in Addiction Studies,ADST 4301,"The course will focus on the assessment of human service agencies and addiction treatment. Students will be introduced to screening tools and assessment instruments related to addiction, behavioral health, vocational evaluation, and transition (School to Work or Independent Living).  You will receive an orientation to psychometrics, behavioral observations, work samples, and situational assessments as well as modifications in assessment techniques needed to effectively evaluate people with disabilities and various cultures will be provided.",3
ADST - Addiction Studies,Job Placement in Addiction Studies,ADST 4302,"This course includes a study of job placement theories, approaches, and techniques. The student will be introduced to the vocational implications of disability and typical benefit systems (Worker’s compensation, SSDI). Job-seeking skills, labor market surveys, job analysis, resume writing, and transferable skills analysis are some of the skills that are taught.   Employer concerns about hiring people with disabilities will also be addressed.",3
ADST - Addiction Studies,Case Management II in Addiction Studies,ADST 4303,"This course focuses on the development of intakes and interviewing, intervention, case recording, and caseload management skills that are critical for case history development, program planning, goal accomplishment, and client program evaluation within the addiction treatment process.  These concepts are applied through practical experiences, both inside and outside the classroom.  Analysis of the addiction treatment Plan and review of client case records will be given particular emphasis.  A detailed description of particular high-risk populations will be provided so as to introduce students to some of the unique difficulties, considerations, and issues that confront individuals in these high-risk populations and those who work with them.  Legal, ethical, and multicultural issues in service delivery will be explored.",3
ADST - Addiction Studies,Special Populations in Addiction Studies,ADST 4320,"The course will address how current knowledge, theory, and skills are applicable to specific client populations. Students in this course will be prepared for clinical issues of sub-populations that are related to, but not limited to cultural/racial/ethnic, age, gender, sexual orientation, religious traditions, and belief systems.",3
