"department","course_code","course_name","course_hours","course_description"
"Accounting (ACCT)","ACCT 2301","PRINCIPLES OF ACCOUNTING I","3 Hours. (TCCN  = ACCT 2301)","The accounting process and its informational output. Financial accounting concepts, basic procedures, and the resulting reports. Recognition and creation of accounting information as bases for decisions. An accounting lab is required. The grade for this course requires the completion of both the lecture component and the accounting lab. Prerequisite: 30 credit hours or permission of the department."
"Accounting (ACCT)","ACCT 2302","PRINCIPLES OF ACCOUNTING II","3 Hours. (TCCN  = ACCT 2302)","A study of managerial accounting concepts and techniques. Topics include cost behavior, budgeting, responsibility accounting, and product costing. An accounting lab is required. The grade for this course requires the completion of both the lecture component and the accounting lab. Prerequisite:ACCT 2301with a grade of C or higher."
"Accounting (ACCT)","ACCT 2303","ACCOUNTING AND COMPLIANCE OF NON-PROFIT ORGANIZATIONS","3 Hours.","The primary objective of this course is to help students understand accounting theories and compliance issues that relate to non-profit and philanthropic organizations.  The course introduces students to general accounting theories, budgeting, internal control, fraud, and compliance issues of non-profit organizations.  Restriction: Students enrolled in this course cannot be accounting majors. Prerequisite: Students enrolled in this course cannot be accounting majors, 30 credit hours."
"Accounting (ACCT)","ACCT 3133","PROFESSIONALISM IN ACCOUNTING","1 Hour.","Topics to engender a stronger sense of professionalism: business and social etiquette, self-assessment, professional deportment, networking, effective communication skills, and dressing professionally. Topics primarily presented by accomplished professionals from public accounting, industry, and government. Prerequisites: Accounting major andACCT 3311, can be taken concurrently."
"Accounting (ACCT)","ACCT 3303","INTRODUCTION TO ACCOUNTING INFORMATION SYSTEMS","3 Hours.","The structure of contemporary accounting systems with emphasis on controls, auditing, reporting, and efficient operation. Prerequisite:ACCT 2302andINSY 2303with grades of C or higher."
"Accounting (ACCT)","ACCT 3309","ACCOUNTING FOR MANAGERS","3 Hours.","Planning, controlling, decision making, and performance evaluation. Uses a variety of teaching techniques (e.g., problems, cases, and projects) and is open only to non-accounting majors. Credit will not be given for both this course andACCT 4302. Prerequisite:ACCT 2302with a grade of C or higher."
"Accounting (ACCT)","ACCT 3311","FINANCIAL ACCOUNTING I","3 Hours.","The environment of accounting, development of standards, basic theory, financial statements, worksheets, annuities and present value, receivables, inventories, liabilities, plant assets, depreciation and depletion, and intangible assets. Prerequisite:ACCT 2301with a grade of C or higher and successful completion of basic accounting skills exam. (See the departmental website for details about the exam.)."
"Accounting (ACCT)","ACCT 3312","FINANCIAL ACCOUNTING II","3 Hours.","Stockholders' equity, earnings per share, investments in bonds and stocks, equity method, revenue recognition, accounting changes, error analysis, income taxes, leases, and cash flows. Prerequisite:ACCT 3311with a grade of C or higher."
"Accounting (ACCT)","ACCT 3315","PRINCIPLES OF FEDERAL INCOME TAX","3 Hours.","A study of general federal income tax principles such as income, deductions, losses, and property transactions. Emphasis is placed on the taxation of individuals as well as on an understanding of property transactions which apply to individuals and other entities. Prerequisite: Accounting major with junior standing andACCT 3311with a grade of C or higher."
"Accounting (ACCT)","ACCT 3316","DATA ANALYTICS FOR ACCOUNTING","3 Hours.","Businesses use data analytics to evaluate organizational data and improve business decisions. The ability to collect, analyze, and use data to provide information for better decisions is a critical skill for accounting professionals.  This course will introduce students to the growing role of analytics to answer business questions. Students will analyze data to solve problems frequently encountered in accounting. This course will also introduce students to basic statistical techniques used to analyze specific accounting related business problems. Prerequisite:ACCT 2302with a C or better."
