"subject","course_code","course_name","description","credits"
"(AC) Applied Computing","AC 101","Introduction to Applied Computing I","This course introduces students to the foundational concepts of applied computing, with a focus on programming, problem-solving, and computational thinking. Students will learn the basics of programming, including variables, loops, and conditionals, while developing an understanding of how to approach problems using computational methods. Key topics include introductory algorithms and data structures (such as arrays and lists), as well as the role of software in fields like artificial intelligence and data science. Ethical considerations, such as data privacy and cybersecurity, are also explored. Students will gain hands-on experience through projects that apply basic programming tools to real-world problems, providing a practical introduction to the power of computing in diverse domains.","3"
"(AC) Applied Computing","AC 102","Introduction to Applied Computing II","Building on the concepts learned in the first semester, this course dives deeper into advanced programming and computational techniques. Students will explore object-oriented programming, databases, and data management, gaining skills in structuring software for real-world applications. Advanced algorithms and data structures are introduced to further develop problem-solving abilities. The course also covers cloud computing, distributed systems, and the fundamentals of machine learning and AI tools. Practical applications are emphasized, with a focus on areas such as data science, cybersecurity, and automation. Students will work on a group-based semester project, applying the knowledge gained throughout the course to solve a real-world problem using computing solutions.","3"
"(AC) Applied Computing","AC 202","Introduction to Web Development","This course provides students with a comprehensive introduction to web development, covering the essential technologies used to create modern websites. Students will gain hands-on experience with HTML5, CSS3, and JavaScript, learning to build responsive, user-friendly websites. The course emphasizes key web design principles, including accessibility and SEO, while introducing version control with Git and GitHub for collaborative development. By the end of the semester, students will have the skills to create static and simple dynamic websites and will understand the foundational concepts required to advance to more complex web applications.    (RE) Prerequisite(s):AC 101 or AC 102","3"
"(AC) Applied Computing","AC 211","Introduction to Cloud Computing and Databases","This course provides students with a solid foundation in cloud computing and database management. Students will explore the key concepts of cloud computing, including Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS), and gain hands-on experience with cloud deployment using platforms like AWS, Google Cloud, or Azure. The course also covers relational databases (SQL) and NoSQL (MongoDB), focusing on their integration in cloud environments. Students will participate in labs to set up cloud instances and integrate cloud-hosted databases and services. The course highlights the relevance of programming languages such as Python, JavaScript, R, and SQL in cloud computing and database management, providing a broad understanding of how these technologies are applied in real-world industries like healthcare, finance, and more.    (RE) Prerequisite(s):AC 101 or AC 102","3"
"(AC) Applied Computing","AC 302","Advanced Web Development","Building on the skills learned in AC 202 , this course explores more advanced concepts in web development. Students will learn to work with modern client-side frameworks like React.js and dive into back-end technologies using Node.js and Express.js to create dynamic, data-driven web applications. The course covers database integration, RESTful APIs, user authentication, and web security best practices. Students will also gain experience with deployment tools and DevOps practices, preparing them to deploy and maintain various applications. The semester culminates in a collaborative project where students will apply their skills to build and deploy a complete web application.    (RE) Corequisite(s):AC 202","3"
"(AC) Applied Computing","AC 311","Cloud Computing Applications","Building on the foundational knowledge gained in AC 211 , this course delves deeper into advanced cloud computing concepts and database management techniques. Students will further explore the practical applications of cloud-hosted databases and services, learning to work with large-scale, distributed systems in cloud environments. The course will also introduce students to the role of artificial intelligence (AI) in cloud computing, examining its use in various domains such as healthcare (diagnostic systems) and finance (fraud detection). Topics such as software development, input/output parameters, debugging techniques, and writing effective test cases for ensuring software reliability are also covered. Throughout the course, students will work on projects that apply their knowledge of cloud platforms, databases, and AI tools to solve real-world problems in industry.    (RE) Corequisite(s):AC 211","3"
"(ACCT) Accounting","ACCT 200","Foundations of Accounting","Survey of accounting with emphasis on the use of financial statement information in business decision making.    Comment(s):Accounting and Finance majors and collaterals must take ACCT 203 or equivalent.","3"
"(ACCT) Accounting","ACCT 203","Introduction to Financial Accounting","Introduction to financial accounting theory and practice with emphasis on the preparation of financial statements, the role of accounting information in business decisions, and the accounting profession.    Comment(s):Accounting and Finance majors and collaterals must take ACCT 203 or equivalent.","3"
"(ACCT) Accounting","ACCT 207","Honors: Foundations of Accounting","Introduction to financial accounting theory and practice with emphasis on the role of financial information in business decisions. The course will make extensive use of computer technology for retrieving and analyzing financial information.    Recommended Background:28 ACT composite or 1250 composite SAT required.","3"
"(ACCT) Accounting","ACCT 208","Honors: Introduction to Financial Accounting","Introduction to financial accounting theory and practice with emphasis on the preparation of financial statements, the role of accounting information in business decisions, and the accounting profession.    Recommended Background:28 ACT composite or 1250 SAT composite.","3"
