"course_code","course_title","credits","department","level","description"
"AIS 1203","Academic Introduction and Strategies","(3-0) 3 Credit Hours.","Academic Introduction and Strategies (AIS)","Undergraduate","Academic Introduction and Strategies is designed to orient first-year college students to the fields of study within an academic pathway. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience within an academic pathway. This course may be applied toward the First Year Experience Core Curriculum requirement. (AIS 1203,AIS 1223,AIS 1233,AIS 1243,AIS 1253,AIS 1263, andAIS 1273are equivalent. Credit cannot be earned for more than one of these courses.) Generally offered: Fall. Course Fees: DL01 $75; LRC1 $12; LRU1 $37.50."
"AIS 1213","AIS: Architecture, Construction, and Planning","(3-0) 3 Credit Hours.","Academic Introduction and Strategies (AIS)","Undergraduate","Academic Inquiry and Scholarship is designed to orient first-year college students to the fields of study related to architecture, construction, and interior design. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. This course may be applied toward the First Year Experience Core Curriculum requirement. (AIS 1203,AIS 1213,AIS 1223,AIS 1233,AIS 1243,AIS 1253,AIS 1263, andAIS 1273are equivalent. Credit cannot be earned for more than one of these courses.) Course Fees: LRC1 $12; LRU1 $37.5."
"AIS 1223","AIS: Arts and Humanities","(3-0) 3 Credit Hours.","Academic Introduction and Strategies (AIS)","Undergraduate","Academic Inquiry and Scholarship is designed to orient first-year college students to the fields of study related to arts and humanities. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. This course may be applied toward the First Year Experience Core Curriculum requirement. (AIS 1203,AIS 1223,AIS 1233,AIS 1243,AIS 1253,AIS 1263, andAIS 1273are equivalent. Credit cannot be earned for more than one of these courses.)  Course Fee: LRC1 $12; LRU1 $37.50; DL01 $75."
"AIS 1233","AIS: Business","(3-0) 3 Credit Hours.","Academic Introduction and Strategies (AIS)","Undergraduate","Academic Inquiry and Scholarship is designed to orient first-year college students to the fields of study related to business. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. This course may be applied toward the First Year Experience Core Curriculum requirement. (AIS 1203,AIS 1223,AIS 1233,AIS 1243,AIS 1253,AIS 1263, andAIS 1273are equivalent. Credit cannot be earned for more than one of these courses.) Course Fees: LRC1 $12; LRU1 $37.50; DL01 $75."
"AIS 1243","AIS: Engineering, Mathematics, and Sciences","(3-0) 3 Credit Hours.","Academic Introduction and Strategies (AIS)","Undergraduate","Academic Inquiry and Scholarship is designed to orient first-year college students to the fields of study related to engineering, mathematics, and physical science. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. This course may be applied toward the First Year Experience Core Curriculum requirement. (AIS 1203,AIS 1223,AIS 1233,AIS 1243,AIS 1253,AIS 1263, andAIS 1273are equivalent. Credit cannot be earned for more than one of these courses.) Course Fees: LRC1 $12; LRU1 $37.50; DL01 $75."
"AIS 1253","AIS: Interdisciplinary Education","(3-0) 3 Credit Hours.","Academic Introduction and Strategies (AIS)","Undergraduate","Academic Inquiry and Scholarship is designed to orient first-year college students to the fields of study related to education. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. This course may be applied toward the First Year Experience Core Curriculum requirement. (AIS 1203,AIS 1223,AIS 1233,AIS 1243,AIS 1253,AIS 1263, andAIS 1273are equivalent. Credit cannot be earned for more than one of these courses.)  Course Fee: LRC1 $12; LRU1 $37.50; DL01 $75."
"AIS 1263","AIS: Life and Health Sciences","(3-0) 3 Credit Hours.","Academic Introduction and Strategies (AIS)","Undergraduate","Academic Inquiry and Scholarship is designed to orient first-year college students to the fields of study related to life and health sciences. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. This course may be applied toward the First Year Experience Core Curriculum requirement. (AIS 1203,AIS 1223,AIS 1233,AIS 1243,AIS 1253,AIS 1263, andAIS 1273are equivalent. Credit cannot be earned for more than one of these courses.)  Course Fee: LRC1 $12; LRU1 $37.50; DL01 $75."
"AIS 1273","AIS: Social Sciences and Public Policy","(3-0) 3 Credit Hours.","Academic Introduction and Strategies (AIS)","Undergraduate","Academic Inquiry and Scholarship is designed to orient first-year college students to the fields of study related to social science and public policy. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. This course may be applied toward the First Year Experience Core Curriculum requirement. (AIS 1203,AIS 1223,AIS 1233,AIS 1243,AIS 1253,AIS 1263, andAIS 1273are equivalent. Credit cannot be earned for more than one of these courses.)  Course Fee: LRC1 $12; LRU1 $37.50; DL01 $75."
"AIS 2913","Independent Study: Advanced Academic Inquiry","(0-0) 3 Credit Hours.","Academic Introduction and Strategies (AIS)","Undergraduate","Prerequisite:AIS 1203.
Independent reading, research, and writing under the direction of a faculty member. Intensive coverage of the fields of study within an academic pathway and fulfillment of signature experience. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor's degree."
"ACC 2003","Foundations of Accounting","(3-0) 3 Credit Hours.","Accounting (ACC)","Undergraduate","A study of accounting as the language of business. The focus is on the use of accounting information for decision making. This course is designed for nonbusiness majors and cannot be applied toward a degree in the Carlos Alvarez College of Business. Generally offered: Fall, Spring. Course Fees: BISP $10; BTSI $15.41; DL01 $75; LRB1 $15.41."
