"course_code","course_title","department","credits","description"
"ACC 2110","Principles of Accounting I","Accounting (ACC)","(3 Credits)","Prerequisite(s):ENGL 1010orENGH 1005andMAT 1010or higher recommendedTeaches basic accounting methods and tools for business decision making. Incorporates financial and managerial accounting to provide basic understanding of generally accepted accounting principles (GAAP). Applies analytical tools to assess profitability, relevant costs, and investment decisions."
"ACC 2120","Principles of Accounting II","Accounting (ACC)","(3 Credits)","Prerequisite(s):ACC 2110Teaches technical accounting concepts from both financial and managerial accounting. Includes generally accepted accounting principles (GAAP) to support understanding of the accounting cycle and financial statements. Includes managerial accounting topics such as costing methods, budget preparation, and performance evaluation tools."
"ACC 2125","Introduction to the Accounting Profession","Accounting (ACC)","(1 Credit)","Teaches topics related to the accounting profession, including career options in accounting, certifications in accounting (CPA, CMA, CIA, CFE, etc.), ethics in the profession, current issues in accounting, professional standards, and professionalism skills. Discusses the educational requirements for the accounting undergraduate and graduate degrees."
"ACC 2250","Small Business Accounting","Accounting (ACC)","(3 Credits)","Prerequisite(s):ACC 2110Pre- or Corequisite(s):ACC 2120Addresses accounting issues from the perspective of a small business owner. Includes choice of business entity, payroll preparation, internal control systems, and the basic application of applicable income and sales taxes. Teaches accounting software to classify, record, summarize, and report transactions and to generate financial statements. Course fee of $50 for testing services applies."
"ACC 2500","Data Analytics in Accounting","Accounting (ACC)","(3 Credits)","Prerequisite(s):ACC 2110andMGMT 2400Pre- or Corequisite(s):ACC 2120Introduces data analytics and data visualization tools and techniques in accounting. Provides hands-on experience in analyzing accounting data, creating visuals, and interpreting results using various data analytics and visualization software."
"ACC 2600","Business Law and Ethics","Accounting (ACC)","(3 Credits)","Prerequisite(s):ENGL 1010recommendedExamines legal and ethical issues needed to make sound business decisions. Provides an overview of the legal system, constitutional law, ethical decision-making frameworks, business entities, contract law, business crimes and torts, compliance and regulatory issues, agency law, and bankruptcy law."
"ACC 3000","Financial Managerial and Cost Accounting Concepts","Accounting (ACC)","(3 Credits)","Prerequisite(s): University Advanced StandingProvides students in computer science and the technologies with knowledge of financial, managerial, and cost accounting concepts and applications. Prepares students to utilize accounting information in making business decisions.Lab access fee of $13 for computers applies."
"ACC 3010","Intermediate Accounting I","Accounting (ACC)","(3 Credits)","Prerequisite(s):ACC 2110,ACC 2120with a B- or higher, (MATH 1050,MATH 1055, orMATH 1090) with a C- or higher, and University Advanced StandingPre- or Corequisite(s):ACC 2125Reviews and expands on fundamental accounting material learned in beginning classes. Covers an overview of the primary financial statements, revenue recognition, and the accounts on the asset portion of the balance sheet. Introduces the Conceptual Framework and current accounting standards to provide a theoretical foundation upon which practical applications are based.Lab access fee of $13 applies."
"ACC 3020","Intermediate Accounting II","Accounting (ACC)","(3 Credits)","Prerequisite(s):ACC 3010,MKTG 2200G, and University Advanced StandingPre- or Corequisite(s):ACC 3300Addresses debt and equity financing, investments in debt and equity securities, leases, deferred income taxes, employee compensation (payroll and pensions), earnings per share, accounting changes, and error corrections.Lab access fee of $13 for computers applies."
"ACC 3030","Intermediate Accounting for Non-Accounting Majors","Accounting (ACC)","(3 Credits)","Prerequisite(s):ACC 2110,ACC 2120, and University Advanced StandingAn intermediate accounting course for non-accounting majors with emphasis on interpretation and use of general-purpose financial statements and the related disclosure notes. Addresses understanding interrelationships among the various financial statements and analyzing the effects of transactions on the financial statements. Analyzes common and significant accounts/transactions, especially those relating to the liability and equity sections of the financial statements."
