"course_code","course_title","department","description","credits","level"
"ACTSCI 290","Introduction to Actuarial Science","Actuarial Science (ACTSCI)","Overview of the actuarial profession, financial risks, and types of insurance products; risk components; and risk evaluation methods. Prerequisites:Satisfaction of Quantitative Literacy Part A GER. Last Taught:Spring 2025, Fall 2024, Spring 2024, Fall 2023. ","3"," Undergraduate"
"ACTSCI 391","Investment Mathematics I","Actuarial Science (ACTSCI)","Examination of annuities, loans, bonds, portfolio immunization, and interest rate swaps. Foundational preparation for the Financial Mathematics (FM) Professional Actuarial Exam. Prerequisites:a grade of C or better inMATH 211(P) orMATH 232(P). Course Rules:Previously MATH 311. Last Taught:Spring 2025, Fall 2024, Spring 2024, Fall 2023. ","4"," Undergraduate"
"ACTSCI 490","Introduction to Actuarial Practice","Actuarial Science (ACTSCI)","Professional topics such as healthcare, pensions, life insurance, property and casualty, reinsurance, and regulation. Prerequisites:ACTSCI 290(P). Course Rules:May be retaken for cr once. Counts as repeat of MTHSTAT 591. Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2021. ","1"," Undergraduate"
"ACTSCI 491","Actuarial Workshop FM","Actuarial Science (ACTSCI)","Continuation of topics from ACTSCI 391 along with practice and preparation for the Financial Mathematics (FM) Professional Actuarial Exam. Prerequisites:ACTSCI 391(C) or consent of instructor. Course Rules:Counts as a repeat of MTHSTAT 593. Retakeable up to 2 cr max. Last Taught:Spring 2025, Fall 2024, Spring 2024, Fall 2023. ","1"," Undergraduate"
"ACTSCI 492","Actuarial Workshop P","Actuarial Science (ACTSCI)","Continuation of probability topics from MTHSTAT 361 along with practice and preparation for the Probability (P) Professional Actuarial Exam. Prerequisites:MTHSTAT 361(C) or consent of instructor. Course Rules:Counts as a repeat of MTHSTAT 592. Retakeable up to 2 cr max. Last Taught:Spring 2025, Fall 2024, Spring 2024, Fall 2023. ","1"," Undergraduate"
"ACTSCI 590","Actuarial Internship","Actuarial Science (ACTSCI)","Apply principles and techniques of actuarial science in business, governmental and other appropriate settings. Prerequisites:soph st; 6 cr 300-level or above in ACTSCI or MTHSTAT; GPA in ACTSCI and MTHSTAT courses at least 2.5. Course Rules:One cr earned for academic work based on 40 hours in internship. May be retaken to 6 cr max. Last Taught:Summer 2024, Fall 2023, Summer 2023, Fall 2022. ","1-6"," Undergraduate"
"ACTSCI 591","Investment Mathematics II","Actuarial Science (ACTSCI)","Mathematical models in finance and economics, corporate finance. Prerequisites:MTHSTAT 361(P);ACTSCI 391(P). Course Rules:Counts as repeat of MTHSTAT 692. Last Taught:Fall 2024, Fall 2022, Fall 2021, Fall 2020. ","3"," Undergraduate"
"ACTSCI 593","Actuarial Models I","Actuarial Science (ACTSCI)","Long term insurance coverage, single life survival models, life insurance, annuities, benefit and premium random variables, mortality models. Prerequisites:ACTSCI 391(P);MTHSTAT 361(P);MTHSTAT 362(C). Course Rules:Counts as a repeat of MTHSTAT 691. Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2020. ","3"," Undergraduate"
"ACTSCI 594","Actuarial Models II","Actuarial Science (ACTSCI)","Long term insurance coverage, single life survival models, life insurance, annuities, benefit and premium random variables, mortality models. Prerequisites:ACTSCI 593(P);MTHSTAT 362(P). Last Taught:Spring 2025, Spring 2023, Spring 2021. ","3"," Undergraduate"
"ACTSCI 596","Actuarial Statistics I","Actuarial Science (ACTSCI)","Loss models for short term insurance and their statistical fitting. Prerequisites:MATH 234(P) orMATH 240(P) andMTHSTAT 362(P). Course Rules:Previously MTHSTAT 596. Last Taught:Fall 2024, Fall 2023, Fall 2021, Fall 2019. ","3"," Undergraduate"
"ACTSCI 597","Actuarial Statistics II","Actuarial Science (ACTSCI)","Credibility theory, ratemaking, and reserving. Prerequisites:MATH 234(P) orMATH 240(P) andMTHSTAT 362(P). Course Rules:Previously MTHSTAT 597. Last Taught:Spring 2024, Spring 2022, Spring 2020, Spring 2018. ","3"," Undergraduate"
"ACTSCI 599","Capstone Experience","Actuarial Science (ACTSCI)","Independent research on current financial and insurance topics that are not covered in regular actuarial courses. Prerequisites:senior standing. Course Rules:May be retaken for cr once. Last Taught:Spring 2025, Fall 2024, Spring 2024, Fall 2023. ","1"," Undergraduate"
"ACTSCI 790","Actuarial Internship","Actuarial Science (ACTSCI)","Apply principles and techniques of actuarial science in business, governmental and other appropriate settings. Prerequisites:graduate standing. Course Rules:One cr earned for academic work based on 40 hours in internship. May be retaken to 6 cr max. Last Taught:Spring 2025, Summer 2024, Summer 2023, Spring 2023. ","1-6"," Graduate"
"ACTSCI 791","Investment Mathematics II","Actuarial Science (ACTSCI)","Mathematical models in finance and economics, corporate finance. Prerequisites:graduate standing. Last Taught:Fall 2024, Fall 2022, Fall 2021, Fall 2020. ","3"," Graduate"
"ACTSCI 793","Actuarial Models I","Actuarial Science (ACTSCI)","Long term insurance coverage, single life survival models, life insurance, annuities, benefit and premium random variables, mortality models. Prerequisites:graduate standing. Last Taught:Fall 2024, Fall 2023, Fall 2022, Fall 2020. ","3"," Graduate"
"ACTSCI 794","Actuarial Models II","Actuarial Science (ACTSCI)","Long term insurance coverage, single life survival models, life insurance, annuities, benefit and premium random variables, mortality models. Prerequisites:grad st;ACTSCI 593(P);MTHSTAT 362(P). Last Taught:Spring 2025, Spring 2023, Spring 2021. ","3"," Graduate"
"ACTSCI 796","Actuarial Statistics I","Actuarial Science (ACTSCI)","Loss models for short term insurance and their statistical fitting. Prerequisites:graduate standing. Last Taught:Fall 2024, Fall 2023, Fall 2021. ","3"," Graduate"
"ACTSCI 797","Actuarial Statistics II","Actuarial Science (ACTSCI)","Credibility theory, ratemaking and reserving. Prerequisites:graduate standing. Last Taught:Spring 2024, Spring 2022, Spring 2020. ","3"," Graduate"
"ACTSCI 891","Actuarial Risk Theory","Actuarial Science (ACTSCI)","Risk models; premium principles; reinsurance contracts; ruin theory; ordering of risks; bonus-malus systems; IBNR techniques. Prerequisites:grad st; MATH 571(P) &ACTSCI 596(P), or consent of instructor. Course Rules:Previously MTHSTAT 795. Last Taught:Spring 2024, Spring 2022, Fall 2019, Fall 2017. ","3"," Graduate"
"ACTSCI 895","Topics in Actuarial Science:","Actuarial Science (ACTSCI)","Advanced topics in actuarial science. Prerequisites:graduate standing; 6 credits of 700 level ACTSCI coursework. Course Rules:Repeatable to 9 credits max. Counts as a repeat of MTHSTAT 896 with a similar topic. Last Taught:Spring 2023, Spring 2021. ","3"," Graduate"
