"department","course_code","course_name","course_hours","course_description"
"Accounting (ACCT)","ACCT 202","Accounting for Non-business Majors","3 Hours.","Semester course; 3 lecture hours. 3 credits. The course is open only to non-business students. A nontechnical introduction to the principles of financial and managerial accounting with emphasis on the use and interpretation of financial reports, managerial planning and control. The course is for the individual who seeks a basic knowledge of accounting and its uses. It is designed for the user of accounting information rather than the preparer. This course cannot be substituted forACCT 203,204or205. Students graduating with a major in the School of Business cannot receive credit for this course."
"Accounting (ACCT)","ACCT 203","Introduction to Accounting I","3 Hours.","Semester course; 3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Theoretical and technical facets of financial and managerial accounting for business. Accumulation, analysis, interpretation and uses of accounting information. Course will focus on financial accounting."
"Accounting (ACCT)","ACCT 204","Introduction to Accounting II","3 Hours.","Semester course; 3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisite:ACCT 203with a minimum grade of C. Theoretical and technical facets of financial and managerial accounting for business. Accumulation, analysis, interpretation and uses of accounting information. Course will focus on managerial accounting."
"Accounting (ACCT)","ACCT 205","Introductory Accounting Survey","3 Hours.","Semester course; 3 lecture hours. 3 credits. Enrollment is restricted to students in the post-baccalaureate undergraduate certificate programs in accounting and information systems, students seeking a B.S. in Financial Technology, students enrolled in the College of Engineering, or by permission of instructor. An accelerated course covering theoretical and technical facets of financial and managerial accounting for business. Accumulation, analysis, interpretation and uses of accounting information. May not be counted toward any of the B.S. programs offered by the School of Business other than the B.S. in Financial Technology."
"Accounting (ACCT)","ACCT 291","Topics in Accounting","1-3 Hours.","Semester course. 1-3 credits. Prerequisite: permission of instructor. An in-depth study of selected accounting topics. Graded as pass/fail."
"Accounting (ACCT)","ACCT 301","Federal Income Taxation for Individuals","3 Hours.","Semester course; 3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisite:ACCT 204orACCT 205with a minimum grade of C. Enrollment is restricted to students who have completed at least 54 credit hours (junior standing). Income tax legislation and the concept of taxable income; federal income tax law applicable to individuals."
"Accounting (ACCT)","ACCT 303","Intermediate Accounting I","3 Hours.","Semester course; 3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisite:ACCT 203orACCT 205with a minimum grade of C. Enrollment is restricted to students who have completed at least 54 credit hours (junior standing) or 24 credits with minimum cumulative GPA of 2.5. Focuses on financial accounting and accounting standards, including the conceptual framework for financial accounting. Includes an in-depth study of the income statement, the balance sheet and an introduction to the statement of cash flows. Also covers valuation of inventories."
"Accounting (ACCT)","ACCT 304","Intermediate Accounting II","3 Hours.","Semester course; 3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisite:ACCT 303with a minimum grade of C. Enrollment is restricted to students who have completed at least 54 credit hours (junior standing). Continues the study of financial accounting, covering accounting for acquisition and disposition of property, plant and equipment, intangible assets, contingencies, long-term liabilities, stockholders' equity, earnings-per-share, and investments."
"Accounting (ACCT)","ACCT 305","Intermediate Accounting III","3 Hours.","Semester course; 3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisite:ACCT 304with a minimum grade of C. Enrollment is restricted to students who have completed at least 54 credit hours (junior standing). Continues the study of financial accounting, covering accounting for income taxes, accounting for pensions and postretirement benefits, accounting for leases, accounting changes, error analysis, statement of cash flows, full disclosure in financial reporting and accounting for state and local governments and not-for-profit organizations."
"Accounting (ACCT)","ACCT 306","Cost Accounting","3 Hours.","Semester course; 3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisite:ACCT 204orACCT 205with a minimum grade of C. Enrollment is restricted to students who have completed at least 54 credit hours (junior standing) or those in the post-baccalaureate certificate program. Cost accumulation for inventory pricing and income determination. Cost behavior concepts for planning and control. Job order and process cost systems, standard costs, budgets and special topics in relevant costs for managerial decisions."
"Accounting (ACCT)","ACCT 307","Accounting Systems","3 Hours.","Semester course; 3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisite:ACCT 204orACCT 205with a minimum grade of C. Enrollment is restricted to students who have completed at least 54 credit hours (junior standing). Examines design and evaluation of manual and computerized accounting information systems. Emphasis on the system of internal controls and the impact of computers on those controls."
"Accounting (ACCT)","ACCT 401","Governmental and Not-for-profit Accounting","3 Hours.","Semester course; 3 lecture hours. 3 credits. Prerequisites:ACCT 304with a minimum grade of C. This course is restricted to students who have completed at least 54 credit hours (junior standing). The role of accounting in the management of resources entrusted to government and nonprofit entities, including accounting and reporting standards. Accounting in municipalities and nonprofit entities such as hospitals, charitable and health organizations, and colleges and universities."
"Accounting (ACCT)","ACCT 402","Advanced Cost Accounting","3 Hours.","Semester course; 3 lecture hours. 3 credits. Prerequisites:ACCT 303andACCT 306, each with a minimum grade of C. This course is restricted to students who have completed at least 54 credit hours (junior standing). An advanced conceptual cost/managerial course designed to familiarize students with the more complex aspects of cost/managerial accounting concepts including process costing, standard costing, activity-based costing, Just-in-Time inventory systems, enterprise resource planning and issues relating to the relative strengths and limitations of managerial accounting."
"Accounting (ACCT)","ACCT 403","Management Control Systems","3 Hours.","Semester course; 3 lecture hours. 3 credits. Prerequisites:ACCT 303andACCT 306, each with a minimum grade of C. This course is restricted to students who have completed at least 54 credit hours (junior standing). An advanced conceptual management control systems course designed to expose students to the theoretical and conceptual foundations of management control systems and to integrate accounting into the managerial decision/control process. Uses a predominantly case-oriented approach. While primary emphasis will be on integrating accounting into the management control process, significant attention also will be devoted to the behavioral issues involved in management control system design and implementation. Students also will receive hands-on experience in structuring and formulating control systems in an Enterprise Resource Planning system environment."
"Accounting (ACCT)","ACCT 404","Introduction to Forensic Accounting and Fraud Examination","3 Hours.","Semester course; 3 lecture hours. 3 credits. Prerequisite:ACCT 304with a minimum grade of C. Introduction to the area of forensic accounting. Topics include the detection of fraudulent financial reporting, employee fraud, money laundering, digital forensic analysis and electronic evidence, evidence management, computer forensics, and an introduction to business valuation."
"Accounting (ACCT)","ACCT 406","Auditing","3 Hours.","Semester course; 3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisites:ACCT 304and307with a minimum grade of C. Enrollment is restricted to students who have completed at least 54 credit hours (junior standing). A study of the conceptual, theoretical and practical procedures applicable to auditing — both external and internal. Primary emphasis is placed upon the theory of audit evidence; the objectives, techniques and procedures for financial and operational audit reports."
"Accounting (ACCT)","ACCT 408","Data Analytics for Accountants","3 Hours.","Semester course; 3 lecture hours (delivered online, face-to-face or hybrid). 3 credits. Prerequisites:ACCT 307with a minimum grade of C; and MGMT 301,SCMA 301,STAT 210orSTAT 212. Enrollment is restricted to students who have completed at least 54 credit hours (junior standing). The spreadsheet analysis and written communication of data relating to accounting-focused business problems."
"Accounting (ACCT)","ACCT 409","Research and Communication for Accountants","3 Hours.","Semester course; 3 lecture hours. 3 credits. Prerequisite:ACCT 304with a minimum grade of C. Restricted to students who have completed at least 54 credit hours (junior standing). Focuses on the research of accounting issues and preparation of technical reports relating to that research. Leadership and team dynamics are explored using group projects."
"Accounting (ACCT)","ACCT 410","Advanced Tax Accounting","3 Hours.","Semester course; 3 lecture hours. 3 credits. Prerequisite:ACCT 301with a minimum grade of C. Enrollment is restricted to students who have completed a minimum of 54 credit hours (junior standing). Complex tax problems of the trust, partnership and corporation. Particular emphasis is given to tax planning."
"Accounting (ACCT)","ACCT 491","Topics in Accounting","1-3 Hours.","Semester course; 1-3 lecture hours. 1-3 credits. Prerequisites vary by topic. Study of current topics. Topics may vary by semester. See the Schedule of Classes for specific topics to be offered."
"Accounting (ACCT)","ACCT 492","Independent Study","1 Hour.","Semester course; 1 lecture hour. 1 credit. Restricted to accounting majors who have completed at least 54 credit hours (junior standing). The purpose of this course is to allow international students to take advantage of an internship work experience. Graded as pass/fail."
"Accounting (ACCT)","ACCT 493","Internship in Accounting","3 Hours.","Semester course; 3 credits. Prerequisites:ACCT 304with a minimum grade of B; senior standing in accounting and permission of the department chair. Intention to enroll must be indicated to the instructor prior to or during advance registration for semester of credit. Involves students in a meaningful experience in a setting appropriate to the major. A structured course in which the first three weeks are spent in the classroom, followed by 11 weeks at a workplace. The last week of the semester students return to the classroom for discussion and reflection on the work experience. An internship portfolio is required at the end of the course. Graded as pass/fail."
"Accounting (ACCT)","ACCT 497","Guided Study in Accounting","1-3 Hours.","Semester course; variable hours. 1-3 credits. Maximum total of three credits. Prerequisites: junior standing in accounting and approval of adviser and department chair prior to course registration. Intensive study under supervision of a faculty member in an area not covered in-depth or contained in the regular curriculum."
