"subject","course_code","course_name","description","credits"
"Other Courses","ISWG 2010","Principles of Financial Accounting","Effective Date 08/01/2024  Presents an overview of basic accounting principles. Introduces the accounting cycle from transaction processing through financial statement preparation. Reviews foundational accounting principles and concepts that account for current assets, current liabilities, long-term liabilities, and owner?s equity. Students will complete a basic financial statement analysis. UVA-Wise / BIS shared course offering.","Credits:          3"
"Other Courses","ISWH 1030","Western Heritage of Politics ? Ancient and Medieval","Effective Date 08/01/2024  Introduces key thinkers and schools of political philosophy, theory, and thought of the classical, Hellenistic, and early Medieval period of Western civilization. Specific focus is given to the political thought of thinkers such as Sophocles, Thucydides, Aristotle, Plato, Aristotle, the Cynics, the Stoics, the Epicureans, and St. Augustine of Hippo. UVA-Wise / BIS shared course offering.","Credits:          3"
"Other Courses","ISWM 1180","Elementary Probability and Statistics","Effective Date 08/01/2024  Describing data with graphs and numerical measures; linear regression and correlation; rules of probability; random sampling; binomial and normal distributions; hypothesis testing. UVA-Wise / BIS shared course offering.","Credits:          3"
"Other Courses","ISWN 1010","Principles of Biology","Effective Date 08/01/2024  Introduces biochemical, cellular, genetic, ecological, and evolutionary principles fundamental to all of biology. UVA-Wise / BIS shared course offering.","Credits:          3"
"Other Courses","ISWN 1011","Principles of Biology Laboratory","Effective Date 08/01/2024  Introduces laboratory methods and techniques necessary to understand the fundamental principles of biology. UVA-Wise / BIS shared course offering.","Credits:          1"
"Other Courses","ISWS 1100","Introductory Psychology","Effective Date 08/01/2024  Surveys the psychological principles that underlie human behavior. Topics include sensation and perception, learning, motivation and emotion, personality, and social processes. UVA-Wise / BIS shared course offering.","Credits:          3"
"Other Courses","ISWS 2050","Microeconomic Principles","Effective Date 08/01/2024  Studies how individuals, firms, and other economic agents in our society make choices. Covers the analysis of trade-off, demand and supply, consumer theory, production theory, investment, market efficiency, imperfect markets, and externalities. UVA-Wise / BIS shared course offering.","Credits:          3"
"Other Courses","ISWS 2060","Macroeconomic Principles","Effective Date 08/01/2024  Introduces macroeconomic theory.  Topics include the circular flow of income and expenditures; aggregate supply and demand; economic stability, growth, and recession; supply and demand for money; fiscal and monetary policy; and demand- and supply-side views of the economy. UVA-Wise / BIS shared course offering.","Credits:          3"
"Other Courses","ISWS 3953","Twentieth Century Global History Through Film","Effective Date 08/01/2024  Combines film with traditional texts to introduce main themes in 20th century global history. Uses film to explore relationship between modernity and 20th century Europe, Asia, and Africa, as well as attitudes about ethnicity, class, nationality, and gender. Examines relationship of the West with the rest of the world. Explores possibilities and limitations of the individual in modern society. UVA-Wise / BIS shared course offering.","Credits:          3"
"Other Courses","MALA 1010","Introductory Malagasy Language I","Effective Date 11/19/2024  This course is designed to introduce complete beginners to Malagasy culture and language, and to teach daily interaction skills. With a simultaneous focus on speaking, listening and reading, this course will give students a thorough foundation in Malagasy grammar: alphabets, basic words structures and basic sentence structures with examples and/or analogies from everyday settings in Madagascar and from real-world situations.","Credits:          3"
"Other Courses","MALA 1020","Introductory Malagasy Language II","Effective Date 11/19/2024  This second-semester Malagasy course is designed to delve more into everyday interaction skills such as giving instructions, asking questions, express reasons and causes. The student will learn about the different forms of Malagasy verbs (active, relative, passive and imperative forms), how to connect words and clauses, how to create compound words and will delve more extensively into word structures.","Credits:          3"
"Accounting","ACCT 2010","Introductory Accounting I","Effective Date 10/22/2015  Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities.","Credits: 3"
