Course Code,Course Title
AAD 1004,"Exploring Architecture, Arts, and Design"
AAD 1204,Thinking Globally
AAD 1214,Acting Locally
AAD 1984,Special Study
AAD 2974,Independent Study
AAD 2984,Special Study
AAD 3900,Bridge Experience
AAD 3954,Study Abroad
AAD 3974,Independent Study
AAD 3984,Special Study
AAD 3984L,Special Study
AAD 3984M,Special Study
AAD 4234,Capstone Collaborations: Cross-Disciplinary Teams
AAD 4954,Study Abroad
AAD 5954,Study Abroad
AAEC 1005,Economics of the Food and Fiber System
AAEC 1006,Economics of the Food and Fiber System
AAEC 2104,Personal Financial Planning
AAEC 2434,Foundations of Agribusiness
AAEC 2974,Independent Study
AAEC 2984,Special Study
AAEC 3004,Agricultural Production and Consumption Economics
AAEC 3014,Analytical Methods in Applied Economics
AAEC 3015,Internship in Agricultural and Applied Economics
AAEC 3024,Monetary and Global Issues in Applied Economics
AAEC 3204,International Agricultural Development and Trade
AAEC 3314,Environmental Law
AAEC 3324,Environment and Sustainable Development Economics
AAEC 3424,Value-Based Management in Agribusiness
AAEC 3454,Small Business Management and Entrepreneurship
AAEC 3504,Marketing Agricultural Products
AAEC 3514,Agricultural Futures and Options
AAEC 3604,Agricultural Law
AAEC 3900,Bridge Experience
AAEC 3954,Study Abroad
AAEC 3974,Independent Study
AAEC 3984,Special Study
AAEC 4135,International Economics
AAEC 4136,International Economics
AAEC 4204,Food and Agricultural Policy
AAEC 4314,Environmental Economic Analysis and Management
AAEC 4324,Rural and Regional Development Policy
AAEC 4334,Applications Rural Development
AAEC 4344,Sustainable Development Economics
AAEC 4354,Energy Economics
AAEC 4404,Agricultural Management and Problem-solving
AAEC 4414,Applied Economic Problem-Solving
AAEC 4424,Ag Financial Management
AAEC 4434,Commodity Investing by Students
AAEC 4464,Water Resources Policy  and  Economics
AAEC 4484,Applied Economic Forecasting
AAEC 4504,Agricultural Price and Market Analysis
AAEC 4514,Advanced Agribusiness Marketing
AAEC 4804,Elementary Econometrics
AAEC 4814,Food and Health Economics
AAEC 4964,Field Study
AAEC 4974,Independent Study
AAEC 4984,Special Study
AAEC 4994,Undergraduate Research
AAEC 5004,Seminar
AAEC 5014,Applied Economic Analytics
AAEC 5024,Mathematical Programming for Economist
AAEC 5025,Applied Microeconomics
AAEC 5026,Applied Microeconomics
AAEC 5034,Agribusiness Marketing Policy and Business Strategies
AAEC 5044,Applied Macroeconomics
AAEC 5054,Strategic Agribusiness Management
AAEC 5064,Enviromental Economics &amp; Policy
AAEC 5074,Agricultural and Food Policy
AAEC 5084,Contemporary Issues and Responses in Food Systems
AAEC 5104,Research Project Plan
AAEC 5125,Empirical Research Methods in Economics
AAEC 5126,Empirical Research Methods in Economics
AAEC 5134,Agricultural Markets and Prices
AAEC 5154,International Agricultural Development and Trade
AAEC 5174,International Agricultural Development and Trade
AAEC 5244,Rural Development
AAEC 5424,Agribusiness Finance and Risk Management
AAEC 5484,Applied Economic Forecasting
AAEC 5544,Remote Sensing in the Social Sciences
AAEC 5804G,Fundamentals of Econometrics
AAEC 5814G,Adv Food &amp; Health Economics
AAEC 5824,Advanced Applied Economic Analytics
AAEC 5894,Final Examination
AAEC 5904,Project and Report
AAEC 5946,Econometric Theory and Practice
AAEC 5954,Study Abroad
AAEC 5974,Independent Study
AAEC 5984,Special Study
AAEC 5994,Research and Thesis
AAEC 6004,Research Seminar and Professional Development
