"course_code","course_name","description","department","credits"
"ACCT I S 100","INTRODUCTORY FINANCIAL ACCOUNTING","Examines generally accepted accounting principles for measurement and reporting of financial information in a balance sheet, income statement, and statement of cash flows; introduction to analysis and interpretation of financial accounting data for decision-making purposes.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 211","INTRODUCTORY MANAGERIAL ACCOUNTING","Managerial accounting concepts relevant for decision-making; use of accounting information for planning, decision-making, and control of business operations in various management and business environments.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 300","ACCOUNTING PRINCIPLES","Examines both financial and managerial accounting for business decisions. Emphasizes preparation and interpretation of financial statements, analysis of financial information, determination of costs for products and services, and use of accounting information for planning and control of business operations.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 301","FINANCIAL REPORTING I","Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users. Emphasizes asset and income determination, preparation and interpretation of financial statements, and related disclosure requirements.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 302","FINANCIAL REPORTING II","Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users, including dilutive securities, investments, revenue recognition, income tax allocation, pensions, leases and accounting changes.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 310","COST MANAGEMENT SYSTEMS","Design of actual and standard cost systems for reporting product costs in job costing, process costing, and activity costing production environments. Overhead allocation methods. Budgeting and profit planning procedures. Techniques for variance analysis and performance evaluation. Behavioral considerations in the design and use of cost accounting information systems.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 329","TAXATION: CONCEPTS FOR BUSINESS AND PERSONAL PLANNING","An introduction to the U.S. income taxation concepts with emphasis on business and personal planning strategies. Taxes are placed in a framework which considers all costs of doing business. Includes approaches and skills needed to prepare individual, corporate, and partnership income tax returns.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 340","ACCOUNTING INFORMATION SYSTEMS","Understand, document, and evaluate integrated enterprise systems and critical information tracked in core business processes, applying technology to model, capture, and query data needed, and assess system design and controls.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 399","READING AND RESEARCH-ACCOUNTING","Individual work suited to the needs of undergraduate students may be arranged with a faculty member.","Accounting and Information Systems (ACCT I S)","1-6 credits."
"ACCT I S 401","BUSINESS ORGANIZATIONS AND NEGOTIABLE INSTRUMENTS","Commercial paper, real estate and personal property, partnerships, corporations, bankruptcy.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 406","ACCOUNTING AND ANALYSIS FOR REPORTING ENTITIES","Theoretical, procedural, and practical issues associated with the preparation of financial statements of alternative reporting entities, including the accounting for mergers and acquisitions, consolidations, foreign operations, and complex financial instruments.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 600","PROFESSIONAL EXPERIENCE IN ACCOUNTING","An opportunity to experience a professional accounting practice first hand and to integrate this experience with the curriculum.","Accounting and Information Systems (ACCT I S)","1-6 credits."
"ACCT I S 601","PROFESSIONAL PRACTICE ISSUES IN ACCOUNTING, AUDITING, AND TAXATION","Study of current accounting and audit issues within a case context. Students will be required to perform computerized research, analyze topical accounting and audit issues, and make case presentations.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 603","FINANCIAL STATEMENT ANALYSIS","Analysis and interpretation of financial statements, including profitability and ratio analysis, cash flow analysis, accounting-based equity valuation, market impact of accounting choices, earnings quality, earnings management, mergers and acquisitions, intangibles, accounting-based trading strategies, accounting and credit ratings, and international accounting.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 620","FUNDAMENTALS OF TAXATION","Application of federal tax provisions and administrative rules common to most taxpayers with introductions to rules specific to corporations, pass-through entities, and individuals.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 621","CORPORATE AND ADVANCED TAXATION","Application of federal tax provisions and administrative rules pertaining to corporations and shareholders, including elective provisions for ""S"" corporations. Emphasis on tax planning and the consequences of corporate and shareholder decisions.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 630","FOUNDATIONS OF AUDITING","Audit and assurance services are vital to ensuring that organizations, their stakeholders, and the public can rely on organizations' financial information. Focus is on financial statement audits and their role in corporate governance and oversight. Emphasizes the components of the audit process with application to key financial accounting cycles and related internal controls. Also covers the professional role of public accountants and professional standards, norms and ethics.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 640","FOUNDATION IN ACCOUNTING ANALYTICS","Analytics has become an integral part of accounting to support decision making, coordination and control, and compliance with regulations. Being able to identify and pursue relevant questions using data is a critical skill for new hires, as is the ability to successfully communicate one's findings. This pursuit and communication requires a strong facility with a variety of analytics technologies.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 700","FINANCIAL ACCOUNTING","Measurement and reporting guidelines underlying preparation of general purpose financial statements. Explore current measurement and reporting issues. Analyze and interpret financial statement data for investment, lending, and related decisions.","Accounting and Information Systems (ACCT I S)","2-3 credits."
"ACCT I S 701","FINANCIAL REPORTING I","Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users. Emphasizes asset and liability valuations and their relationships to income determination, preparation and interpretation of financial statements, and related disclosure requirements.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 702","FINANCIAL REPORTING II","Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and orther external users, including dilutive securities, investments, revenue recognition, income tax allocation, pensions, leases and accounting changes.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 710","MANAGERIAL ACCOUNTING","Interpretation and use of accounting data for management planning, decision making and control. Consideration of cost-volume-profit relationships, relevant costs, variable (direct) costing, activity-based costing, transfer pricing and performance evaluation of segments of the firm.","Accounting and Information Systems (ACCT I S)","2-3 credits."
"ACCT I S 722","ANALYSIS OF TAXATION FOR PASS-THROUGH ENTITIES","Analysis of federal tax provisions and administrative rules regarding pass-through entities, such as partnerships, S-corporations, and limited liability companies; including their application to entity formation and operation, property and ownership basis, distributions, and interest transfers.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 724","TAX RESEARCH, PROCEDURE & ANALYSIS","Methodologies and tools for tax research; utilization of tax research tools; preparation of investigative reports; professional and interprofessional responsibilities; administrative procedures and techniques.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 725","ANALYSIS OF INTERNATIONAL TAXATION","An introduction to international tax issues. Topics covered may include tax treaties, foreign tax credit provisions, Subpart F rules, and taxation of inbound investment and business income.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 730","ADVANCED AUDITING: ANALYSIS, POLICY, AND JUDGMENT","Auditors increasingly use analytics to provide assurance over financial and non-financial information. Audit and assurance principles will be viewed through the lens of an analytics mindset. Uses analytics in combination with other audit techniques as a basis for professional judgments. Examines how the contemporary audit environment influences professional judgments. Develops the technical knowledge and skills needed in many professional roles through discussion, case studies, and group projects.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 740","INFORMATION RISK, CONTROL, & FORENSICS","Examines the control and security of accounting information systems with an auditing and forensic perspective.  Topics covered include: data governance frameworks, risks to information (i.e., data), internal controls related to identified risks, types of assurance services, computer assisted audit tools and techniques (CAATTs), fraud, and other related topics.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 765","CONTEMPORARY TOPICS","Exploration of advanced subject areas possibly to be introduced into the business curriculum.","Accounting and Information Systems (ACCT I S)","1-4 credits."
"ACCT I S 770","ACCOUNTING THEORY: REPORTING INCENTIVES AND CONSEQUENCES","Review and analysis of theoretical foundations of corporate financial reporting; application of conceptual framework and finance/economic theories to understand development of major accounting standards.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 771","ANALYSIS OF PERFORMANCE MEASUREMENT & CONTROL","Development and analysis of accounting data for managerial planning, control, decision-making, and costing, with a focus on the integration of financial and non-financial information needs for various managerial functions.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 772","ANALYSIS OF TAXES & BUSINESS DECISIONS","Readings and cases in taxation; analysis and integration of related tax provisions and taxpayer impact.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S/​E P D/​GEN BUS  781","FINANCIAL AND BUSINESS ACUMEN","This course is designed with a keen awareness for the needs of the non-financial student or professional. For this class, no previous financial training is required. The intent is to equip you with the essential concepts used to develop financial literacy. Content will cover basic financial terms and reports, analytical tools to help interpret financial data and using financial data in budgets and forecasts.","Accounting and Information Systems (ACCT I S)","1 credit."
"ACCT I S 799","READING AND RESEARCH-ACCOUNTING","Individual work suited to the needs of graduate students may be arranged both during regular sessions and the intersession periods.","Accounting and Information Systems (ACCT I S)","1-6 credits."
"ACCT I S 971","SEMINAR IN ACCOUNTING RESEARCH","Provides the tools needed for educated consumption of accounting research. Examines and synthesizes relevant accounting research to identify important research questions. Develops the knowledge and skills needed to conduct accounting research through discussion, presentations, and writing assignments.","Accounting and Information Systems (ACCT I S)","3 credits."
"ACCT I S 990","ACCOUNTING INDEPENDENT RESEARCH PHD THESIS","Individual work to complete dissertation requirement of Ph.D. program.","Accounting and Information Systems (ACCT I S)","1-12 credits."
"ACCT I S 999","READING AND RESEARCH-ACCOUNTING PHD","Individual work suited to the needs of Ph.D. students may be arranged with a faculty member.","Accounting and Information Systems (ACCT I S)","1-6 credits."
"ACT SCI 300","PROBABILITY FOR ACTUARIES","Develop a knowledge of fundamental mathematical tools for quantitatively assessing risk. Emphasize the applications of these tools to problems encountered in actuarial science.","Actuarial Science (ACT SCI)","1 credit."
