course_code,title,credits,description
ACCTG 220,Introductory Accounting for Non-Business Majors,3,Course Prerequisite: Enrollment not allowed if credit already earned for ACCTG 230 or 231. Survey of selected introductory financial and managerial accounting topics. Credit not granted if credit has been earned in ACCTG 230 and/or 231. Does not substitute for either ACCTG 230 or ACCTG 231 for Business majors.
ACCTG 230,Introduction to Financial Accounting,3,Course Prerequisite: Completed 27 semester credits. Introduction to corporate financial reporting via the preparation and interpretation of financial statements.
ACCTG 231,Introduction to Managerial Accounting,3,Course Prerequisite: ACCTG 230. Introduction to managerial accounting; generation and use of accounting data for planning and controlling business operations.
ACCTG 298,Introduction to Financial and Managerial Accounting - Honors,4,Course Prerequisite: Must be an Honors student. Enrollment not allowed if credit already earned for ACCTG 230 and/or ACCTG 231. Introduction to the preparation and interpretation of financial statements and to the use of accounting data for planning and controlling business operations. Credit not granted for both ACCTG 298 and 230 and/or 231.
ACCTG 320,Taxing Ourselves,3,"Course Prerequisite: Junior standing. A non-technical, discussion-based focus on the various roles of taxes in society, highlighting international and cross-cultural contexts; development of civic engagement skills that are grounded in theory and data."
ACCTG 330,Intermediate Accounting I,3,"Course Prerequisite: ACCTG 230 and 231, or ACCTG 298; admitted to a major or minor in the College of Business or Data Analytics. Conceptual and technical issues of financial reporting and ethical, political, and economic consequences related to accounting choice."
ACCTG 331,Intermediate Accounting II,3,Course Prerequisite: ACCTG 330 with a C or better; admitted to a major or minor in the College of Business. Continuation of ACCTG 330.
ACCTG 335,Taxation of Business Entities and Individuals,3,"Course Prerequisite: ACCTG 230 and 231, or ACCTG 298; admitted to a major or minor in the College of Business. Fundamentals of tax information used in making sound business and financial decisions."
ACCTG 338,Cost Accounting,3,Course Prerequisite: ACCTG 231 or 298; admitted to a major or minor in the College of Business.Â Management uses of cost information; cost systems and system design; cost analysis.
ACCTG 420,Accounting and Culture,3,Course Prerequisite: ACCTG 230; admitted to a major or minor in the College of Business; junior standing. Cultural differences and how they affect accounting practices and standards in a variety of countries. Not an accounting technical course.
ACCTG 430,Advanced Accounting,3,Course Prerequisite: ACCTG 331 with a C or better; admitted to a major or minor in the College of Business. Partnership equities and extended forms of corporate ownerships and government entities.
ACCTG 433,[M] Accounting Systems and Auditing,3,Course Prerequisite: ACCTG 330 with a C or better; admitted to a major or minor in the College of Business or Data Analytics. Accounting systems design; internal control and computerization.
ACCTG 435,Individual Income Taxes,3,Course Prerequisite: ACCTG 335 with a C or better; admitted to a major or minor in the College of Business. The study of individual income taxes from both compliance and planning perspectives. Credit not granted to those taking ACCTG 335 prior to Fall 1999.
ACCTG 437,Professional Research,3,Course Prerequisite: ACCTG 331 with a C or better; ACCTG 335 with a C or better; admitted to a major or minor in College of Business. Methodology used by accounting professionals to research applied problems and communicate results.
ACCTG 438,[M] Advanced Cost Accounting and Management,3,"Course Prerequisite: ACCTG 338 with a C or better; admitted to a major or minor in the College of Business. Cost/managerial accounting as it is used for decision making and strategic planning; emphasis on budgeting, product cost, and performance measurement."
ACCTG 439,[M] Auditing,3,"Course Prerequisite: ACCTG 433 with a C or better; admitted to a major or minor in the College of Business. Nature of auditing, generally accepted auditing standards, and audit procedures as related to auditing of financial statements by independent accountants."
ACCTG 440,Advanced Auditing,3,Course Prerequisite: ACCTG 439. Auditing theory application and data analysis.
ACCTG 443,Business Processes and Controls,3,"Course Prerequisite: ACCTG 433 with a C or better; admitted to a major or minor in the College of Business. Introduction to business processes and internal controls, including risk assessment and detection of fraud."
ACCTG 496,Special Topics,3,"May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: By department permission. Contemporary topics in accounting including international financial reporting standards, forensic accounting, and international accounting."
ACCTG 498,Accounting Internship,V 2-15,"May be repeated for credit ; cumulative maximum 15 credits . Course Prerequisite: By department permission. Cooperative educational internship with a business, government or non-profit organization. S, F grading."
ACCTG 499,Special Problems,V 1-4,"May be repeated for credit . Course Prerequisite: By department permission. Independent study conducted under the jurisdiction of an approving faculty member; may include independent research studies in technical or specialized problems; selection and analysis of specified readings; development of a creative project; or field experiences. S, F grading."
ACCTG 533,"Accounting, Performance Measurement and Controls",3,"Course Prerequisite: Admission to the MBA program and completion of MBA Prerequisites, including: B_A 500, 501, 502, 503, 504, ACCTG 550 and ECONS 555. Managerial evaluation of budgeting, cost accounting, and financial analysis techniques; their utilization in control of operations."
ACCTG 543,Special Topics in Accounting,3,May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: Admission to the Master of Accounting program. Critical topics in accounting including new developments.
ACCTG 544,Advanced Accounting Systems and Auditing,3,"Course Prerequisite: Admission to the Master of Accounting program. Advanced topics in accounting systems, auditing and controls."
ACCTG 550,Introduction to Financial and Managerial Accounting,V 2-3,Course Prerequisite: Admission to the MBA program or Carson College of Business Graduate Certificate. Fundamentals of financial and managerial accounting; primarily for graduate students who wish to meet the MBA core requirements in accounting.
ACCTG 596,Doctoral Topics,3,May be repeated for credit ; cumulative maximum 15 credits . Course Prerequisite: Admission to PhD programs in business. Advanced topics in accounting.
ACCTG 600,Special Projects or Independent Study,V 1-18,"May be repeated for credit . Course Prerequisite: Admission to the MBA, Master of Accounting, or Business PhD programs. Independent study, special projects, and/or internships. Students must have graduate degree-seeking status and should check with their major advisor before enrolling in 600 credit, which cannot be used toward the core graded credits required for a graduate degree. S, F grading."
ACCTG 702,"Master's Special Problems, Directed Study, and/or Examination",V 1-18,"May be repeated for credit . Course Prerequisite: Admission to the Master of Accounting program. Independent research in special problems, directed study, and/or examination credit for students in a non-thesis master's degree program. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 702 credit. S, U grading."
ACCTG 800,"Doctoral Research, Dissertation, and/or Examination",V 1-18,"May be repeated for credit . Course Prerequisite: Admitted to the Business Administration - Accounting PhD program. Independent research and advanced study for students working on their doctoral research, dissertation and/or final examination. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 800 credit. S, U grading."
AERO 101,Heritage and Values I,1,"Course Prerequisite: Concurrent enrollment in AERO 103 required. Survey course that introduces students to the Department of the Air Force and the Air Force Reserve Officer Training Corps (AFROTC); focuses on the mission and organization of the Air Force / Space Force, dress and appearance standards, military customs and courtesies, Air Force heritage and introduction to communication skills."
AERO 102,Heritage and Values II,1,"Course Prerequisite: Concurrent enrollment in AERO 103 required. Survey course that introduces students to the Department of the Air Force and the Air Force Reserve Officer Training Corps (AFROTC); focuses on the mission and organization of the Air Force / Space Force, dress and appearance standards, military customs and courtesies, Air Force heritage and introduction to communication skills."
AERO 103,Leadership Laboratory I,2 (0-4),"May be repeated for credit ; cumulative maximum 4 credits . Intercollegiate athletics and leadership course; leadership principles, military experience, and management practice; 2 hours laboratory and 2-3 hours required physical training; fitness tests include strength/conditioning muscle fitness, cardiorespiratory/aerobic endurance, and body composition requirements. Location of the course alternates between WSU and UI campuses throughout the term. S, F grading."
AERO 201,Team and Leadership Fundamentals I,1,"Course Prerequisite: Concurrent enrollment in AERO 203 required; AERO 101 or concurrent enrollment. Fundamental principles of leadership, followership, team building, and accountability within the military; develops communication skills."
