"course_code","course_name","course_level","course_hours","course_description"
"A&VS 591","Advanced Topics","Graduate","1-6 Hours","PR:Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"A&VS 592","Directed Study","Graduate","1-6 Hours","Directed Study, reading, and/or research."
"A&VS 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"A&VS 594","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"A&VS 595","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"A&VS 690","Teaching Practicum","Graduate","1-3 Hours","PR: Consent. Supervised practice in college teaching of agriculture, forestry, and consumer science. Note: This course is intended to insure that graduate assistants are adequately prepared and supervised when they are given college teaching responsibility. It also provides a mechanism for students not on assistantships to gain teaching experience. (Grading will be S/U.)."
"A&VS 691","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"A&VS 692","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"A&VS 693","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"A&VS 694","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"A&VS 695","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"A&VS 696","Graduate Seminar","Graduate","1-3 Hours","PR: Consent. Each graduate student will present at least one seminar to the assembled faculty and graduate student body of his or her program."
"A&VS 697","Research","Graduate","1-9 Hours","PR: Consent.  Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or a dissertation. (Grading may be S/U.)."
"A&VS 698","Thesis or Dissertation","Graduate","1-6 Hours","PR: Consent. This is an optional course for programs that wish to provide formal supervision during the writing of student reports (698), or dissertations (798). Grading is normal."
"A&VS 699","Graduate Colloquium","Graduate","1-6 Hours","PR: Consent. For graduate students not seeking coursework credit but who wish to meet residency requirements, use of the University's facilities, and participate in its academic and cultural programs. Note: Graduate students who are not actively involved in coursework or research are entitled, through enrollment in their department's 699/799 Graduate Colloquium to consult with graduate faculty, participate in both formal and informal academic activities sponsored by their program, and retain all of the rights and privileges of duly enrolled students. Grading is S/U; colloquium credit may not be counted against credit requirements for masters programs. Registration for one credit of 699/799 graduate colloquium satisfies the University requirement of registration in the semester in which graduation occurs."
"A&VS 791","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"A&VS 792","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"A&VS 793","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"A&VS 795","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"A&VS 796","Graduate Seminar","Graduate","1-3 Hours","PR: Consent. Each graduate student will present at least one seminar to the assembled faculty and graduate student body of his or her program."
"A&VS 797","Research","Graduate","1-9 Hours","PR: Consent. Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or dissertation. (Grading may be S/U.)."
"ACCT 501","Accounting/Economic Decision Making","Graduate","3 Hours","PR: Admission into the MAcc program. This course exposes students to the theory and application within the accounting profession of the topics of corporate governance, economic theory, financial management, cost accounting, and strategic planning, particularly as it relates to decision making."
"ACCT 511","Financial Accounting Theory and Practice","Graduate","3 Hours","PR: Consent.  Comprehensive examination of financial accounting theory as established by the opinions, statements and interpretation of professional organizations with special emphasis on their application and problem solving."
"ACCT 512","Mergers and Acquisitions","Graduate","3 Hours","PR: Consent. Strategic perspectives of mergers and acquisitions, their valuation, and evaluation of their subsequent performance. Accounting for business combinations and foreign operations and related financial accounting and reporting issues."
"ACCT 520","Advanced Technology for Accounting","Graduate","3 Hours","The materials that will be covered are applicable to external auditing, internal auditing, financial accounting, and forensic accounting. The course covers the use of technology in matters related to the efficiency and effectiveness of the audit. Also covered is the use of technology in the accounting function since this function provides the source data and information for any audit."
"ACCT 541","Federal Tax Research and Writing","Graduate","3 Hours","PR: Consent.  Study of federal tax authorities and hierarchy, the research resources available, development of federal tax research and writing skills, and the application thereof."
"ACCT 542","Advanced Federal Corporate Tax","Graduate","3 Hours","PR:ACCT 441with a minimum grade of C- andACCT 442with a minimum grade of D- or consent. An advanced study of federal income taxation for corporations and shareholders, including: corporate operations, corporate formation and capital structure, distributions to shareholders, acquisitions and liquidations, and reorganizations."
"ACCT 544","Taxation of Property Transactions","Graduate","3 Hours","This course enables students to identify and apply the key principles of the taxation of property transactions including tax basis, basis adjustments, recognition and realization principles, cost recovery, debt, as well as dispositions of property including through sales, gifts, and bequests."
"ACCT 561","Governmental and Not-for-Profit Accounting","Graduate","3 Hours","PR: Consent.  Theory and practice of accounting for governmental and not-for-profit entities with an emphasis on the conceptual foundation of fund accounting, budgetary control and accountability."
"ACCT 580","Accounting for Forensic and Fraud Investigators","Graduate","3 Hours","A basic introduction to financial and managerial accounting, auditing, and technology applicable to accounting, and the relationship of those areas with forensic accounting and fraud examination."
"ACCT 581","Fraud Investigation","Graduate","3 Hours","PR: Restricted to FAFI students.  Types of fraud, documents, sources of evidence, and analysis of internal and external fraud schemes with an emphasis on the skills needed to identify and investigate fraud."
"ACCT 582","Fraud Data Analysis","Graduate","3 Hours","PR: Restricted to FAFI students.  Computer-aided data analysis techniques for detecting and investigating fraud cases, issues related to the collection and use of digital evidence, and collection of data from electronic devices."
"ACCT 583","Fraud: Criminology/Legal Issues","Graduate","3 Hours","PR: Consent. Theories of criminal behavior, laws, rules of evidence, rights of persons under interrogation and interviewing, report writing and ethics, as these topics relate to forensic accounting with a focus on the behavioral aspects of fraud."
"ACCT 584","Advanced Fraud Investigation","Graduate","3 Hours","PR:ACCT 581andACCT 582.  Major fraud case investigation with an emphasis on forensic and litigation support aspects, including presentation of cases in moot court setting."
"ACCT 585","Forensic and Fraud Examination Advanced Analytical Techniques","Graduate","3 Hours","PR:ACCT 580. An examination and use of advanced analytical techniques with respect to three forensic accounting and fraud examination special topics: civil litigation support and damage claims, valuations and financial statement fraud."
"ACCT 586","Private Company Valuation","Graduate","3 Hours","PR or CONC:ACCT 580orACCT 581with a minimum grade of B-. This course provides students with the fundamental knowledge and skills needed to complete private company valuations."
"ACCT 591","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"ACCT 592","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"ACCT 593","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"ACCT 594","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"ACCT 595","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"ACCT 691","Advanced Topics","Graduate","1-6 Hours","PR: Consent. Investigation of advanced topics not covered in regularly scheduled courses."
"ACCT 692","Directed Study","Graduate","1-6 Hours","Directed study, reading, and/or research."
"ACCT 693","Special Topics","Graduate","1-6 Hours","A study of contemporary topics selected from recent developments in the field."
"ACCT 694","Seminar","Graduate","1-6 Hours","Special seminars arranged for advanced graduate students."
"ACCT 695","Independent Study","Graduate","1-9 Hours","Faculty supervised study of topics not available through regular course offerings."
"ACCT 696","Graduate Seminar","Graduate","1-3 Hours","PR: Consent. Each graduate student will present at least one seminar to the assembled faculty and graduate student body of his or her program."
"ACCT 697","Research","Graduate","1-9 Hours","PR: Consent.  Research activities leading to thesis, problem report, research paper or equivalent scholarly project, or a dissertation. (Grading may be S/U.)."
"ACCT 698","Thesis or Dissertation","Graduate","1-6 Hours","PR: Consent. This is an optional course for programs that wish to provide formal supervision during the writing of student reports (698), or dissertations (798). Grading is normal."
"ACCT 699","Graduate Colloquium","Graduate","1-6 Hours","PR: Consent. For graduate students not seeking coursework credit but who wish to meet residency requirements, use the University's facilities, and participate in its academic and cultural programs. Note: Graduate students who are not actively involved in coursework or research are entitled, through enrollment in their department's 699/799 Graduate Colloquium to consult with graduate faculty, participate in both formal and informal academic activities sponsored by their program, and retain all of the rights and privileges of duly enrolled students. Grading is P/F; colloquium credit may not be counted against credit requirements for masters programs. Registration for one credit of 699/799 graduate colloquium satisfies the University requirement of registration in the semester in which graduation occurs."
"ACCT 710","Accounting Research Methods Seminar","Graduate","3 Hours","PR: Accounting PhD Status. An introduction to common topics, theories, and methods used in the production of accounting research. We will consider both “classic” and “cutting edge” work from a variety of domains (i.e., auditing, financial, tax) and methodologies (i.e., archival, experimental). We will also consider a variety of other academic issues that are critical to your professional development."
"ACCT 711","Behavioral Accounting Research","Graduate","3 Hours","This is a doctoral-level course designed to familiarize students to various behavioral topics within the accounting literature. The goal of the course is to survey some of the major theories, issues, and empirical findings within the behavioral-accounting literature. This approach is designed to build a foundation upon which the student may consider their own areas of research."
"ACCT 712","Archival Accounting Research","Graduate","3 Hours","PR: Admission to PhD program andSTAT 511. This doctoral-level course is designed to familiarize students to various capital markets topics within the accounting literature. The goal of the course is to survey some of the major theories, issues, and empirical findings within the archival literature. This approach is designed to build a foundation upon which the student may consider their own areas of interest."
"ACCT 713","Forensic Accounting and Fraud Examination","Graduate","3 Hours","This course familiarizes students with various special topics as it relates to forensic accounting and fraud examination. It surveys some of the major theories, issues, and empirical findings within and without the accounting literature."
