"course_code","course_name","course_level","course_hours","course_description"
"A&VS 105","Professional Orientation","Undergraduate","2 Hours","PR: Freshman standing or consent.  Orientation to WVU and the academic programs in the Division of Animal and Veterinary Sciences; related career and professional opportunities. Field trips required."
"A&VS 150","Introduction to Animal Science","Undergraduate","2 Hours","Survey of major disciplines in animal and veterinary sciences with emphasis on related terminology; study of the development of breeds of livestock and their identification."
"A&VS 191","First-Year Seminar","Undergraduate","1-3 Hours","Engages students in active learning strategies that enable effective transition to college life at WVU. Students will explore school, college and university programs, policies and services relevant to academic success. Provides active learning activities that enable effective transition to the academic environment. Students examine school, college and university programs, policies and services."
"A&VS 199","Orientation to Biochemistry","Undergraduate","1,2 Hour","Orientation to degree programs and requirements, departmental resources, curriculum options, student responsibilities and opportunities."
"A&VS 251","Principles of Animal Science","Undergraduate","4 Hours","PR: Corequisite of A&VS 251L. A comparative study of the production of meat, milk, eggs and wool. Nutrition, physiology genetics, hygiene and physical environment, and economics are discussed as bases for sound managerial decisions."
"A&VS 251L","Principles of Animal Science Laboratory","Undergraduate","0 Hours","PR: Corequisite of A&VS 251. Principles of Animal Science - A&VS 251 Laboratory."
"A&VS 275","Companion Animal Science","Undergraduate","3 Hours","Basic physiology, nutrition and genetics; economic and ethical consideration of pet ownership; benefits of companion animals in society; aspects of handling and training, behavior, and common health diseases and parasite problems of pet animals."
"A&VS 276","Service Dog Training","Undergraduate","3 Hours","Current principles, theory, and practices for training service dogs."
"A&VS 277L","Service Dog Training Laboratory","Undergraduate","1 Hour","PR: A&VS 276 with a minimum grade of C-. Through hands-on training, students will apply their knowledge of animal training following programmatic procedures for training dogs to have basic obedience skills and perform advanced service dog tasks. Students will use the most modern, professional, and ethical techniques for training mobility-assistance and psychiatric service dogs."
"A&VS 281","Introduction to Equine Care and Use","Undergraduate","3 Hours","Survey of basic equine care, breeds, use, management, and behavior with a lab in equine safety and handling."
"A&VS 282L","Equine Handling & Ground Training Laboratory","Undergraduate","1 Hour","PR: A&VS 281. This introductory course provides students with hands-on skills to safely handle and train horses from the ground. Students will learn to identify equine body language, and understand how their body language, position, and use of aids can be used to teach horses from the ground."
"A&VS 293","Special Topics","Undergraduate","1-6 Hours","PR: Consent. Investigation of topics not covered in regularly scheduled courses."
